TIMESTAMP,TA_F,TA_F_QC,SW_IN_POT,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,P_F,P_F_QC,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,PPFD_IN,PPFD_IN_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_1_QC,SWC_F_MDS_1,SWC_F_MDS_1_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_RANDUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_RANDUNC,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,RECO_NT_VUT_REF,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,GPP_NT_VUT_REF,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,RECO_DT_VUT_REF,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,GPP_DT_VUT_REF,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,RECO_SR,RECO_SR_N
199701,3.153,0.94422,214.298,113.052,0.944892,262.684,0.0,3.342,0.94422,97.832,0.928763,0.119,0.928763,3.057,0.928763,-9999,-9999,48.0152100951,0.928091397849,229.168459828,0.928091397849,-9999,-9999,4.036,0.94422,-9999,-9999,-10.0063,0.94422,6.40241,0.678091,9.3048,0.0939335,28.6047,0.678763,41.572,0.558145,0.432566,0.607527,0.0162093,0.431707,0.43303,0.438949,0.604167,0.608199,0.608871,5.356e-07,4.12858e-07,5.07704e-07,5.30021e-07,-0.427462,-0.439833,-0.433312,-0.431858,1.98379,1.731,1.82144,1.97983,0.0,0.0,0.0,0.0,-9999,-9999
199702,6.65,1.0,272.22,117.216,1.0,286.344,0.0,2.788,1.0,97.76,1.0,2.812,1.0,2.608,1.0,0.299464858057,0.938988095238,57.0141369048,1.0,235.154017857,1.0,-9999,-9999,5.651,1.0,-9999,-9999,-3.66518,1.0,10.8979,1.0,15.8383,0.211336,30.8541,1.0,44.8411,0.555628,0.740661,0.987351,0.021715,0.731559,0.735177,0.740661,0.985863,0.988839,0.987351,0.0452805,0.0376888,0.0448313,0.0452805,-0.684892,-0.703397,-0.694251,-0.690345,1.36722,1.34972,1.36722,1.43395,0.0,0.0,0.0,0.0,-9999,-9999
199703,11.92,1.0,348.108,202.186,1.0,290.82,0.0,5.928,1.0,97.583,1.0,0.18,1.0,3.383,1.0,0.371566544343,0.948252688172,106.079372569,0.999327956989,403.658602151,1.0,-9999,-9999,9.845,1.0,-9999,-9999,2.17272,1.0,20.0778,1.0,25.8187,0.298664,60.9766,1.0,78.4118,0.646683,0.88405,0.982527,0.0303122,0.876331,0.884252,0.888676,0.979167,0.982527,0.983871,0.498642,0.50236,0.506018,0.511686,-0.380482,-0.383868,-0.376712,-0.367736,1.52069,1.46527,1.51414,1.52222,0.0724178,0.0130511,0.0724178,0.0726224,-9999,-9999
199704,13.071,0.681944,418.538,211.42,0.683333,316.159,0.0,4.806,0.681944,97.241,0.666667,6.507,0.666667,3.316,0.666667,0.34363573052,0.634027777778,130.186458333,0.666666666667,466.753125,0.666666666667,-9999,-9999,11.168,0.681944,-9999,-9999,-3.67318,0.681944,41.4255,0.681944,51.3892,0.449407,58.2567,0.681944,72.2685,0.670547,-0.110335,0.679167,0.0384542,-0.115044,-0.110379,-0.107132,0.679167,0.679167,0.679861,1.43886,1.43104,1.4536,1.49067,1.54892,1.542,1.57206,1.6151,1.15987,0.797017,1.1194,1.168,1.12442,0.911159,1.12407,1.14156,-9999,-9999
199705,19.382,1.0,465.181,255.158,1.0,349.211,0.0,5.939,1.0,97.332,1.0,6.817,1.0,2.75,1.0,0.317508466874,0.949596774194,152.147849462,1.0,519.128360215,1.0,-9999,-9999,17.852,1.0,-9999,-9999,10.086,1.0,72.6077,0.998656,88.4908,0.507257,43.9288,0.998656,53.5383,0.514961,-1.46307,0.990591,0.0476819,-1.48399,-1.46413,-1.4388,0.975134,0.989247,0.993952,3.65437,3.65742,3.67251,3.7365,5.1359,5.11264,5.13158,5.20178,3.15972,3.11702,3.15972,3.19938,4.71216,4.65358,4.69226,4.71969,-9999,-9999
199706,23.825,1.0,483.709,264.04,1.0,386.817,0.0,5.798,1.0,97.011,1.0,1.566,1.0,2.164,1.0,0.286839931509,0.877777777778,162.226846927,0.999305555556,545.701477541,0.999305555556,-9999,-9999,22.271,1.0,22.539,1.0,13.6931,1.0,73.5059,0.998611,102.436,0.54607,33.2241,1.0,46.3001,0.475152,-1.44708,0.98125,0.048888,-1.43811,-1.42404,-1.40911,0.976389,0.976389,0.9125,5.63669,5.59922,5.63525,5.76042,7.07446,7.02053,7.06741,7.17301,5.13598,4.76162,5.14617,5.30932,6.91508,6.66739,6.83896,6.97102,-9999,-9999
199707,27.312,1.0,473.971,286.937,1.0,402.267,0.0,10.256,1.0,97.369,1.0,1.286,1.0,2.064,1.0,0.276119693395,0.928091397849,176.280241935,1.0,595.161290323,1.0,-9999,-9999,26.056,1.0,16.326,1.0,17.8757,1.0,78.5788,1.0,96.7195,0.557691,50.1154,1.0,61.685,0.579118,-1.86075,0.995968,0.0494856,-1.88304,-1.8661,-1.86075,0.994624,0.99664,0.997312,4.96239,4.92799,4.95269,4.99568,6.81192,6.80316,6.81755,6.86221,5.6703,5.62774,5.67414,5.71516,7.29471,7.25199,7.29133,7.33813,-9999,-9999
199708,25.912,1.0,436.477,232.201,1.0,396.195,0.0,8.34,1.0,97.406,1.0,3.302,1.0,1.93,1.0,0.262598313669,0.934811827957,144.387911805,0.998655913978,480.614876458,0.998655913978,-9999,-9999,24.835,1.0,18.645,1.0,7.04167,1.0,54.7535,1.0,72.8768,0.403985,48.9755,0.999328,65.1863,0.563066,0.860013,0.986559,0.0373727,0.837285,0.859647,0.890291,0.975134,0.985887,0.988575,4.34009,4.34638,4.37008,4.38561,3.49218,3.47789,3.49498,3.53476,4.07949,4.05478,4.08396,4.19378,3.45139,3.42323,3.45005,3.48363,-9999,-9999
199709,23.917,1.0,375.485,198.608,1.0,379.791,0.0,9.541,1.0,97.315,1.0,1.956,1.0,2.263,1.0,0.290957098206,0.910416666667,123.253472222,1.0,412.1,1.0,-9999,-9999,21.664,1.0,15.645,1.0,1.73681,1.0,40.4175,1.0,58.3678,0.421687,43.7282,1.0,63.1489,0.599973,1.34977,0.973611,0.0329588,1.32892,1.34342,1.35427,0.972917,0.970833,0.973611,2.45727,2.44908,2.4769,2.49962,1.12194,1.11662,1.1229,1.16958,2.12543,2.1386,2.26591,2.41907,1.34665,1.26039,1.31292,1.35356,-9999,-9999
199710,16.495,1.0,300.224,154.026,1.0,331.999,0.0,4.649,1.0,97.381,1.0,3.548,1.0,2.553,1.0,0.314770518965,0.920698924731,82.2177419355,1.0,316.942876344,1.0,-9999,-9999,15.734,1.0,21.704,1.0,-8.35753,1.0,14.984,1.0,21.3692,0.285132,38.4691,1.0,54.8623,0.576689,1.72393,0.770833,0.026387,1.68808,1.72393,1.73468,0.772849,0.770833,0.778898,1.91989,1.92395,1.97019,1.98746,0.233359,0.218742,0.248221,0.275553,1.44939,1.41588,1.43928,1.5782,0.274888,0.275056,0.275579,0.288725,-9999,-9999
199711,8.053,1.0,231.774,117.285,1.0,280.074,0.0,4.027,1.0,97.592,1.0,0.787,1.0,2.548,1.0,0.296639962947,0.875694444444,48.0159722222,1.0,241.393055556,1.0,-9999,-9999,7.782,1.0,22.64,1.0,-9.65278,1.0,11.5917,1.0,16.3229,0.237119,29.3577,0.999306,41.3401,0.526469,1.3045,0.984028,0.0222528,1.27206,1.30378,1.32626,0.977778,0.981944,0.984722,0.0981089,0.0927082,0.101742,0.104946,-1.20144,-1.21952,-1.20247,-1.18454,2.32455,2.13893,2.26135,2.41016,0.0,0.0,0.0,0.0,-9999,-9999
199712,3.915,1.0,197.588,83.001,1.0,268.193,0.0,2.759,1.0,97.416,1.0,3.298,1.0,2.738,1.0,0.314123381856,0.760080645161,31.9260752688,1.0,168.101478495,1.0,-9999,-9999,4.186,1.0,25.064,1.0,-10.9583,1.0,11.7685,0.997984,18.8802,0.225399,15.0444,0.999328,24.1356,0.499065,0.862104,0.975806,0.020556,0.860506,0.867005,0.881208,0.975806,0.978495,0.979839,0.110347,0.110484,0.112897,0.116707,-0.755801,-0.768519,-0.75315,-0.746774,1.51145,1.46517,1.56348,1.57937,0.0,0.0,0.0,0.0,-9999,-9999
199801,5.574,1.0,214.298,84.299,0.995968,275.914,0.0,2.528,1.0,97.357,1.0,3.605,1.0,2.948,1.0,0.311586022101,0.696908602151,38.7116935484,1.0,163.445953594,0.993279569892,-9999,-9999,4.44,1.0,25.593,1.0,-4.72318,0.991935,9.47008,0.975134,12.7278,0.239874,22.6847,0.979839,30.4883,0.539108,0.843612,0.914651,0.0306764,0.820784,0.844932,0.873814,0.94086,0.910618,0.907258,0.155218,0.15455,0.159212,0.18132,-0.688908,-0.697628,-0.6844,-0.658044,1.80438,1.80438,1.82486,1.91464,0.0,0.0,0.0,0.0,-9999,-9999
199802,7.633,1.0,272.22,133.978,1.0,279.339,0.0,3.756,1.0,97.111,0.999256,0.572,1.0,2.5,1.0,0.265542413075,0.828125,66.4441964286,1.0,271.799107143,1.0,-9999,-9999,6.051,1.0,26.288,1.0,-6.17262,1.0,17.1143,0.970982,23.6875,0.245486,35.7471,1.0,49.4767,0.556348,1.10396,0.872024,0.0173847,1.10396,1.12494,1.13208,0.872024,0.851935,0.886905,0.0440472,0.0379307,0.0401687,0.046173,-1.06074,-1.09259,-1.07955,-1.06254,2.21739,2.19084,2.22155,2.48589,0.0,0.0,0.0,0.0,-9999,-9999
199803,8.75,1.0,348.108,161.399,1.0,292.587,0.0,4.349,1.0,97.311,1.0,4.171,1.0,3.955,1.0,0.36374543408,0.532258064516,81.8904569892,1.0,336.108870968,1.0,-9999,-9999,7.135,1.0,28.616,1.0,-3.14113,1.0,25.8916,0.686828,32.6992,0.202108,44.474,0.700269,56.1675,0.567228,1.16569,0.198925,0.0217768,1.16204,1.16807,1.17417,0.199597,0.199597,0.199597,0.230256,0.216341,0.246398,0.271712,-0.92651,-0.942663,-0.92651,-0.894194,4.41126,4.30399,4.39657,4.54491,0.0,0.0,0.0,0.0,-9999,-9999
199804,14.459,1.0,418.538,244.42,1.0,302.542,0.0,7.517,1.0,97.18,1.0,4.293,1.0,3.198,1.0,0.320237710473,0.720833333333,127.554861111,1.0,504.253472222,1.0,-9999,-9999,13.251,1.0,27.229,1.0,6.41806,1.0,38.9336,0.920139,50.6974,0.341459,55.1878,0.920139,71.8627,0.604387,1.08844,0.90625,0.0233476,1.07446,1.08615,1.09121,0.88125,0.907639,0.906944,1.05124,1.03442,1.08579,1.09631,-0.0300397,-0.0381576,-0.00603737,0.006442,1.84274,1.59929,1.65432,1.75992,0.210079,0.20751,0.21126,0.269682,-9999,-9999
199805,22.972,1.0,465.181,263.161,1.0,364.838,0.0,10.886,1.0,96.86,1.0,0.606,1.0,2.584,1.0,0.28917089601,0.929435483871,146.1875,1.0,535.693548387,1.0,-9999,-9999,20.791,1.0,20.947,1.0,21.5155,1.0,63.37,1.0,81.6053,0.38236,33.4432,1.0,43.0668,0.535588,-0.341933,0.992608,0.0387673,-0.354483,-0.345025,-0.331394,0.99328,0.991263,0.990591,3.48859,3.47444,3.48859,3.52035,3.84013,3.82411,3.83693,3.84287,3.23739,3.15675,3.22323,3.27045,3.82123,3.80287,3.82123,3.84084,-9999,-9999
199806,27.399,1.0,483.709,302.085,1.0,391.12,0.0,17.449,1.0,96.802,1.0,1.287,1.0,3.8,1.0,0.406225696147,0.970138888889,168.375,1.0,625.713194444,1.0,-9999,-9999,26.82,1.0,16.23,1.0,23.9653,1.0,69.6439,1.0,87.6785,0.371003,45.0622,1.0,56.7313,0.535755,0.722438,0.992361,0.0329738,0.720864,0.722843,0.725461,0.989583,0.990972,0.992361,2.94588,2.9232,2.93595,2.94588,2.22304,2.19891,2.20906,2.22304,2.99906,2.78759,2.92423,3.05003,2.10201,2.10725,2.34522,2.51621,-9999,-9999
199807,31.21,1.0,473.971,307.519,1.0,418.158,0.0,25.808,1.0,97.171,1.0,0.033,1.0,2.516,1.0,0.287512069247,0.772849462366,165.173387097,1.0,632.363575269,1.0,-9999,-9999,32.779,1.0,12.6,1.0,30.7957,1.0,35.6747,0.992608,38.9859,0.300696,87.2351,0.992608,95.3317,0.6255,2.02589,0.959677,0.0229749,2.02187,2.0254,2.02956,0.956317,0.952285,0.951613,1.72501,1.69281,1.70275,1.72248,-0.305107,-0.326554,-0.321441,-0.308951,2.36712,2.09978,2.27207,2.33433,0.24801,0.24801,0.283292,0.350612,-9999,-9999
199808,28.567,1.0,436.477,249.198,1.0,400.44,0.0,20.203,1.0,97.349,1.0,0.869,1.0,1.951,1.0,0.236505625478,0.918682795699,134.245295699,1.0,506.508064516,1.0,-9999,-9999,28.71,1.0,12.699,1.0,16.9597,1.0,28.5797,1.0,33.0933,0.333202,72.7092,1.0,84.1923,0.878599,2.75587,0.96371,0.036249,2.72418,2.7442,2.76234,0.883065,0.96371,0.943548,1.80673,1.62632,1.68305,2.02149,-0.958764,-1.0854,-1.05484,-0.744421,3.25591,3.29283,3.39129,3.49074,0.0,0.0,0.0,0.0,-9999,-9999
199809,26.994,1.0,375.485,215.323,1.0,391.409,0.0,17.274,1.0,96.991,1.0,1.118,1.0,2.255,1.0,0.261419205195,0.938888888889,120.509722222,1.0,438.515972222,1.0,-9999,-9999,25.888,1.0,16.126,1.0,11.309,1.0,25.0928,0.999306,31.4856,0.25554,61.9692,0.999306,77.7569,0.800786,2.20212,0.984028,0.0400031,2.12947,2.20212,2.23654,0.977083,0.984028,0.991667,1.57761,1.55737,1.61246,1.63536,-0.593483,-0.613519,-0.601656,-0.581405,3.2705,3.02446,3.16688,3.32895,0.000469237,0.0,0.000461712,0.000560521,-9999,-9999
199810,18.078,1.0,300.224,150.533,1.0,336.83,0.0,6.097,1.0,97.587,1.0,3.114,1.0,2.636,1.0,0.284899539323,0.872983870968,84.2775537634,1.0,306.313743995,0.999327956989,-9999,-9999,16.667,1.0,23.488,1.0,-4.09476,1.0,27.6467,0.991935,34.6902,0.290786,25.6112,0.991935,32.1361,0.601804,0.719967,0.971774,0.034078,0.718047,0.722182,0.732161,0.959005,0.974462,0.971102,1.70154,1.64931,1.67444,1.73759,0.962469,0.926515,0.95365,1.02152,1.29969,1.36491,1.45058,1.55158,1.28304,0.788469,0.848176,1.28845,-9999,-9999
199811,11.675,1.0,231.774,93.893,1.0,305.279,0.0,3.302,1.0,97.505,1.0,2.345,1.0,2.842,1.0,0.278400513506,0.979861111111,48.1458333333,1.0,189.118055556,1.0,-9999,-9999,10.468,1.0,25.137,1.0,-8.87083,1.0,14.9525,0.999306,-9999,0.219996,13.0315,0.999306,-9999,0.463554,0.0794077,0.988889,0.0374451,0.0615389,0.077464,0.0831851,0.984722,0.988194,0.988194,0.925415,0.895735,0.906879,0.919893,0.852295,0.82492,0.841048,0.845549,0.87653,0.45922,1.18465,1.51752,0.610205,0.221837,0.610205,0.77117,-9999,-9999
