TIMESTAMP,TA_F,TA_F_QC,SW_IN_POT,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,P_F,P_F_QC,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,PPFD_IN,PPFD_IN_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_1_QC,SWC_F_MDS_1,SWC_F_MDS_1_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_RANDUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_RANDUNC,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,RECO_NT_VUT_REF,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,GPP_NT_VUT_REF,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,RECO_DT_VUT_REF,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,GPP_DT_VUT_REF,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,RECO_SR,RECO_SR_N
200901,10.891,0.0,204.402,117.825,0.0,283.065,0.0,5.991,0.0,100.575,0.0,0.646,0.0,1.089,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,19.7985,0.0,24.4018,-9999,25.7352,0.0,31.7189,-9999,-0.728762,0.0,-9999,-0.848773,-0.668217,-0.668217,0.0,0.0,0.0,0.545662,0.168753,0.699654,0.699654,1.2869,1.25834,1.36787,1.4801,1.55869,1.35998,2.3901,2.3901,2.75599,2.75599,2.78704,3.25663,-9999,-9999
200902,9.996,0.0,263.308,120.142,0.0,298.429,0.0,3.649,0.0,100.139,0.0,2.904,0.0,1.309,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,19.8104,0.0,23.4471,-9999,25.7164,0.0,30.4373,-9999,-0.732095,0.0,-9999,-0.859178,-0.679692,-0.679692,0.0,0.0,0.0,0.503622,0.162082,0.65777,0.65777,1.25815,1.25242,1.33746,1.45271,1.53889,1.34271,2.21475,2.35975,2.79153,2.79153,2.82923,3.3393,-9999,-9999
200903,12.248,0.0,341.384,221.448,0.0,283.39,0.0,5.872,0.0,100.083,0.0,0.656,0.0,1.34,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,19.8024,0.0,23.3624,-9999,25.7089,0.0,30.3307,-9999,-0.738971,0.0,-9999,-0.864615,-0.684903,-0.683613,0.0,0.0,0.0,0.59829,0.178476,0.75561,0.75561,1.34038,1.27679,1.43922,1.54643,1.59196,1.38901,2.44112,2.44112,3.84747,3.84747,4.22528,5.08501,-9999,-9999
200904,15.349,0.0,414.935,277.884,0.0,291.991,0.0,9.849,0.0,99.918,0.0,0.31,0.0,1.566,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,19.8035,0.0,23.9105,-9999,25.7203,0.0,31.0544,-9999,-0.733316,0.0,-9999,-0.857467,-0.67709,-0.67709,0.0,0.0,0.0,0.743558,0.201322,0.899218,0.899218,1.44464,1.29107,1.57631,1.66887,1.66098,1.44924,2.54697,2.54697,4.39014,4.39014,4.77476,6.17524,-9999,-9999
200905,22.257,0.0,464.539,305.766,0.0,331.41,0.0,15.601,0.0,99.657,0.0,0.162,0.0,1.463,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,19.7985,0.0,24.0921,-9999,25.7352,0.0,31.3164,-9999,-0.728762,0.0,-9999,-0.848773,-0.668217,-0.668217,0.0,0.0,0.0,1.09438,0.252928,1.2365,1.2365,1.69717,1.33598,1.90471,1.96452,1.80695,1.5766,2.77079,2.77079,4.72145,4.72145,4.97298,6.75917,-9999,-9999
200906,22.27,0.0,484.616,304.139,0.0,341.373,0.0,15.049,0.0,99.405,0.0,0.388,0.0,1.35,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,19.8035,0.0,23.5363,-9999,25.7203,0.0,30.5683,-9999,-0.733316,0.0,-9999,-0.857467,-0.67709,-0.67709,0.0,0.0,0.0,1.0966,0.253007,1.23783,1.23783,1.70266,1.33967,1.91492,1.97441,1.8068,1.57646,2.77056,2.77056,4.81752,4.81752,5.12535,6.75229,-9999,-9999
200907,27.551,0.0,474.231,320.769,0.0,355.182,0.0,24.366,0.0,99.584,0.0,0.0,0.0,1.301,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,19.8097,0.0,23.3828,-9999,25.7168,0.0,30.3553,-9999,-0.732214,0.0,-9999,-0.859012,-0.679441,-0.679441,0.0,0.0,0.0,1.41091,0.292895,1.52125,1.52125,1.91558,1.37637,2.20069,2.2317,1.90581,1.66286,2.92239,2.92239,4.87487,4.87487,4.87487,7.07488,-9999,-9999
200908,25.888,0.0,434.237,290.375,0.0,343.967,0.0,21.022,0.0,99.636,0.0,0.002,0.0,1.247,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-17.8833,0.321909,19.8024,0.0,24.712,-9999,25.7089,0.0,32.0829,-9999,-0.738971,0.0,-9999,-0.864615,-0.684903,-0.683613,0.0,0.0,0.0,1.30687,0.280347,1.42949,1.42949,1.85327,1.37323,2.1131,2.15451,1.87602,1.63686,2.8767,2.8767,4.53907,4.53907,4.59526,6.43986,-9999,-9999
200909,24.788,0.0,370.127,244.15,0.0,339.341,0.0,19.563,0.0,99.6,0.0,0.0,0.0,1.214,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-17.8651,0.0,19.8035,0.0,25.4127,-9999,25.7203,0.0,33.0054,-9999,-0.733316,0.0,-9999,-0.857467,-0.67709,-0.67709,0.0,0.0,0.0,1.24365,0.272023,1.37153,1.37153,1.80374,1.35847,2.04862,2.09505,1.85476,1.61831,2.84411,2.84411,4.08502,4.08502,4.18457,5.49108,-9999,-9999
200910,16.372,0.0,292.214,175.757,0.0,304.854,0.0,7.818,0.0,99.736,0.0,1.484,0.0,1.244,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-17.9165,0.0,19.7985,0.0,24.309,0.614166,25.7352,0.0,31.5983,0.949686,-0.728762,0.0,0.179579,-0.848773,-0.668217,-0.668217,0.0,0.0,0.0,0.780793,0.208723,0.940502,0.940502,1.47216,1.29376,1.60872,1.69743,1.68662,1.47161,2.58628,2.58628,3.35981,3.35981,3.7292,4.32268,-9999,-9999
