TIMESTAMP,TA_F,TA_F_QC,SW_IN_POT,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,P_F,P_F_QC,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,PPFD_IN,PPFD_IN_QC,SW_OUT,SW_OUT_QC,LW_OUT,LW_OUT_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_1_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_RANDUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_RANDUNC,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,RECO_NT_VUT_REF,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,GPP_NT_VUT_REF,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,RECO_DT_VUT_REF,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,GPP_DT_VUT_REF,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,RECO_SR,RECO_SR_N
200001,-8.722,1.0,134.752,61.784,0.991935,244.178,0.0,1.137,1.0,96.096,0.999328,1.044,1.0,2.688,0.477151,-9999,-9999,-9999,-9999,126.195452285,1.0,-9999,-9999,-9999,-9999,376.922,1.0,-9999,-9999,-9999,1.0,55.6128,0.0,104.145,-9999,19.612,0.0,36.7272,-9999,0.630784,0.0,-9999,0.365137,0.448955,0.652596,0.0,0.0,0.0,1.63683,1.64147,1.70661,1.82445,0.990144,1.0272,1.28366,1.34642,1.50125,1.54924,1.67147,1.68216,0.717313,0.711025,0.727367,0.730655,-9999,-9999
200002,-3.378,1.0,199.545,94.947,0.998563,261.865,0.0,1.565,1.0,95.964,1.0,1.625,1.0,2.749,0.689655,-9999,-9999,-9999,-9999,195.479045977,1.0,-9999,-9999,-9999,-9999,378.939,1.0,-9999,-9999,-9999,1.0,55.4833,0.0,117.732,-9999,18.7696,0.0,39.828,-9999,0.629555,0.0,-9999,0.361391,0.453421,0.649942,0.0,0.0,0.0,2.06214,2.07824,2.16183,2.32131,1.49131,1.51046,1.71579,1.80616,1.77266,1.82933,1.97366,1.98629,1.02226,1.00737,1.03187,1.03833,-9999,-9999
200003,2.997,1.0,292.474,135.539,1.0,276.896,0.0,3.172,1.0,95.949,0.997984,1.215,1.0,2.741,0.550403,-9999,-9999,-9999,-9999,283.159311156,1.0,-9999,-9999,-9999,-9999,379.159,1.0,-9999,-9999,-9999,1.0,55.6128,0.0,110.852,-9999,19.612,0.0,39.0922,-9999,0.630784,0.0,-9999,0.365137,0.448955,0.652596,0.0,0.0,0.0,2.55662,2.56543,2.72332,2.90389,2.10376,2.10376,2.20532,2.34577,2.07259,2.13885,2.3076,2.32236,1.3646,1.33869,1.37179,1.38304,-9999,-9999
200004,4.345,1.0,386.418,181.084,1.0,289.551,0.0,4.106,1.0,95.911,1.0,2.042,1.0,2.969,1.0,-9999,-9999,-9999,-9999,379.5978625,1.0,-9999,-9999,-9999,-9999,377.518,1.0,-9999,-9999,-9999,1.0,55.5502,0.0,97.103,-9999,19.2049,0.0,33.5705,-9999,0.63019,0.0,-9999,0.363326,0.451113,0.651313,0.0,0.0,0.0,2.65649,2.66391,2.85008,3.02246,2.21868,2.22161,2.30561,2.45699,2.13023,2.19833,2.37177,2.38695,1.69062,1.65076,1.69782,1.70957,-9999,-9999
200005,13.042,1.0,455.92,222.555,1.0,328.748,0.0,5.227,1.0,95.523,0.998656,1.65,1.0,2.589,0.995968,-9999,-9999,-9999,-9999,473.397959005,1.0,-9999,-9999,-9999,-9999,377.321,1.0,-9999,-9999,-9999,1.0,55.527,0.0,74.9457,-9999,18.839,0.0,25.4273,-9999,0.623103,0.0,-9999,0.36139,0.45335,0.644738,0.0,0.0,0.0,3.2741,3.27449,3.56411,3.65019,2.96524,2.91492,2.9499,3.00289,2.47559,2.55532,2.75629,2.77393,2.04567,1.99463,2.05395,2.06721,-9999,-9999
200006,15.338,1.0,485.885,221.412,0.997222,349.633,0.0,4.519,1.0,95.734,1.0,4.107,1.0,2.48,1.0,-9999,-9999,-9999,-9999,473.720820139,1.0,-9999,-9999,-9999,-9999,370.427,1.0,-9999,-9999,0.555209,0.177778,57.7461,0.0,67.0034,-9999,19.8492,0.0,23.0312,-9999,0.550064,0.0,-9999,0.312413,0.386055,0.569015,0.0,0.0,0.0,3.42805,3.43041,3.72522,3.85398,3.26826,3.12367,3.18164,3.26855,2.55888,2.64129,2.84902,2.86726,2.03446,1.98451,2.04281,2.05627,-9999,-9999
200007,18.476,1.0,469.249,231.081,1.0,363.44,0.0,4.943,1.0,96.087,1.0,4.364,1.0,2.097,0.995296,-9999,-9999,-9999,-9999,501.383434169,0.998655913978,-9999,-9999,-9999,-9999,366.04,1.0,-9999,-9999,-0.0500671,0.0,68.8683,0.0,78.9759,-9999,20.5763,0.0,23.5963,-9999,0.136771,0.0,-9999,0.153057,0.169385,0.189495,0.0,0.0,0.0,3.62795,3.63208,3.9419,4.11345,4.18662,3.42959,3.80102,3.95755,2.66457,2.75038,2.9667,2.98568,2.11233,2.05893,2.12077,2.13422,-9999,-9999
200008,18.258,1.0,410.083,212.502,1.0,361.569,0.0,4.578,1.0,96.348,1.0,1.505,1.0,2.058,1.0,-9999,-9999,-9999,-9999,457.499209949,0.999327956989,-9999,-9999,-9999,-9999,368.846,1.0,-9999,-9999,-0.252501,0.0483871,63.9747,0.0,51.2821,1.8956,17.8973,0.0,14.3465,1.71904,0.510415,0.0,0.127949,0.518541,0.552521,0.573251,0.0,0.0,0.0,3.61643,3.62044,3.92989,4.09753,3.77604,3.06792,3.41948,3.54843,2.65891,2.74454,2.9604,2.97934,1.9567,1.90758,1.96457,1.97716,-9999,-9999
200009,12.388,1.0,323.904,167.395,0.984722,329.384,0.0,4.304,1.0,96.743,1.0,0.284,1.0,2.58,0.993056,0.334245961717,0.585416666667,78.5746898597,0.740277777778,346.143514317,0.999305555556,-9999,-9999,-9999,-9999,377.977,1.0,13.184,0.984722,7.38716,0.979167,47.6999,0.740278,38.2362,0.496211,16.8364,0.74375,13.496,0.451117,0.948386,0.708333,0.0244361,0.943963,0.961045,0.975018,0.720139,0.703472,0.704861,3.06109,3.06203,3.19732,3.23014,2.38708,2.09296,2.24047,2.30983,3.0232,2.6091,3.11604,3.3029,1.81723,1.49886,1.79231,1.82435,-9999,-9999
200010,8.275,1.0,229.31,114.833,1.0,309.839,0.0,3.388,1.0,96.391,1.0,0.764,1.0,2.485,0.987231,0.292963700898,0.782930107527,46.3564236111,0.870967741935,232.211479167,1.0,-9999,-9999,-9999,-9999,391.693,1.0,8.745,0.989919,-14.3685,0.989919,26.072,0.96371,35.7323,0.3514,16.5577,0.963038,22.6928,0.438445,1.38406,0.910618,0.0155517,1.36657,1.37279,1.39123,0.908602,0.907258,0.915995,1.58394,1.58212,1.58997,1.64384,0.255744,0.208423,0.214769,0.25479,3.94541,1.32551,4.01078,4.78348,1.99371,0.554513,1.79367,2.0248,-9999,-9999
