TIMESTAMP,TA_F,TA_F_QC,SW_IN_POT,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,P_F,P_F_QC,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,PPFD_IN,PPFD_IN_QC,PPFD_DIF,PPFD_DIF_QC,SW_OUT,SW_OUT_QC,LW_OUT,LW_OUT_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_1_QC,SWC_F_MDS_1,SWC_F_MDS_1_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_RANDUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_RANDUNC,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,RECO_NT_VUT_REF,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,GPP_NT_VUT_REF,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,RECO_DT_VUT_REF,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,GPP_DT_VUT_REF,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,RECO_SR,RECO_SR_N
199901,-2.073,0.384409,183.23,59.319,0.966398,286.526,0.974462,1.702,0.384409,98.432,0.899194,4.361,0.951613,4.614,0.58871,-9999,-9999,26.3100491331,0.922043010753,92.2002704725,0.952956989247,-9999,-9999,10.2401520883,0.909946236559,306.922297996,0.922043010753,372.603,0.965054,3.255,1.0,46.891,1.0,-4.51145,1.0,2.38559,0.96371,4.29121,0.246847,-5.36759,0.961022,-9.65523,1.34482,0.937418,0.956989,0.0345032,0.925865,0.932661,0.937135,0.956989,0.956989,0.956989,1.01991,1.01991,1.04302,1.09135,0.0827774,0.0845903,0.112007,0.165936,0.911916,0.900425,0.906454,0.914999,0.00714208,0.00578154,0.00717209,0.0118246,-9999,-9999
199902,0.931,0.995536,243.955,104.447,0.997024,281.277,0.997024,2.19,0.995536,98.368,0.970238,3.92,0.964286,4.122,0.886905,0.575071650225,0.854166666667,46.4346929533,0.977678571429,185.655362317,0.971726190476,-9999,-9999,12.7346995145,0.936011904762,328.426586993,0.979166666667,370.926,0.997024,4.507,1.0,48.006,1.0,-3.32921,1.0,8.98652,0.99256,13.3372,0.285487,14.5462,0.991071,21.5886,0.993797,1.06435,0.982143,0.0261244,1.05588,1.06452,1.07598,0.982143,0.980655,0.980655,1.07709,1.05716,1.06924,1.07629,0.00130024,-0.00368284,0.000460974,0.00375198,1.07225,1.07098,1.07454,1.08193,0.0197692,0.0202273,0.0208558,0.0217642,-9999,-9999
199903,0.434,0.83871,326.438,173.134,0.913978,269.081,0.913978,2.699,0.83871,98.555,0.827957,1.326,1.0,3.786,0.770161,0.506095122298,0.717741935484,85.4648309476,0.79435483871,284.89442804,0.876344086022,-9999,-9999,22.248970849,0.791666666667,331.57762864,0.799731182796,369.736,0.913978,4.61,1.0,47.192,1.0,-1.4458,1.0,9.94508,0.913978,14.7599,0.209493,48.6412,0.915323,72.1903,1.43655,0.912842,0.896505,0.0249335,0.899025,0.908396,0.914229,0.903226,0.896505,0.903226,0.738262,0.724149,0.731824,0.738456,-0.16683,-0.188081,-0.178995,-0.169687,1.14282,1.1265,1.13227,1.14282,0.0298377,0.0240627,0.0252647,0.0288321,-9999,-9999
199904,12.909,0.208333,406.516,175.942,0.95,331.663,0.168056,5.405,0.208333,98.018,0.715278,3.453,1.0,4.252,0.601389,-9999,-9999,-9999,-9999,322.460149989,0.943055555556,-9999,-9999,23.0541426674,0.798611111111,-9999,-9999,371.152,0.95,11.514,1.0,47.0,1.0,4.50526,1.0,21.0007,0.95,31.168,0.697796,44.518,0.95,66.0709,1.55627,2.06194,0.948611,0.190229,1.98912,2.06194,2.14032,0.948611,0.948611,0.947222,2.12571,2.03964,2.15178,2.19274,0.0239019,0.0286369,0.0784842,0.114671,1.88026,1.90736,1.92039,1.96906,0.797362,0.794565,0.804871,0.830966,-9999,-9999
199905,15.055,0.922043,462.448,245.116,0.923387,352.99,0.0,7.116,0.922043,98.152,0.849462,3.413,1.0,3.481,0.837366,0.463013394822,0.784946236559,-9999,-9999,488.164304604,0.870967741935,-9999,-9999,43.5008114591,0.818548387097,-9999,-9999,365.722,0.918011,14.978,1.0,45.677,1.0,4.96598,1.0,71.7609,0.923387,102.354,1.57596,37.0338,0.923387,52.8223,1.16916,-3.72687,0.888441,0.149202,-3.73453,-3.70633,-3.65056,0.88172,0.896505,0.879032,5.26711,5.07999,5.26711,5.43939,9.00197,8.7281,8.99086,9.08995,4.71201,4.72642,5.00836,5.30172,8.39871,8.22642,8.39923,8.65575,-9999,-9999
199906,16.102,0.922222,485.876,250.556,0.923611,382.582,0.0,5.205,0.922222,98.347,0.838889,3.55,1.0,2.887,0.747222,0.319785644006,0.629166666667,-9999,-9999,471.92364306,0.8875,-9999,-9999,43.3323115984,0.831944444444,-9999,-9999,383.044,0.919444,18.588,1.0,39.663,1.0,5.21951,1.0,86.9407,0.920833,123.107,2.33045,18.8235,0.920833,26.6538,0.665651,-5.74334,0.861111,0.136833,-5.79219,-5.72569,-5.58865,0.8625,0.8625,0.797222,6.84358,6.58594,6.83503,6.98647,12.4496,12.3317,12.5187,12.6975,5.34195,5.73424,6.04473,7.31863,11.8046,11.5177,11.7777,12.4794,-9999,-9999
199907,24.696,0.768817,474.091,268.011,0.729839,400.045,0.0,7.841,0.768817,98.33,0.354839,3.474,1.0,2.97,0.474462,-9999,-9999,-9999,-9999,513.390315947,0.564516129032,-9999,-9999,-9999,-9999,-9999,-9999,367.698,0.696237,21.557,1.0,37.875,1.0,6.6244,0.966398,91.2726,0.706989,121.579,1.30033,9.58058,0.705645,12.7618,0.628479,-5.39135,0.543011,0.11686,-5.4293,-5.39263,-5.27541,0.540323,0.543011,0.548387,7.54431,7.38861,7.48181,7.81005,12.9122,12.7254,12.8235,13.2523,6.11973,5.9163,7.31911,9.18517,10.4618,10.7332,11.5707,12.3336,-9999,-9999
199908,21.938,1.0,428.727,246.869,0.978495,372.225,0.413978,8.734,1.0,98.225,0.0,1.28,0.822581,2.761,0.822581,0.318270496858,0.735215053763,-9999,-9999,529.42025537,0.990591397849,-9999,-9999,39.8099530579,0.709677419355,-9999,-9999,373.046,0.96371,19.686,1.0,19.969,1.0,0.84036,0.99328,85.1948,0.975806,109.085,1.49362,20.5383,0.975806,26.2977,0.829242,-4.21879,0.866935,0.111742,-4.30077,-4.27093,-4.20257,0.864247,0.864247,0.848118,5.05734,4.86201,5.02501,5.05724,9.33871,9.0374,9.23201,9.32237,6.56155,5.71009,6.08322,6.30926,10.2009,9.52252,10.0686,10.3629,-9999,-9999
199909,21.035,0.95,358.026,212.087,0.95,333.46,0.8125,13.166,0.95,98.27,0.333333,1.127,0.966667,3.337,0.866667,0.374855412565,0.802777777778,-9999,-9999,457.637573746,0.929166666667,-9999,-9999,36.5522450801,0.863888888889,-9999,-9999,384.195,0.948611,17.253,1.0,12.688,1.0,0.41851,1.0,54.8083,0.951389,58.1025,0.981067,34.1551,0.951389,36.208,0.964975,-2.01792,0.908333,0.0601874,-2.0406,-2.00951,-1.94965,0.926389,0.911111,0.905556,2.93613,2.88605,2.92645,3.02438,4.9266,4.8899,4.93639,4.96848,3.36188,2.75884,3.15124,3.36748,4.65968,4.58164,4.68402,4.99447,-9999,-9999
199910,14.537,0.93414,274.67,149.677,0.93414,302.65,0.920699,7.525,0.93414,98.628,0.204301,1.132,1.0,3.661,0.857527,0.453460133807,0.793010752688,40.4079569242,0.659946236559,300.858955939,0.90188172043,-9999,-9999,25.8920519547,0.852150537634,369.930725763,0.665322580645,391.899,0.931452,12.522,1.0,21.543,1.0,-2.58615,1.0,30.1696,0.931452,31.9829,0.633647,28.1479,0.931452,29.8397,1.25095,0.318384,0.889785,0.0449062,0.298913,0.318109,0.333095,0.895161,0.885753,0.905914,2.55808,2.46094,2.55248,2.62031,2.23997,2.13648,2.23463,2.26994,1.89133,1.86031,2.00317,2.13809,1.78487,1.85533,1.9504,2.00809,-9999,-9999
