TIMESTAMP,TA_F,TA_F_QC,SW_IN_POT,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,P_F,P_F_QC,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,PPFD_IN,PPFD_IN_QC,PPFD_DIF,PPFD_DIF_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_1_QC,SWC_F_MDS_1,SWC_F_MDS_1_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_RANDUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_RANDUNC,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,RECO_NT_VUT_REF,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,GPP_NT_VUT_REF,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,RECO_DT_VUT_REF,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,GPP_DT_VUT_REF,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,RECO_SR,RECO_SR_N
200401,0.897,0.0,145.511,39.95,0.643145,294.177,0.0,1.424,0.0,90.446,0.0,1.083,0.0,1.93,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,50.3495,0.0,46.962,-9999,77.6229,0.0,72.4005,-9999,-0.141289,0.0,-9999,-0.175356,-0.141289,-0.141289,0.0,0.0,0.0,1.74752,1.70177,1.72393,1.75688,1.88667,1.84518,1.88881,1.90126,1.86113,1.77888,1.84685,1.8568,0.70151,0.696873,0.759569,0.769632,-9999,-9999
200402,1.901,0.0,209.909,84.058,0.591954,280.664,0.0,2.012,0.0,90.336,0.0,0.788,0.0,1.636,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,49.4942,0.0,46.8276,-9999,77.3656,0.0,73.1974,-9999,-0.140192,0.0,-9999,-0.175618,-0.140192,-0.140192,0.0,0.0,0.0,1.8577,1.81287,1.8346,1.86686,1.9958,1.95533,1.9979,2.01194,1.9047,1.82053,1.89009,1.90027,1.20154,1.20154,1.28091,1.29577,-9999,-9999
200403,5.275,0.0,301.023,153.224,0.531586,277.25,0.0,3.779,0.0,90.768,0.0,0.365,0.0,1.641,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,24.3075,0.53293,50.0985,0.0,51.9775,-9999,75.2742,0.0,78.0974,-9999,-0.126386,0.0,-9999,-0.158985,-0.126386,-0.126386,0.0,0.0,0.0,2.27538,2.24068,2.25751,2.28245,2.40015,2.36919,2.40177,2.41829,2.0331,1.94325,2.0175,2.02837,1.74179,1.74179,1.83128,1.8502,-9999,-9999
200404,8.121,0.0,391.827,228.797,0.466667,281.464,0.0,5.646,0.0,90.599,0.0,0.39,0.0,1.494,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,24.6108,0.0,50.3765,0.0,50.6475,-9999,76.108,0.0,76.5174,-9999,0.356131,0.0,-9999,0.356131,0.356131,0.356131,0.0,0.0,0.0,2.63242,2.6073,2.6195,2.63753,2.27512,2.24938,2.25994,2.2814,2.13878,2.04427,2.12238,2.13381,2.26481,2.26481,2.36094,2.3839,-9999,-9999
200405,10.167,0.0,458.055,236.924,0.412634,299.126,0.0,5.271,0.0,90.458,0.0,0.382,0.0,1.743,0.44086,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,16.127,0.599462,12.546,0.599462,25.2853,0.0,50.5804,0.565188,50.405,0.324831,85.2775,0.565188,84.9818,1.02205,0.153275,0.0,-9999,0.151156,0.153275,0.153275,0.0,0.0,0.0,2.88529,2.86574,2.87525,2.88925,2.73111,2.71106,2.72143,2.73597,2.21805,2.12003,2.20103,2.21289,2.41636,2.41636,2.52521,2.55001,-9999,-9999
200406,15.711,0.720833,486.263,251.176,0.698611,307.921,0.0,11.157,0.720833,90.603,0.0,0.209,0.0,1.861,0.803472,0.374617257246,0.773611111111,-9999,-9999,-9999,-9999,-9999,-9999,387.38,0.593056,22.627,0.995833,10.927,0.995833,24.4074,0.593056,45.5138,0.979167,45.356,0.355492,94.9263,0.979167,94.5972,0.753064,-0.0487861,0.535417,0.0300923,-0.0487861,-0.0411187,-0.0131177,0.535417,0.531944,0.53125,3.06507,3.05975,3.06176,3.06562,3.106,3.07356,3.10619,3.10992,2.76064,2.64488,2.74243,2.75969,2.84276,2.80922,2.90556,2.92027,-9999,-9999
200407,20.676,1.0,470.479,297.343,1.0,321.329,0.0,17.256,1.0,90.582,0.0,0.034,0.110887,1.695,0.718414,0.354790327083,0.695564516129,148.269968852,0.998655913978,571.757338038,1.0,-9999,-9999,378.123,1.0,27.981,1.0,8.786,1.0,15.8738,1.0,21.8765,0.997312,22.0341,0.263996,109.704,0.997984,110.494,0.766078,0.0863157,0.942876,0.0247377,0.0737233,0.082239,0.0835295,0.935484,0.943548,0.942876,2.12152,2.11477,2.12152,2.12687,2.03952,2.03821,2.04056,2.04378,1.69211,1.60462,1.65458,1.67109,1.67005,1.70241,1.70703,1.71239,-9999,-9999
200408,20.999,0.230511,414.214,282.913,1.0,338.477,0.0,15.255,0.230511,90.575,0.0,0.883,1.0,1.293,0.0168011,-9999,-9999,108.700495961,0.977822580645,541.460558072,0.997983870968,149.850774866,1.0,376.242,0.230511,24.691,1.0,9.041,1.0,8.68911,1.0,11.4319,0.228495,10.3044,0.231395,83.5165,0.228495,75.2791,0.867519,0.50343,0.211022,0.032882,0.489848,0.497272,0.501339,0.211022,0.211022,0.210349,2.13589,2.13535,2.14039,2.16356,1.66245,1.63164,1.64604,1.66833,1.10619,1.10619,1.11466,1.11569,1.15134,1.15115,1.17367,1.18318,-9999,-9999
200409,13.36,0.00694444,331.305,226.4,1.0,311.008,0.0,6.258,0.00694444,90.569,0.0,0.06,1.0,1.494,0.248611,-9999,-9999,77.5669601696,0.994444444444,433.351902083,0.997916666667,124.742706944,1.0,376.14,0.00694444,16.418,0.995139,9.381,0.995139,4.47778,1.0,15.2364,0.700694,12.1211,0.605531,77.7917,0.700694,61.8859,1.693,0.418746,0.684722,0.0391927,0.408306,0.415547,0.418374,0.682639,0.684722,0.684722,1.30742,1.30727,1.30748,1.36496,0.935853,0.888523,0.901059,0.952477,1.30234,1.15278,1.30234,1.84391,1.15669,0.780915,0.881333,1.15669,-9999,-9999
200410,8.664,0.975806,239.055,145.766,1.0,304.01,0.0,4.861,0.975806,90.293,0.0,0.423,1.0,1.533,0.630376,0.32258325512,0.588037634409,39.0627288762,0.989919354839,280.314468414,1.0,91.8380981183,1.0,379.157,0.954301,10.425,1.0,9.409,1.0,-4.75221,1.0,14.4306,0.97379,11.9164,0.317886,37.425,0.974462,30.9045,0.644195,0.159972,0.934812,0.0313504,0.159972,0.177428,0.212929,0.934812,0.934812,0.932796,0.72915,0.691551,0.72915,0.76889,0.561627,0.527078,0.551721,0.557904,1.56478,1.38652,1.56433,1.7995,1.12327,0.870761,1.0386,1.12327,-9999,-9999
200411,3.598,1.0,162.802,80.021,1.0,281.515,0.0,2.281,1.0,91.002,0.0,0.114,0.998611,1.302,0.750694,0.234068307268,0.648611111111,9.29341216787,0.996527777778,152.990695743,0.998611111111,65.8869358304,0.999305555556,384.946,1.0,3.755,0.454167,11.824,0.454167,-7.92763,1.0,7.73059,1.0,7.45323,0.188639,10.3237,1.0,9.95333,0.355254,-0.224169,0.992361,0.0289702,-0.233177,-0.222064,-0.212305,0.995833,0.992361,0.991667,0.329929,0.319633,0.324881,0.329973,0.539816,0.539816,0.545556,0.557101,1.16791,1.08345,1.15145,1.16672,0.939563,0.883879,0.916785,0.920921,-9999,-9999
200412,1.812,1.0,128.029,54.572,0.989247,286.41,0.0,1.474,1.0,90.5,0.0,0.531,0.96707,1.116,0.836694,0.180848615456,0.766801075269,2.35222826322,0.883064516129,105.330924483,0.967069892473,58.9964388441,1.0,382.832,1.0,1.088,1.0,18.67,1.0,-5.14697,0.987903,5.7662,0.99328,5.6265,0.15851,1.12447,0.99328,1.09722,0.287103,-0.123465,0.99328,0.0253804,-0.132819,-0.11894,-0.116403,0.987231,0.99328,0.99328,0.38111,0.35084,0.368425,0.3786,0.494999,0.483566,0.489823,0.496318,0.752486,0.68966,0.812512,0.938599,0.603305,0.547054,0.584787,0.62742,-9999,-9999
200501,0.476,1.0,145.511,53.161,1.0,271.591,0.0,1.368,1.0,90.407,0.0,0.25,1.0,1.195,0.752688,0.185838516727,0.674731182796,0.843292864656,0.996639784946,102.233475806,1.0,59.9493837366,1.0,382.327,1.0,1.524,1.0,20.074,1.0,-3.48697,1.0,5.57175,1.0,4.0152,0.162893,0.44015,0.999328,0.317188,0.282352,-0.371024,0.997984,0.0207005,-0.398864,-0.378839,-0.373593,0.997312,0.997984,0.997984,0.19545,0.184057,0.193237,0.198382,0.57368,0.550951,0.574026,0.588514,0.39256,0.710909,0.722529,0.739443,0.503435,0.503103,0.510982,0.525746,-9999,-9999
