TIMESTAMP,TA_F,TA_F_QC,SW_IN_POT,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,P_F,P_F_QC,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,PPFD_IN,PPFD_IN_QC,PPFD_DIF,PPFD_DIF_QC,SW_DIF,SW_DIF_QC,SW_OUT,SW_OUT_QC,LW_OUT,LW_OUT_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_1_QC,SWC_F_MDS_1,SWC_F_MDS_1_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_RANDUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_RANDUNC,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,RECO_NT_VUT_REF,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,GPP_NT_VUT_REF,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,RECO_DT_VUT_REF,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,GPP_DT_VUT_REF,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,RECO_SR,RECO_SR_N
200201,-0.991,1.0,146.422,67.205,1.0,271.374,0.0,1.213,1.0,87.233,0.0,1.385,1.0,4.48,0.969758,0.579048696988,0.943548387097,13.5486586022,1.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,368.024,1.0,0.199,1.0,40.093,1.0,-2.43514,1.0,18.4405,1.0,26.105,0.542333,-13.4504,1.0,-19.0407,0.82598,0.924279,0.974462,0.0203151,0.861078,0.924279,0.987589,0.982527,0.974462,0.885753,1.53122,1.38993,1.47517,1.51284,0.542935,0.521437,0.531526,0.547789,1.50821,1.2361,1.39635,1.50343,0.707902,0.583419,0.635541,0.667212,-9999,-9999
200202,0.982,1.0,209.338,131.051,1.0,254.926,0.0,2.322,1.0,87.488,0.0,0.517,1.0,3.767,1.0,0.463240225564,0.982142857143,42.7630260417,1.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,371.982,1.0,0.224,1.0,38.447,1.0,-2.08271,1.0,11.481,1.0,16.2529,0.423384,20.198,1.0,28.5929,0.743926,-0.405305,0.858631,0.0274183,-0.472877,-0.443643,-0.404778,0.80878,0.835565,0.915179,0.741078,0.730219,0.75308,0.875069,1.21599,1.18673,1.22629,1.27394,0.82452,0.82452,1.22783,1.50191,1.24376,1.24376,1.52896,1.66219,-9999,-9999
200203,0.257,1.0,298.589,172.651,1.0,263.738,0.0,2.391,1.0,87.121,0.0,0.705,1.0,4.782,1.0,0.652497691169,0.971102150538,86.3260120968,1.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,376.692,0.999328,0.151,1.0,39.041,1.0,-0.998503,1.0,27.2671,1.0,39.1347,0.534684,33.5763,1.0,48.1899,0.921287,-0.623687,0.975134,0.027483,-0.670813,-0.624637,-0.61626,0.960349,0.975134,0.976478,1.5651,1.55534,1.56515,1.57416,2.22305,2.17165,2.19187,2.24846,1.23477,1.20766,1.23477,1.29087,1.99801,1.94512,2.05613,2.17331,-9999,-9999
200204,4.971,1.0,389.597,248.532,1.0,269.287,0.0,3.56,1.0,87.123,0.0,1.363,1.0,4.257,1.0,0.592764609314,0.995138888889,156.308819444,1.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,378.438,1.0,6.82,1.0,35.599,1.0,3.33181,1.0,46.4961,1.0,57.9081,0.682605,76.3851,0.999306,95.133,1.12462,-2.81407,0.974306,0.0415092,-2.89165,-2.81407,-2.7062,0.95625,0.974306,0.99375,2.35609,2.33272,2.35083,2.36298,5.21906,5.04122,5.16247,5.27137,2.35568,2.10726,2.20242,2.42259,5.17045,5.07454,5.15132,5.18615,-9999,-9999
200205,7.678,1.0,456.611,287.149,1.0,278.456,0.0,4.966,1.0,87.153,0.0,0.123,1.0,3.993,1.0,0.563114633379,0.999327956989,192.446641129,1.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,371.545,1.0,10.679,1.0,28.066,1.0,4.18734,1.0,50.8908,1.0,64.1493,0.615018,98.4588,1.0,124.11,1.13245,-3.46837,0.932796,0.0617082,-3.47124,-3.44453,-3.38492,0.933468,0.914651,0.971102,2.95366,2.82476,2.89122,3.22665,6.39975,6.20378,6.33525,6.74293,3.12223,2.63574,3.46277,3.80532,6.96494,6.33323,7.10277,7.25574,-9999,-9999
200206,13.688,1.0,486.056,320.586,1.0,291.33,0.0,8.761,1.0,87.219,0.0,0.152,1.0,4.224,1.0,0.591809722222,1.0,220.096853354,0.999305555556,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,363.097,1.0,16.787,1.0,15.619,1.0,5.9823,1.0,69.1794,1.0,92.2193,0.767868,91.7819,1.0,122.349,1.15313,-3.09337,0.929167,0.0608182,-3.29156,-3.11069,-3.03135,0.9,0.926389,0.936806,5.04985,5.00308,5.04689,5.07798,8.30421,8.03848,8.16759,8.43954,5.23167,5.21855,5.23958,5.35643,7.92529,8.01329,8.05521,8.44356,-9999,-9999
200207,18.941,1.0,471.756,331.407,1.0,298.774,0.0,13.729,1.0,87.324,0.0,0.164,1.0,3.495,1.0,0.486126344086,1.0,223.391333162,0.999327956989,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,364.722,1.0,22.018,1.0,10.784,1.0,7.01768,1.0,67.5597,1.0,92.7988,0.773536,90.3869,1.0,124.154,1.2073,-0.572051,0.858871,0.0395738,-0.653027,-0.589435,-0.565585,0.846102,0.865591,0.87836,7.26558,7.1401,7.2121,7.26634,7.89102,7.713,7.79846,7.9273,6.08844,5.88263,5.95081,6.08844,6.70578,6.56277,6.63669,6.71169,-9999,-9999
200208,16.733,1.0,416.881,282.672,1.0,289.231,0.0,12.408,1.0,87.346,0.0,0.09,1.0,3.137,1.0,0.440824596774,1.0,180.485424731,1.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,362.219,1.0,19.32,1.0,10.24,1.0,3.84211,1.0,36.0074,1.0,48.9713,0.517733,93.874,1.0,127.672,1.18949,-0.851157,0.910618,0.030371,-0.898056,-0.888151,-0.868282,0.935484,0.929435,0.891801,4.89108,4.86315,4.88932,4.94046,5.78965,5.73744,5.77972,5.81888,3.23115,3.15833,3.2422,3.50735,4.8734,4.79372,4.86606,5.08196,-9999,-9999
200209,14.157,1.0,334.899,213.187,1.0,282.757,0.0,10.494,1.0,87.129,0.0,0.161,1.0,3.194,1.0,0.421181944444,1.0,122.460701389,1.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,366.346,0.999306,13.506,1.0,10.109,1.0,1.37089,1.0,21.0036,0.999306,26.939,0.430667,73.2857,1.0,93.9955,0.929176,-1.18646,0.854861,0.0326353,-1.60754,-1.1871,-0.936534,0.810417,0.854861,0.871528,3.17561,3.17383,3.22896,3.38646,4.53589,4.31172,4.41567,4.64948,2.47978,2.25128,2.47452,2.70535,3.36717,3.26226,3.36717,3.57819,-9999,-9999
200210,7.244,1.0,242.79,156.08,1.0,261.401,0.0,5.58,1.0,87.383,0.0,0.213,0.995968,2.843,0.995968,0.33884301562,0.983198924731,63.182724056,0.996639784946,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,362.058,1.0,3.86,1.0,10.818,1.0,-3.41742,1.0,13.9259,1.0,17.2352,0.314849,40.3747,1.0,49.9694,0.735482,-1.26458,0.822581,0.0345423,-1.68567,-1.26458,-1.01774,0.710349,0.822581,0.876344,1.78552,1.77524,1.82283,1.86713,3.18488,2.89281,3.10507,3.26757,2.63892,1.68788,1.87564,2.12893,3.68115,2.85719,3.68115,3.80724,-9999,-9999
