TIMESTAMP,TA_F,TA_F_QC,SW_IN_POT,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,P_F,P_F_QC,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,PPFD_IN,PPFD_IN_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_1_QC,SWC_F_MDS_1,SWC_F_MDS_1_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_RANDUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_RANDUNC,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,RECO_NT_VUT_REF,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,GPP_NT_VUT_REF,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,RECO_DT_VUT_REF,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,GPP_DT_VUT_REF,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,RECO_SR,RECO_SR_N
199601,1.18,1.0,146.086,55.105,1.0,286.837,0.0,1.599,1.0,90.376,0.0,3.871,1.0,1.939,1.0,-9999,-9999,10.3177513441,1.0,105.971203629,1.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,5.28059,0.0,-9999,-9999,29.0593,0.0,-9999,-9999,-0.300803,0.0,-9999,-0.300803,-0.300803,-0.185391,0.0,0.0,0.0,2.92616,2.38901,2.75195,2.92616,3.05275,2.67217,3.05275,3.16057,0.311281,0.3618,0.512895,0.830363,1.37735,1.33536,1.37735,1.71228,-9999,-9999
199602,0.295,1.0,210.459,103.915,1.0,267.97,0.0,1.609,1.0,90.275,0.0,5.869,1.0,2.038,1.0,-9999,-9999,44.336966954,1.0,199.836579741,1.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,5.11027,0.0,-9999,-9999,28.8525,0.0,-9999,-9999,-0.294292,0.0,-9999,-0.294292,-0.294292,-0.178142,0.0,0.0,0.0,2.81062,2.28706,2.6378,2.81062,2.93209,2.55842,2.93209,3.05266,0.323733,0.376273,0.533412,0.8339,2.16148,1.93091,2.16148,2.53687,-9999,-9999
199603,4.486,1.0,301.474,176.263,1.0,273.675,0.0,3.065,1.0,90.651,0.0,1.258,1.0,2.086,1.0,-9999,-9999,85.5919677419,1.0,338.96650672,1.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,5.28059,0.0,-9999,-9999,29.0593,0.0,-9999,-9999,-0.455229,0.0,-9999,-0.456321,-0.427302,-0.420928,0.0,0.0,0.0,3.37241,2.90444,3.22452,3.37241,3.67974,3.33175,3.61504,3.73939,0.455613,0.529557,0.75071,1.16123,3.00379,2.52198,3.00379,3.36947,-9999,-9999
199604,7.221,1.0,392.109,208.779,1.0,297.415,0.0,4.545,1.0,90.664,0.0,2.126,0.784028,2.023,1.0,0.378179327724,0.834027777778,113.713645833,1.0,401.498241667,1.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,5.19827,0.0,-9999,-9999,28.9594,0.0,-9999,-9999,-1.66,0.0,-9999,-1.66,-1.6489,-1.54938,0.0,0.0,0.0,3.75478,3.4132,3.64727,3.75478,5.30727,5.04784,5.21628,5.30727,0.707956,0.822854,1.16649,1.65486,3.36592,2.85539,3.36592,3.79371,-9999,-9999
199605,8.584,1.0,458.163,260.165,1.0,291.936,0.0,5.028,1.0,90.629,0.0,2.74,0.200269,1.975,0.993952,0.3660120491,0.926747311828,155.888858871,1.0,500.317890457,1.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,5.15889,0.0,-9999,-9999,29.0781,0.0,-9999,-9999,-2.18474,0.31922,0.168949,-2.20167,-2.16842,-2.09012,0.31922,0.318548,0.318548,3.71382,3.44927,3.61987,3.71382,5.80461,5.50609,5.73804,5.88224,0.985282,1.10388,1.28806,1.89464,3.93854,3.42061,3.93854,4.42147,-9999,-9999
199606,14.306,1.0,486.278,318.181,1.0,300.596,0.0,9.563,1.0,90.837,0.0,0.754,1.0,1.819,1.0,0.357420211799,0.782638888889,192.325885417,1.0,611.886341667,1.0,370.57,0.974306,-9999,-9999,-9999,-9999,-9999,1.0,5.19827,0.0,-9999,-9999,28.9594,0.0,-9999,-9999,-2.83091,0.95625,0.129473,-2.91544,-2.84245,-2.81768,0.952778,0.965278,0.952778,4.21557,4.08024,4.16859,4.24128,6.89355,6.91298,7.04353,7.07273,2.42985,2.4169,2.58921,2.87198,5.32353,5.02383,5.18488,5.31854,-9999,-9999
199607,20.153,1.0,470.539,327.282,1.0,327.177,0.0,16.658,1.0,90.864,0.0,0.049,1.0,1.832,1.0,0.321919668349,0.950268817204,197.531962366,1.0,629.389011425,1.0,380.615,0.997984,-9999,-9999,-9999,-9999,-9999,1.0,5.15533,0.0,-9999,-9999,28.7407,0.0,-9999,-9999,-1.37596,0.986559,0.0916042,-1.41508,-1.3801,-1.26469,0.982527,0.985887,0.994624,4.59753,4.04154,4.37206,4.56935,5.47342,5.41978,5.77511,5.8595,2.25235,2.52276,2.63977,2.7745,4.23812,4.12946,4.22427,4.32687,-9999,-9999
199608,18.836,1.0,414.428,269.939,1.0,319.31,0.0,15.546,1.0,90.845,0.0,0.0,1.0,1.823,1.0,0.338062198482,0.995967741935,157.807270833,1.0,519.113634409,1.0,375.283,1.0,-9999,-9999,-9999,-9999,-9999,1.0,5.28059,0.0,-9999,-9999,29.0593,0.0,-9999,-9999,-1.98667,0.991263,0.107189,-2.12767,-2.10499,-1.97919,0.993952,0.993952,0.991263,2.79183,2.66499,2.77986,3.02056,4.67173,4.57579,4.89592,5.06498,1.258,1.36711,1.45838,1.66615,4.26228,3.99021,4.17929,4.26228,-9999,-9999
199609,12.762,1.0,331.694,202.938,1.0,301.398,0.0,8.503,1.0,90.688,0.0,0.381,1.0,1.636,1.0,0.281427876409,0.993055555556,117.354170833,1.0,390.265968056,1.0,361.962,1.0,-9999,-9999,-9999,-9999,-9999,1.0,5.19827,0.0,-9999,-9999,28.9594,0.0,-9999,-9999,-1.30716,0.997917,0.111687,-1.36874,-1.31747,-1.2878,0.996528,0.997917,0.997917,3.38224,3.08402,3.30211,3.49035,4.57031,4.52839,4.58109,4.78171,1.5973,1.04207,1.10152,1.2758,3.78699,3.829,3.91737,4.01644,-9999,-9999
199610,8.345,1.0,239.571,117.596,1.0,301.247,0.0,4.771,1.0,90.741,0.0,1.368,1.0,1.678,1.0,0.290664152167,0.848790322581,57.9366922043,1.0,226.146089382,1.0,368.855,0.864247,-9999,-9999,-9999,-9999,-9999,1.0,5.15889,0.0,-9999,-9999,29.0781,0.0,-9999,-9999,-0.995994,0.801075,0.113708,-1.2366,-1.22545,-1.06473,0.803091,0.803091,0.801747,1.65351,1.54859,1.61156,1.67003,2.64562,2.64377,2.7875,2.888,0.332207,0.306696,0.359609,0.393566,2.78569,2.62016,2.72017,2.78569,-9999,-9999
