TIMESTAMP,TA_F,TA_F_QC,SW_IN_POT,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,P_F,P_F_QC,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,PPFD_IN,PPFD_IN_QC,SW_OUT,SW_OUT_QC,LW_OUT,LW_OUT_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_1_QC,SWC_F_MDS_1,SWC_F_MDS_1_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_RANDUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_RANDUNC,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,RECO_NT_VUT_REF,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,GPP_NT_VUT_REF,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,RECO_DT_VUT_REF,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,GPP_DT_VUT_REF,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,RECO_SR,RECO_SR_N
201001,2.487,0.0,147.343,42.927,0.0,300.554,0.0,2.457,0.0,89.574,0.0,1.534,0.0,2.37,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,12.5975,0.0,-9999,0.410005,7.27015,0.0,-9999,0.320701,-2.59416,0.0,-9999,-2.88308,-2.59416,-2.58363,0.0,0.0,0.0,1.68668,0.974783,1.68317,1.69124,4.27733,3.87758,4.27486,4.27733,0.686153,0.509633,0.684169,1.06995,1.24953,1.24953,1.32911,1.49169,-9999,-9999
201002,2.153,0.224702,210.221,96.739,0.227679,288.166,0.224702,2.343,0.224702,89.831,0.198661,0.845,0.208333,1.81,0.184524,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,15.2396,0.223214,-9999,0.309727,25.7033,0.223214,-9999,0.417869,-2.63372,0.0,-9999,-2.91516,-2.63372,-2.62418,0.0,0.0,0.0,1.65021,0.95224,1.64671,1.65475,4.28043,3.89456,4.27893,4.28043,0.668829,0.495938,0.666894,1.04732,2.14912,2.14343,2.25784,2.46711,-9999,-9999
201003,2.688,0.72379,299.317,171.047,0.725134,272.934,0.72379,3.123,0.72379,90.019,0.913306,0.607,0.713038,1.959,0.909946,0.328361551374,0.811827956989,88.5563404793,0.698924731183,-9999,-9999,24.6785691355,0.696908602151,335.030704498,0.698924731183,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,26.1177,0.869624,-9999,0.456666,45.8393,0.909274,-9999,0.80395,-2.21606,0.0,-9999,-2.49267,-2.21606,-2.20558,0.0,0.0,0.0,1.7545,1.02572,1.75132,1.75864,3.96738,3.54523,3.96422,3.96715,0.744044,0.61165,0.741892,1.10933,3.12132,3.11496,3.25361,3.4582,-9999,-9999
201004,3.996,1.0,390.056,217.798,1.0,281.438,1.0,3.409,1.0,89.77,1.0,0.089,0.995833,2.517,1.0,0.404644278284,0.936111111111,120.590278738,0.995833333333,-9999,-9999,32.4121769459,0.994444444444,346.437291489,0.995833333333,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,41.3237,0.998611,-9999,0.646346,56.912,0.997917,-9999,0.887236,-1.89835,0.0,-9999,-2.10465,-1.90149,-1.71869,0.0,0.0,0.0,1.9427,1.15332,1.9398,1.94646,3.84517,3.25724,3.66515,3.8121,0.860673,0.763802,0.858184,1.2233,3.64476,3.64315,3.78972,3.99604,-9999,-9999
201005,7.388,1.0,456.79,256.573,1.0,298.097,1.0,4.252,1.0,90.061,0.91129,0.555,0.995296,2.622,0.90121,0.426667405632,0.844086021505,154.589342601,0.993951612903,-9999,-9999,32.3943083453,0.993951612903,367.827035061,0.995295698925,-9999,-9999,9.687,0.727823,14.911,0.727823,-9999,1.0,53.5316,0.998656,-9999,0.66402,73.6896,0.998656,-9999,0.811429,-2.39375,0.0,0.105196,-2.56297,-2.34422,-2.25867,0.0,0.0,0.0,2.43946,1.48857,2.43733,2.44222,4.83093,4.07318,4.69731,4.75121,1.16708,1.16014,1.16708,1.52407,4.13964,4.13964,4.29925,4.51555,-9999,-9999
201006,12.545,1.0,486.08,295.379,1.0,311.703,1.0,6.814,1.0,90.228,0.615278,1.043,0.995833,2.188,0.615278,0.414454358673,0.545138888889,174.16895693,0.995833333333,-9999,-9999,37.7555242169,0.995833333333,395.954246291,0.995833333333,406.968,0.936806,15.554,1.0,14.238,1.0,-9999,1.0,68.9722,0.815278,-9999,0.664775,75.2447,0.815972,-9999,0.805986,-2.15886,0.736111,0.0454527,-2.35534,-2.10378,-2.07225,0.677778,0.732639,0.729861,3.42882,2.78029,3.60272,3.61154,5.6888,5.25172,5.65022,5.6888,2.49742,2.12241,2.31639,2.47043,4.38707,4.2713,4.35573,4.45782,-9999,-9999
201007,18.464,1.0,471.845,330.092,1.0,322.745,1.0,14.336,1.0,90.22,0.889785,0.003,0.997312,2.115,0.889785,0.322795326376,0.797715053763,178.560996583,0.997311827957,-9999,-9999,43.8953166466,0.997311827957,431.404085178,0.997311827957,427.618,1.0,21.343,1.0,7.872,1.0,-9999,1.0,65.7843,0.96707,-9999,0.584079,78.8936,0.968414,-9999,0.711468,-0.715362,0.946237,0.0533917,-1.57109,-0.56318,-0.534977,0.889113,0.938172,0.943548,4.67212,3.37254,5.08071,5.15564,5.64579,4.94591,5.65018,5.69134,3.31145,2.75105,3.3697,4.57085,4.58769,4.46362,4.70649,5.18993,-9999,-9999
201008,16.965,1.0,417.212,275.138,1.0,320.463,1.0,12.552,1.0,90.089,0.90793,0.142,0.995968,2.173,0.90793,0.343938354473,0.825268817204,138.824775938,0.995967741935,-9999,-9999,38.1581762173,0.993279569892,419.377255619,0.995967741935,429.447,0.224462,18.776,1.0,5.754,1.0,-9999,1.0,31.292,0.997312,-9999,0.440444,82.4743,0.997312,-9999,0.788281,-0.748647,0.188844,0.0797673,-1.37859,-0.652062,-0.573671,0.192204,0.19422,0.185484,2.91905,2.87561,2.93963,2.97998,3.6615,3.56696,3.76918,4.06318,1.71638,0.897259,1.6906,2.09428,2.76874,2.03593,2.76874,3.3571,-9999,-9999
201009,13.254,0.68125,335.511,196.879,0.684722,321.187,0.68125,6.645,0.68125,90.134,0.989583,0.743,0.655556,1.823,0.988194,0.284245572927,0.923611111111,107.491044298,0.641666666667,-9999,-9999,25.7837425841,0.641666666667,394.140919191,0.641666666667,414.749,0.584722,13.986,1.0,6.309,1.0,-9999,1.0,23.6165,0.975,-9999,0.374561,60.2446,0.991667,-9999,0.686115,0.295187,0.567361,0.0398807,-0.175357,0.217444,0.313981,0.540972,0.56875,0.569444,2.23251,2.15443,2.22699,2.30508,1.87459,1.92869,1.95776,2.19304,1.90057,1.15912,1.22645,1.79557,2.66774,1.54242,2.02948,2.59955,-9999,-9999
201010,8.654,0.311156,243.611,119.566,0.00604839,303.997,0.00537634,4.814,0.311156,90.247,0.305108,1.701,0.303763,1.585,0.298387,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,408.593,0.755376,8.247,0.747984,8.484,0.747984,-9999,1.0,23.5061,0.169355,-9999,0.463181,16.6816,0.295027,-9999,0.953112,0.556071,0.0497312,0.0612478,-0.366878,0.556272,0.629791,0.0241935,0.0504032,0.047043,1.57086,1.50609,1.51373,2.32119,0.951482,0.887652,0.933655,2.25726,2.27345,1.13934,2.27345,3.56467,1.3026,1.23117,1.33364,1.34929,-9999,-9999
