TIMESTAMP,TA_F,TA_F_QC,SW_IN_POT,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,P_F,P_F_QC,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,PPFD_IN,PPFD_IN_QC,PPFD_OUT,PPFD_OUT_QC,SW_OUT,SW_OUT_QC,LW_OUT,LW_OUT_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_1_QC,SWC_F_MDS_1,SWC_F_MDS_1_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_RANDUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_RANDUNC,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,RECO_NT_VUT_REF,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,GPP_NT_VUT_REF,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,RECO_DT_VUT_REF,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,GPP_DT_VUT_REF,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,RECO_SR,RECO_SR_N
199801,-5.87,0.0,178.143,99.554,0.62164,208.535,0.0,2.523,0.0,69.586,0.0,1.074,0.0,4.615,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,21.2912,0.0,19.0055,-9999,28.6131,0.0,25.5414,-9999,0.620155,0.0,-9999,0.601273,0.612382,0.620155,0.0,0.0,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
199802,-5.272,0.0,239.247,132.043,0.584077,221.378,0.0,2.551,0.0,69.291,0.0,1.587,0.0,3.756,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,21.2439,0.0,16.9342,-9999,28.584,0.0,22.7852,-9999,0.619091,0.0,-9999,0.601302,0.612051,0.619091,0.0,0.0,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
199803,-3.419,0.0,322.733,193.504,0.531586,224.86,0.0,2.978,0.0,69.586,0.0,2.088,0.0,4.308,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,21.2287,0.0,18.6409,-9999,28.3347,0.0,24.8807,-9999,0.617002,0.0,-9999,0.599527,0.609936,0.617002,0.0,0.0,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
199804,-1.003,0.0,404.351,238.708,0.475694,239.608,0.0,3.321,0.0,69.871,0.0,3.982,0.0,4.153,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,21.255,0.0,20.0331,-9999,28.5082,0.0,26.8694,-9999,0.618738,0.0,-9999,0.600681,0.611437,0.618738,0.0,0.0,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
199805,4.854,0.0,461.804,268.616,0.428091,262.954,0.0,4.709,0.0,70.164,0.0,2.135,0.0,3.998,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,21.2912,0.0,21.3727,-9999,28.6131,0.0,28.7226,-9999,0.620155,0.0,-9999,0.601273,0.612382,0.620155,0.0,0.0,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
199806,7.578,0.0,486.047,278.515,0.415972,274.43,0.0,5.72,0.0,70.292,0.0,2.592,0.0,4.751,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,21.255,0.0,24.1596,-9999,28.5082,0.0,32.4039,-9999,0.618738,0.0,-9999,0.600681,0.611437,0.618738,0.0,0.0,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
199807,12.839,0.0,473.922,246.198,0.419355,305.014,0.0,7.945,0.0,71.09,0.0,0.592,0.0,2.713,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,21.245,0.0,22.5569,-9999,28.5767,0.0,30.3412,-9999,0.619057,0.0,-9999,0.601242,0.611991,0.619057,0.0,0.0,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
199808,11.815,0.0,427.26,234.723,0.452957,295.082,0.0,7.537,0.0,71.206,0.0,1.076,0.0,3.142,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,21.3967,0.0,21.5016,-9999,28.9546,0.0,29.0965,-9999,0.617002,0.0,-9999,0.599527,0.609936,0.617002,0.0,0.0,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
199809,9.781,0.0,354.99,202.971,0.508333,278.504,0.0,6.719,0.0,70.75,0.0,0.665,0.0,3.285,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,23.703,0.0,20.7205,-9999,29.6557,0.0,25.9243,-9999,0.618738,0.0,-9999,0.600681,0.611437,0.618738,0.0,0.0,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
199810,2.263,0.12164,270.372,141.01,0.5625,251.773,0.0,3.617,0.12164,70.411,0.0,2.005,0.0,3.909,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,24.2027,0.061156,19.794,0.767781,29.5704,0.063172,24.1839,1.21833,0.620155,0.0,-9999,0.601273,0.612382,0.620155,0.0,0.0,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
199811,-1.127,1.0,196.745,90.62,0.997917,228.502,0.0,3.338,1.0,69.989,0.447222,1.083,0.0,6.028,0.6625,1.0683381286,0.613194444444,43.0289597222,1.0,172.744015679,0.995138888889,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,29.707,0.894444,22.1161,0.653707,17.8437,0.896528,13.2842,0.959205,0.618738,0.0,-9999,0.600681,0.611437,0.618738,0.0,0.0,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
