TIMESTAMP,TA_F,TA_F_QC,SW_IN_POT,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,P_F,P_F_QC,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,PPFD_IN,PPFD_IN_QC,PPFD_DIF,PPFD_DIF_QC,PPFD_OUT,PPFD_OUT_QC,SW_OUT,SW_OUT_QC,LW_OUT,LW_OUT_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_1_QC,SWC_F_MDS_1,SWC_F_MDS_1_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_RANDUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_RANDUNC,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,RECO_NT_VUT_REF,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,GPP_NT_VUT_REF,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,RECO_DT_VUT_REF,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,GPP_DT_VUT_REF,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,RECO_SR,RECO_SR_N
200101,-4.761,0.0,170.021,95.698,0.0,250.347,0.0,0.538,0.0,97.686,0.0,1.65,0.0,4.74,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,33.8764,0.0,40.939,-9999,63.0051,0.0,76.1406,-9999,1.49475,0.0,-9999,1.46957,1.54965,1.56022,0.0,0.0,0.0,0.428119,0.43573,0.444862,0.460279,-1.08297,-1.12258,-1.08297,-1.01942,0.424116,0.347094,0.414793,0.430441,0.158756,0.166275,0.172206,0.175446,-9999,-9999
200102,-7.463,0.0,231.679,129.064,0.0,250.835,0.0,0.393,0.0,97.885,0.0,4.19,0.0,4.83,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,33.6375,0.0,40.6503,-9999,63.2623,0.0,76.4514,-9999,1.4894,0.0,-9999,1.46477,1.54281,1.5527,0.0,0.0,0.0,0.334697,0.336293,0.35011,0.364439,-1.17126,-1.20904,-1.1765,-1.11237,0.326194,0.261992,0.318362,0.331594,0.213735,0.223811,0.231796,0.236148,-9999,-9999
200103,0.707,0.0,316.723,180.114,0.0,267.83,0.0,1.408,0.0,97.517,0.0,1.762,0.0,3.173,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,25.5042,0.258065,33.5241,0.0,44.0646,-9999,63.2733,0.0,83.1674,-9999,1.48958,0.0,-9999,1.46493,1.54631,1.55702,0.0,0.0,0.0,0.682927,0.6848,0.699049,0.729974,-0.826369,-0.866638,-0.818988,-0.754577,0.707432,0.614773,0.695998,0.714698,0.297766,0.311737,0.322862,0.328911,-9999,-9999
200104,12.222,0.0,400.778,217.365,0.0,316.34,0.0,4.414,0.0,97.036,0.0,4.775,0.0,4.449,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,25.5135,0.0,33.6807,0.0,43.3072,-9999,63.1775,0.0,81.2347,-9999,1.4913,0.0,-9999,1.46648,1.54637,1.5567,0.0,0.0,0.0,1.40679,1.39458,1.40625,1.49987,-0.125913,-0.158992,-0.123193,-0.0188817,1.56218,1.48889,1.55112,1.56705,0.358946,0.375736,0.389146,0.396427,-9999,-9999
200105,16.917,0.225806,460.667,223.106,0.209677,345.388,0.0,6.294,0.215054,96.964,0.209677,5.302,0.225806,4.642,0.225806,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,20.9093,0.0134409,34.8039,0.22043,45.1635,0.765885,58.5687,0.221774,76.0021,0.734716,1.46247,0.206989,0.0366226,1.45427,1.49276,1.51734,0.202957,0.173387,0.205645,1.78437,1.75566,1.78355,1.84984,0.279045,0.25612,0.285805,0.384509,1.92627,1.90618,1.93475,1.98337,0.369271,0.334862,0.352324,0.394541,-9999,-9999
200106,22.006,1.0,486.22,270.671,1.0,363.37,0.452778,9.815,1.0,97.108,0.995833,3.065,1.0,3.927,1.0,0.304965969216,0.956944444444,-9999,-9999,709.733362901,0.769444444444,207.910143056,1.0,48.0055500161,0.776388888889,-9999,-9999,-9999,-9999,364.924,1.0,24.37,0.955556,-9999,-9999,8.09923,0.958333,103.743,0.995833,137.15,1.30418,24.9094,0.997222,32.9305,0.85201,-4.32824,0.920833,0.161199,-4.41796,-4.3321,-4.28567,0.958333,0.9125,0.913889,4.39463,4.403,4.43592,4.60493,8.87432,8.7494,8.81575,8.91533,5.07781,4.83924,5.11778,5.24671,7.99004,8.10187,8.334,8.46392,-9999,-9999
200107,25.18,1.0,473.547,248.515,1.0,402.422,1.0,6.866,1.0,97.517,0.997312,6.907,1.0,2.817,1.0,0.309034337332,0.967741935484,166.814525538,1.0,674.593232586,0.759408602151,225.127422043,1.0,21.5251494963,0.795698924731,44.547006136,0.997311827957,439.110215054,1.0,358.421,1.0,24.814,1.0,-9999,-9999,4.23549,1.0,141.232,0.990591,186.711,1.17564,-18.8699,1.0,-24.9463,0.728487,-11.6368,0.938172,0.208211,-11.7919,-11.7224,-11.6368,0.971774,0.969086,0.938172,9.58406,9.34502,9.58561,10.034,21.7022,21.1193,21.4792,21.7394,9.98993,10.4881,10.8979,11.7823,21.9658,21.5209,22.1726,22.6899,-9999,-9999
200108,23.456,1.0,424.804,257.782,1.0,381.715,1.0,7.685,1.0,97.797,0.965054,4.039,1.0,2.439,1.0,0.30913482851,0.939516129032,164.507797043,1.0,721.719693563,0.744623655914,190.173391129,1.0,25.7398691261,0.763440860215,47.0178115942,0.998655913978,427.210215054,1.0,374.28,1.0,22.309,1.0,-9999,-9999,1.57514,1.0,152.033,0.998656,179.632,1.09649,-14.2625,0.997312,-16.8517,0.907756,-9.89038,0.965054,0.121317,-10.0803,-9.89038,-9.79847,0.986559,0.965054,0.932796,9.48347,9.44215,9.79165,10.1885,19.6441,19.5397,19.6983,19.9391,10.4989,10.2159,10.4024,10.74,19.4244,19.6336,19.8628,20.2123,-9999,-9999
200109,17.679,1.0,350.036,194.581,1.0,348.332,1.0,5.696,1.0,97.921,0.8875,1.854,1.0,2.448,1.0,0.297964903583,0.865277777778,109.9045875,1.0,540.034527344,0.748611111111,152.084030556,1.0,31.3169499531,0.661111111111,35.4206939614,0.998611111111,396.5975,1.0,375.573,1.0,17.28,1.0,-9999,-9999,-2.07347,1.0,85.3843,0.9875,97.4279,0.910513,12.2981,0.981944,14.0328,0.735675,-2.2972,0.940278,0.0786733,-2.29807,-2.22799,-2.20986,0.973611,0.952778,0.968056,6.0169,5.93352,6.09261,6.15188,8.33448,8.23606,8.29878,8.37914,5.77503,5.37322,5.5338,5.79375,8.2587,8.24728,8.29285,8.46233,-9999,-9999
200110,11.817,1.0,263.437,150.384,1.0,304.579,1.0,5.698,1.0,97.786,0.965054,1.622,1.0,3.439,1.0,0.364151795909,0.932795698925,54.8935537634,1.0,445.812206515,0.51747311828,116.638311828,1.0,-9999,-9999,35.003993425,0.985215053763,364.348655914,1.0,372.656,1.0,11.034,1.0,-9999,-9999,-4.60914,1.0,28.6952,0.990591,32.0412,0.578201,24.653,0.998656,27.5276,0.819573,1.6284,0.973118,0.0398603,1.62092,1.63952,1.66946,0.967742,0.973118,0.961022,2.03866,2.03739,2.1107,2.13634,0.392389,0.396719,0.42191,0.476474,1.94532,2.07115,2.12084,3.06978,0.47384,0.557683,0.588726,0.625785,-9999,-9999
