TIMESTAMP,TA_F,TA_F_QC,SW_IN_POT,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,P_F,P_F_QC,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,SW_OUT,SW_OUT_QC,LW_OUT,LW_OUT_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_1_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_RANDUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_RANDUNC,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,RECO_NT_VUT_REF,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,GPP_NT_VUT_REF,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,RECO_DT_VUT_REF,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,GPP_DT_VUT_REF,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,RECO_SR,RECO_SR_N
201101,-3.209,0.981183,178.235,65.812,0.982527,296.53,0.981183,1.373,0.980511,99.371,0.976478,1.259,0.0,1.53,0.975806,0.319600236186,0.975806451613,10.7257593391,0.935483870968,23.6626575962,0.92876344086,267.777837644,0.935483870968,378.928,0.977823,-9999,-9999,-9999,1.0,5.74786,0.977823,-9999,0.119203,13.5259,0.977823,-9999,0.374592,0.351102,0.976478,0.0363703,0.324051,0.329246,0.372133,0.976478,0.976478,0.976478,0.431439,0.421085,0.43257,0.48612,0.108577,0.0932317,0.103784,0.112765,0.600651,0.593151,0.613433,0.623604,0.170036,0.164676,0.168646,0.171759,-9999,-9999
201102,-1.104,0.526786,239.332,97.731,0.739583,314.323,0.526786,2.079,0.526786,99.265,0.392857,4.535,0.0,1.597,0.353423,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,380.118,0.526786,-9999,-9999,-9999,1.0,8.96214,0.526786,-9999,0.143094,27.6659,0.526786,-9999,0.544681,0.968742,0.526786,0.0392702,0.924269,0.932675,1.04707,0.526786,0.526786,0.526786,1.0934,1.08047,1.10477,1.13008,0.148011,0.0935192,0.151124,0.18109,2.44811,2.05845,2.14812,2.54756,0.247347,0.179878,0.248512,0.436763,-9999,-9999
201103,5.469,0.526882,322.801,132.657,0.735215,346.479,0.526882,3.739,0.526882,99.376,0.387097,4.67,0.0,1.54,0.377016,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,403.969,0.500672,-9999,-9999,-9999,1.0,24.9161,0.501344,-9999,0.282677,36.5145,0.501344,-9999,0.848163,1.13863,0.501344,0.0538675,1.12073,1.12649,1.14563,0.500672,0.502688,0.501344,1.38696,1.38404,1.38891,1.40685,0.260021,0.262208,0.26583,0.272651,3.322,2.85866,2.96785,3.18149,1.02296,0.887211,0.91577,0.964538,-9999,-9999
201104,12.641,0.979861,404.39,144.225,0.982639,378.432,0.98125,5.252,0.979167,98.552,1.0,7.719,0.0,1.98,0.909722,0.418139227152,0.953472222222,82.6380007184,0.966666666667,22.1867266773,0.947222222222,341.755196839,0.966666666667,402.37,0.976389,-9999,-9999,-9999,1.0,34.8046,0.975694,-9999,0.648784,20.1638,0.976389,-9999,0.553548,0.852154,0.974306,0.0546241,0.849769,0.878391,0.896918,0.974306,0.974306,0.974306,1.77048,1.68155,1.70254,1.7135,0.813006,0.811605,0.820484,0.837484,2.56696,2.39155,2.53026,2.57774,1.54695,1.41862,1.51305,1.5345,-9999,-9999
201105,17.958,1.0,461.817,187.054,1.0,405.956,0.99664,7.803,0.999328,98.707,1.0,5.564,0.0,0.824,0.891129,0.282275391538,0.998655913978,115.177032452,0.977822580645,30.2888005748,0.993951612903,374.740570506,0.977822580645,407.267,0.993952,-9999,-9999,-9999,1.0,69.3419,0.99328,-9999,0.935841,16.2753,0.99328,-9999,0.401783,-2.17835,0.968414,0.0655378,-2.29284,-2.2357,-2.15731,0.972446,0.980511,0.96371,2.83917,2.70506,2.91487,3.36701,5.17987,4.9461,5.20291,5.5397,3.1598,3.14507,3.32403,3.56331,5.51294,5.37546,5.48069,5.63825,-9999,-9999
201106,22.502,0.973611,486.045,239.865,0.976389,428.581,0.973611,10.376,0.973611,98.765,0.988889,2.167,0.0,0.573,0.972917,0.215240144863,0.986111111111,165.055645043,0.93125,38.3715159549,0.925694444444,388.843401102,0.93125,403.408,0.969444,-9999,-9999,-9999,1.0,99.0252,0.969444,-9999,1.18782,7.49002,0.972222,-9999,0.442866,-3.43725,0.9375,0.0762178,-3.6813,-3.43725,-3.30379,0.958333,0.9375,0.918056,2.74436,2.37156,3.12715,3.41003,6.55353,6.05287,6.52594,6.71028,3.8808,3.00209,3.60848,4.40583,7.40609,6.77955,7.08095,7.53858,-9999,-9999
201107,26.543,1.0,473.925,268.064,1.0,451.802,1.0,13.22,1.0,98.783,1.0,1.967,0.0,0.476,0.947581,0.168646662663,0.999327956989,191.250606488,0.997311827957,38.4002258649,0.987231182796,413.174310239,0.997311827957,401.559,0.993952,24.472,1.0,-9999,1.0,104.654,0.993952,-9999,1.26093,1.09486,0.99664,-9999,0.371897,-2.72158,0.905242,0.0714745,-3.24104,-3.00076,-2.56841,0.980511,0.96371,0.893145,2.04995,1.85556,2.05748,2.92109,5.07604,5.07604,5.13985,5.46094,2.65295,2.123,2.33308,3.29881,5.32571,4.98343,5.21852,5.91478,-9999,-9999
201108,23.34,0.992608,427.287,239.749,0.99328,433.02,0.992608,10.9,0.991935,98.666,1.0,2.125,0.0,0.453,0.998656,0.194350920842,0.999327956989,164.427677258,0.984543010753,34.7868914823,0.981182795699,392.091521774,0.984543010753,404.583,0.991263,23.248,0.992608,-9999,1.0,90.0524,0.991263,-9999,1.11962,8.83909,0.991935,-9999,0.48079,-1.65508,0.955645,0.0602364,-2.37264,-1.91685,-1.40884,0.979839,0.961022,0.90121,2.75233,2.21627,3.20416,4.24255,5.13126,4.58891,5.14623,5.59107,1.54387,1.57901,1.70259,2.32174,4.49264,4.29369,4.39003,4.77672,-9999,-9999
201109,18.355,1.0,355.045,133.499,1.0,407.072,1.0,6.701,1.0,98.943,1.0,4.488,0.0,0.599,0.986111,0.220547916667,1.0,85.7141964015,0.997222222222,20.3983152827,0.9875,380.048671717,0.997222222222,397.826,0.961111,19.638,1.0,-9999,1.0,55.9178,0.961111,-9999,0.814758,5.28805,0.972917,-9999,0.451963,-1.0811,0.936806,0.0499421,-1.44095,-1.25483,-1.00008,0.95,0.940972,0.925694,2.20829,1.95577,2.57728,3.02201,3.83068,3.39672,3.83141,4.06627,2.7379,2.42049,2.71717,3.40346,3.70921,3.55187,3.77764,4.17504,-9999,-9999
201110,12.02,0.914651,270.449,111.84,0.922043,372.446,0.914651,6.01,0.913978,99.068,0.822581,2.752,0.0,0.988,0.784946,0.271139166667,0.806451612903,54.9745603205,0.823252688172,17.1887647083,0.811827956989,332.752491346,0.823252688172,416.262,0.90793,14.156,0.914651,-9999,1.0,35.1209,0.90793,-9999,0.4653,17.1809,0.909946,-9999,0.446687,0.0769775,0.883065,0.0343705,0.0307622,0.0499466,0.0851613,0.887097,0.888441,0.889113,1.32142,1.03413,1.32803,1.39834,1.27982,1.03275,1.27982,1.31631,1.43329,1.04759,1.23514,1.74066,1.35634,1.34528,1.41201,1.62609,-9999,-9999
201111,9.367,1.0,196.834,73.664,1.0,357.342,1.0,4.615,0.999306,99.284,1.0,4.255,0.0,1.712,0.866667,0.356614583333,1.0,20.3683451389,1.0,11.2747385204,0.979166666667,316.7159,1.0,403.854,0.988889,10.062,1.0,-9999,1.0,16.2378,0.988889,-9999,0.28179,7.21057,0.996528,-9999,0.442878,0.905506,0.979861,0.0403226,0.905142,0.91012,0.924219,0.981944,0.982639,0.981944,1.2564,1.12103,1.20275,1.25841,0.349769,0.21521,0.293192,0.335504,1.12135,0.894152,0.986704,1.01405,0.305233,0.234859,0.266327,0.280785,-9999,-9999
201112,3.74,1.0,161.112,51.246,1.0,331.087,1.0,2.345,0.997984,99.683,1.0,4.242,0.0,1.421,0.925403,0.287488575269,1.0,12.8792432796,1.0,7.16301026149,0.971102150538,301.214448253,1.0,406.449,0.99664,6.306,1.0,-9999,1.0,9.60654,0.993952,-9999,0.218991,4.51558,0.99664,-9999,0.333438,0.327359,0.991263,0.0445748,0.281373,0.356555,0.364785,0.989919,0.99328,0.994624,0.68289,0.615445,0.646884,0.655687,0.289879,0.290129,0.297145,0.314848,0.703803,0.703803,0.753356,0.783086,0.328331,0.299035,0.318306,0.327153,-9999,-9999
