TIMESTAMP,TA_F,TA_F_QC,SW_IN_POT,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,P_F,P_F_QC,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,PPFD_IN,PPFD_IN_QC,SW_OUT,SW_OUT_QC,LW_OUT,LW_OUT_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_1_QC,SWC_F_MDS_1,SWC_F_MDS_1_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_RANDUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_RANDUNC,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,RECO_NT_VUT_REF,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,GPP_NT_VUT_REF,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,RECO_DT_VUT_REF,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,GPP_DT_VUT_REF,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,RECO_SR,RECO_SR_N
200401,-6.471,1.0,167.224,49.805,1.0,256.651,0.0,0.897,1.0,99.185,0.866263,0.094,0.998656,2.928,0.866263,0.594927564759,0.850806451613,24.9495527115,0.998655913978,110.111059315,0.998655913978,-9999,-9999,-9999,-9999,372.574,1.0,1.852,1.0,18.178,1.0,-3.34698,1.0,7.24165,1.0,6.61853,0.171322,23.5487,0.999328,21.5224,0.544814,-0.619887,0.999328,0.0369565,-0.860465,-0.622154,-0.61219,0.968414,0.999328,0.999328,0.105761,0.105761,0.108405,0.108665,0.737807,0.720624,0.728455,0.765009,0.660179,0.45909,0.598243,0.649822,0.464077,0.310746,0.454588,0.493455,0.828521,1.0
200402,-2.055,1.0,230.457,82.322,1.0,256.179,0.0,1.474,1.0,99.522,0.938218,0.134,0.998563,2.722,0.938218,0.543037022868,0.938218390805,44.6122547164,0.998563218391,182.597420977,1.0,-9999,-9999,-9999,-9999,372.097,0.997845,1.13,1.0,18.321,1.0,-1.25971,1.0,6.24181,0.997845,6.65797,0.204387,36.4028,0.997845,38.8299,0.633391,-0.27304,0.994253,0.0342691,-0.313991,-0.241703,-0.237245,0.992816,0.99569,0.99569,0.160796,0.166677,0.173144,0.181947,0.426708,0.407488,0.410381,0.452484,0.603174,0.563299,0.585991,0.664051,0.437195,0.432087,0.456707,0.470879,0.754668,1.0
200403,4.572,1.0,317.603,93.436,1.0,300.017,0.0,2.335,1.0,99.265,0.856855,0.668,1.0,2.851,0.856855,0.59070145963,0.841397849462,59.2613938172,1.0,207.900862024,0.993951612903,-9999,-9999,-9999,-9999,372.666,0.993952,4.434,1.0,19.953,1.0,0.614781,1.0,15.1823,0.993952,16.2767,0.42081,38.7948,0.99664,41.5912,0.667756,0.540885,0.995296,0.0532115,0.53754,0.554651,0.598226,0.995296,0.995296,0.995968,0.849366,0.839275,0.853824,0.890142,0.310435,0.289535,0.297646,0.31327,1.26945,1.25668,1.26508,1.27406,0.456812,0.446341,0.451583,0.458906,1.11225,1.0
200404,9.107,0.559028,401.973,191.005,0.635417,317.426,0.0388889,4.837,0.555556,98.881,0.346528,0.756,0.380556,2.938,0.346528,-9999,-9999,-9999,-9999,406.253165034,0.616666666667,-9999,-9999,-9999,-9999,364.7,0.527778,9.22,1.0,19.222,1.0,1.94984,1.0,19.6964,0.51875,23.233,0.87517,68.1591,0.533333,80.3975,0.809952,0.552202,0.472917,0.0793346,0.437464,0.575923,0.579416,0.171528,0.483333,0.477778,1.46057,1.46057,1.46591,1.48618,0.92371,0.880065,0.889256,0.92371,2.63522,1.95309,2.66941,2.69862,4.34216,2.33492,4.34084,4.38937,1.8924,1.0
200405,16.811,0.851478,461.684,212.963,0.852823,355.709,0.851478,5.612,0.851478,98.864,0.708333,3.66,0.825269,2.3,0.708333,0.510473938288,0.692204301075,138.028033539,0.825268817204,468.935485049,0.834005376344,35.4187247778,0.813844086022,407.824081731,0.824596774194,366.678,0.840726,14.531,1.0,19.617,1.0,2.62196,1.0,54.0516,0.840726,69.5661,0.834477,51.5699,0.842742,66.372,0.677368,-2.05633,0.816532,0.0795062,-2.26518,-2.04,-2.01503,0.659274,0.829301,0.829301,3.90734,3.88688,3.90734,3.98751,5.88385,5.90844,5.9484,5.98114,4.14055,4.03656,4.10012,4.22097,6.29329,6.20991,6.29329,6.39118,3.40015,1.0
200406,19.384,1.0,486.448,254.487,1.0,358.519,1.0,6.951,1.0,99.006,0.844444,2.989,1.0,1.939,0.844444,0.369150062224,0.829861111111,160.465240278,1.0,554.205337805,0.997916666667,41.6051214135,0.995138888889,410.723461111,1.0,359.396,0.982639,17.439,0.997222,18.989,1.0,1.71271,1.0,113.161,0.983333,141.057,0.995988,12.5877,0.986806,15.6907,0.501437,-8.73335,0.972222,0.0914891,-9.54178,-8.75558,-8.74588,0.772917,0.975,0.975,5.08584,4.98945,5.06777,5.10485,13.8382,13.7387,13.7853,13.8751,4.0825,3.99636,4.16828,4.21909,13.1666,13.0446,13.0742,13.1469,4.63792,1.0
200407,17.061,0.998656,472.332,250.13,0.998656,375.251,0.998656,5.95,0.998656,98.832,0.831317,2.155,0.997312,1.894,0.831317,0.387457867467,0.819892473118,161.799014174,0.997311827957,502.827643939,0.709677419355,39.5425012178,0.995295698925,422.492500428,0.997311827957,346.99,0.989247,18.678,1.0,17.407,1.0,0.476753,1.0,115.12,0.987231,144.792,1.00574,13.0744,0.983199,16.4442,0.604273,-9.18314,0.971774,0.0954717,-9.13177,-9.04655,-8.99937,0.97043,0.97379,0.974462,5.1542,5.07143,5.19572,5.25177,14.3114,14.2209,14.2504,14.2714,5.29199,4.93532,5.20124,5.39214,13.9939,13.8616,14.1374,14.2036,5.29645,1.0
200408,19.602,1.0,421.807,201.983,1.0,368.261,1.0,5.477,1.0,99.057,0.846102,2.565,0.999328,1.664,0.846102,0.30010121502,0.846102150538,126.119120439,0.999327956989,442.220672243,0.999327956989,32.1610848049,0.994623655914,411.605553821,0.999327956989,354.713,0.983871,18.819,0.99664,18.093,0.99664,-0.897452,0.99664,86.5145,0.980511,116.624,0.768001,7.07945,0.983871,9.54329,0.43771,-6.61089,0.929435,0.0919005,-6.94409,-6.406,-6.34574,0.694892,0.946237,0.951613,4.65782,4.52786,4.79208,4.94751,11.0458,11.0949,11.2699,11.4161,3.97581,3.88638,3.95568,4.20382,10.8466,10.7883,10.8217,10.9313,5.43855,1.0
200409,18.952,1.0,345.516,199.237,1.0,343.442,1.0,7.244,1.0,99.436,0.826389,1.304,1.0,1.633,0.826389,0.289352002558,0.826388888889,103.565236111,1.0,455.917972222,1.0,32.3590266667,0.997916666667,405.955907639,1.0,356.483,0.992361,18.721,0.848611,17.642,0.848611,-1.6138,0.848611,81.5657,0.984028,92.0201,0.851019,3.9898,0.990278,4.50118,0.515379,-6.42827,0.967361,0.0815227,-6.48933,-6.22023,-6.0756,0.959028,0.971528,0.973611,2.53554,2.4929,2.69244,2.74523,8.89725,8.77991,8.79271,8.89725,2.86017,2.84941,3.09377,3.2906,8.86342,8.5711,8.82083,8.94434,5.36086,1.0
200410,11.565,1.0,258.227,118.553,1.0,319.214,1.0,4.0,1.0,98.971,0.875,1.467,1.0,2.131,0.875,0.427192743947,0.861559139785,47.6552305108,1.0,264.400870296,1.0,20.7960450186,0.993279569892,368.619036962,1.0,358.835,0.992608,12.349,1.0,18.145,1.0,-2.75942,1.0,35.6227,0.992608,35.9128,0.540213,13.3953,0.991263,13.5044,0.60507,-1.28726,0.979167,0.0456704,-1.27682,-1.24983,-1.2063,0.980511,0.982527,0.983199,1.49779,1.48422,1.50731,1.55355,2.74603,2.75616,2.76361,2.78286,2.21908,2.04449,2.23648,2.32342,2.86015,2.82008,2.85665,2.89164,2.65354,1.0
