TIMESTAMP,TA_F,TA_F_QC,SW_IN_POT,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,P_F,P_F_QC,WS_F,WS_F_QC,USTAR,USTAR_QC,PPFD_IN,PPFD_IN_QC,CO2_F_MDS,CO2_F_MDS_QC,SWC_F_MDS_1,SWC_F_MDS_1_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_RANDUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_RANDUNC,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,RECO_NT_VUT_REF,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,GPP_NT_VUT_REF,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,RECO_DT_VUT_REF,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,GPP_DT_VUT_REF,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,RECO_SR,RECO_SR_N
199501,-9.419,1.0,135.729,53.127,1.0,235.998,0.0,0.532,1.0,95.751,0.837366,0.081,1.0,3.482,0.994624,0.530736067117,0.897849462366,102.168028226,1.0,-9999,-9999,-9999,-9999,-9999,1.0,57.363,0.0,-9999,-9999,-5.81656,0.0,-9999,-9999,-3.63451e-270,0.977151,0.0,-3.68015e-270,-3.63816e-270,-3.63478e-270,0.973118,0.977151,0.974462,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
199502,-10.307,1.0,199.028,91.119,1.0,219.658,0.0,0.863,1.0,95.796,0.995536,0.125,1.0,3.344,1.0,0.480723302645,0.964285714286,175.2294375,1.0,-9999,-9999,-9999,-9999,-9999,1.0,57.1506,0.0,-9999,-9999,-5.80386,0.0,-9999,-9999,-3.9994e-270,0.991071,0.0,-3.99971e-270,-3.99859e-270,-3.99822e-270,0.991071,0.99256,0.99256,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
199503,-1.419,1.0,290.029,127.386,1.0,252.958,0.0,1.835,1.0,96.185,0.794355,1.056,1.0,2.959,1.0,0.423580565177,0.950268817204,244.972685484,1.0,-9999,-9999,-9999,-9999,-9999,1.0,58.0333,0.0,-9999,-9999,-5.18206,0.0,-9999,-9999,-3.92859e-270,0.979839,0.0,-3.92859e-270,-3.92859e-270,-3.92859e-270,0.982527,0.981183,0.973118,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
199504,0.903,1.0,384.13,170.581,1.0,262.811,0.0,2.605,1.0,95.683,0.0,1.842,1.0,3.216,0.995833,0.471367385041,0.944444444444,329.637404408,0.995833333333,-9999,-9999,-9999,-9999,-9999,1.0,57.5278,0.0,-9999,-9999,-5.59406,0.0,-9999,-9999,-3.97054e-270,0.970833,0.0,-3.97077e-270,-3.97031e-270,-3.96993e-270,0.969444,0.970833,0.975,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
199505,10.717,1.0,454.417,205.519,1.0,303.361,0.0,6.507,1.0,95.669,0.959677,2.589,1.0,4.28,1.0,0.624390560585,0.989247311828,395.229682796,1.0,-9999,-9999,-9999,-9999,-9999,1.0,57.363,0.0,-9999,-9999,-5.81656,0.0,-9999,-9999,-4.01731e-270,0.974462,0.0,-4.0161e-270,-4.01597e-270,-4.01557e-270,0.990591,0.96371,0.971774,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
199506,18.717,1.0,485.678,246.415,1.0,350.363,0.0,8.77,1.0,95.901,0.875,1.27,1.0,3.522,1.0,0.500832905138,0.991666666667,473.875677778,1.0,-9999,-9999,-9999,-9999,-9999,1.0,57.5278,0.0,-9999,-9999,-5.59406,0.0,-9999,-9999,-3.98837e-270,0.941667,0.0,-3.98911e-270,-3.98862e-270,-3.98837e-270,0.951389,0.940278,0.941667,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
199507,18.544,1.0,470.618,221.2,1.0,359.926,0.0,6.08,1.0,95.599,0.922043,4.662,1.0,3.527,1.0,0.505339836706,0.978494623656,425.757541141,0.998655913978,-9999,-9999,-9999,-9999,-9999,1.0,57.1871,0.0,-9999,-9999,-5.78356,0.0,-9999,-9999,-4.02712e-270,0.966398,0.0,-4.02701e-270,-4.02643e-270,-4.02589e-270,0.97043,0.973118,0.905914,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
199508,19.45,1.0,412.905,178.552,1.0,366.605,0.0,4.962,1.0,95.916,0.978495,7.12,1.0,3.676,1.0,0.531977795918,0.974462365591,343.36877957,1.0,-9999,-9999,-9999,-9999,-9999,1.0,58.0333,0.0,-9999,-9999,-5.18206,0.0,-9999,-9999,-4.02975e-270,0.982527,0.0,-4.03157e-270,-4.03095e-270,-4.03031e-270,0.951613,0.987903,0.983871,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
199509,11.654,1.0,327.662,156.943,1.0,310.845,0.0,4.204,1.0,96.079,1.0,2.16,1.0,5.128,1.0,0.758084601449,0.998611111111,302.487934903,0.995833333333,-9999,-9999,-9999,-9999,-9999,1.0,57.5278,0.0,-9999,-9999,-5.59406,0.0,-9999,-9999,-4.03352e-270,0.993056,0.0,-4.03365e-270,-4.03358e-270,-4.03356e-270,0.988889,0.995833,0.990278,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
199510,6.254,1.0,233.174,80.194,1.0,302.058,0.0,2.649,1.0,95.362,0.998656,2.377,1.0,3.63,1.0,0.523853560652,0.971774193548,154.21838172,1.0,-9999,-9999,-9999,-9999,-9999,1.0,57.363,0.0,-9999,-9999,-5.81656,0.0,-9999,-9999,-4.01002e-270,0.987903,0.0,-4.01047e-270,-4.01019e-270,-4.00984e-270,0.973118,0.987903,0.989247,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
