TIMESTAMP,TA_F,TA_F_QC,SW_IN_POT,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,P_F,P_F_QC,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,PPFD_IN,PPFD_IN_QC,PPFD_OUT,PPFD_OUT_QC,SW_OUT,SW_OUT_QC,LW_OUT,LW_OUT_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_1_QC,SWC_F_MDS_1,SWC_F_MDS_2,SWC_F_MDS_1_QC,SWC_F_MDS_2_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_RANDUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_RANDUNC,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,RECO_NT_VUT_REF,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,GPP_NT_VUT_REF,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,RECO_DT_VUT_REF,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,GPP_DT_VUT_REF,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,RECO_SR,RECO_SR_N
201001,-23.7,0.0,13.6813,5.473,0.0,202.428,0.0,0.284,0.0,98.538,0.0,0.098,0.0,2.489,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,3.83956,0.0,0.0517466,-9999,2.17889,0.0,0.0293653,-9999,0.236048,0.0,-9999,0.215216,0.236048,0.28605,0.0,0.0,0.0,0.0647009,0.0581057,0.0629269,0.0656686,-0.171347,-0.217948,-0.170379,-0.157111,0.0739386,0.0729255,0.0740832,0.0742136,0.0,0.0,0.0,0.0,-9999,0.0
201002,-15.642,0.0,64.503,27.744,0.0,221.657,0.0,0.516,0.0,98.28,0.0,0.145,0.0,2.122,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,3.8114,0.0,1.50639,-9999,2.14844,0.0,0.849134,-9999,0.234791,0.0,-9999,0.212351,0.234791,0.282495,0.0,0.0,0.0,0.17123,0.153178,0.17123,0.173974,-0.0635612,-0.10198,-0.064785,-0.0580285,0.128909,0.127143,0.129161,0.129389,0.0,0.0,0.0,0.0,-9999,0.0
201003,-10.923,0.0,165.426,104.986,0.0,213.491,0.0,1.175,0.0,97.538,0.0,0.168,0.0,2.554,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,3.82628,0.0,6.60956,-9999,2.28843,0.0,3.95306,-9999,0.232501,0.0,-9999,0.213844,0.232501,0.281093,0.0,0.0,0.0,0.247329,0.221841,0.247721,0.251029,0.0148284,-0.02072,0.00936739,0.0218082,0.160576,0.158376,0.16089,0.161174,0.0,0.0,0.0,0.0,-9999,0.0
201004,1.8,0.0,296.175,173.874,0.0,261.512,0.0,3.771,0.0,98.12,0.0,0.486,0.0,2.276,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,3.82622,0.0,5.46024,-9999,2.20715,0.0,3.14973,-9999,0.234435,0.0,-9999,0.213852,0.234435,0.283237,0.0,0.0,0.0,0.499472,0.453531,0.505865,0.569889,0.265037,0.233022,0.269975,0.294814,0.236245,0.233008,0.236707,0.237123,0.0,0.0,0.0,0.0,-9999,0.0
201005,10.962,0.0,414.805,223.246,0.0,305.684,0.0,7.12,0.0,98.991,0.0,0.674,0.0,1.904,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,3.83956,0.0,4.80839,-9999,2.17889,0.0,2.72868,-9999,0.236048,0.0,-9999,0.215216,0.236048,0.28605,0.0,0.0,0.0,0.691695,0.634319,0.70204,0.77758,0.455647,0.442629,0.468975,0.504033,0.279964,0.276128,0.280512,0.281006,0.0,0.0,0.0,0.0,-9999,0.0
201006,14.572,0.0,477.198,217.59,0.0,332.882,0.0,6.725,0.0,98.624,0.0,2.183,0.0,1.821,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,3.82622,0.0,3.7465,-9999,2.20715,0.0,2.16116,-9999,0.234435,0.0,-9999,0.213852,0.234435,0.283237,0.0,0.0,0.0,0.767472,0.703496,0.778951,0.858993,0.533037,0.518778,0.547598,0.590016,0.296146,0.292088,0.296725,0.297247,0.0,0.0,0.0,0.0,-9999,0.0
201007,16.045,0.0,448.632,197.684,0.0,346.413,0.0,7.504,0.0,98.877,0.0,1.464,0.0,2.193,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-27.9529,0.504032,3.81283,0.0,3.54018,-9999,2.15413,0.0,2.00009,-9999,0.234756,0.0,-9999,0.212497,0.234756,0.282566,0.0,0.0,0.0,0.797341,0.73074,0.809267,0.890812,0.562585,0.547324,0.577493,0.618269,0.301989,0.297851,0.302579,0.303112,0.0,0.0,0.0,0.0,-9999,0.0
201008,14.139,0.0,346.024,161.691,0.0,334.379,0.0,6.063,0.0,98.944,0.0,1.484,0.0,2.026,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-28.1079,0.0,3.82628,0.0,3.81046,-9999,2.28843,0.0,2.27897,-9999,0.232501,0.0,-9999,0.213844,0.232501,0.281093,0.0,0.0,0.0,0.757793,0.694652,0.769127,0.848506,0.525292,0.510279,0.539907,0.580313,0.293918,0.289891,0.294493,0.295012,0.0,0.0,0.0,0.0,-9999,0.0
201009,6.631,0.0,217.634,111.698,0.0,285.184,0.0,3.295,0.0,98.936,0.0,0.59,0.0,2.015,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-28.0797,0.0,3.82622,0.0,5.93804,-9999,2.20715,0.0,3.42535,-9999,0.234435,0.0,-9999,0.213852,0.234435,0.283237,0.0,0.0,0.0,0.601411,0.551877,0.610406,0.680334,0.366976,0.338218,0.377669,0.404972,0.260078,0.256514,0.260586,0.261045,0.0,0.0,0.0,0.0,0.387863,0.0513889
201010,-3.19,0.122984,101.313,44.113,0.124328,252.741,0.122984,1.374,0.122984,97.712,0.112231,0.416,0.547715,2.309,0.112231,0.216364622023,0.772177419355,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,382.617,0.794355,-0.803,0.553763,-9999,-9999,-9999,-9999,-22.5719,0.551747,3.06321,0.790323,5.638,0.0482035,-2.86359,0.781586,-5.2706,0.316067,0.346405,0.719086,0.0069677,0.337794,0.345836,0.380572,0.730511,0.718414,0.678763,0.391504,0.358034,0.39639,0.451289,0.04539,0.0333426,0.0504792,0.0598359,0.205885,0.204006,0.206282,0.209503,0.0,0.0,0.0,0.000953345,0.344531,1.0
