TIMESTAMP,TA_F,TA_F_QC,SW_IN_POT,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,P_F,P_F_QC,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,SW_OUT,SW_OUT_QC,LW_OUT,LW_OUT_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_1_QC,SWC_F_MDS_1,SWC_F_MDS_1_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_RANDUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_RANDUNC,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,RECO_NT_VUT_REF,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,GPP_NT_VUT_REF,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,RECO_DT_VUT_REF,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,GPP_DT_VUT_REF,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,RECO_SR,RECO_SR_N
200801,9.234,0.0,235.714,146.739,0.589382,292.411,0.0,5.191,0.0,90.43,0.0,1.119,0.0,2.102,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-3.11569,0.0,11.1717,0.0,15.0904,-9999,44.2686,0.0,59.7972,-9999,-0.166982,0.0,-9999,-0.218918,-0.195378,-0.139731,0.0,0.0,0.0,0.176146,0.160011,0.164546,0.170517,0.315354,0.300849,0.343128,0.383606,0.13203,0.180603,0.45585,0.486955,0.613779,0.461166,0.602836,0.606025,-9999,-9999
200802,11.194,0.0,292.42,198.152,0.56681,288.522,0.0,7.865,0.0,90.298,0.0,0.815,0.0,2.183,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-1.88586,0.0,11.2735,0.0,14.2155,0.860705,44.7965,0.0,56.4865,5.55334,-0.16678,0.0,0.0387278,-0.218604,-0.196236,-0.140687,0.0,0.0,0.0,0.20586,0.190361,0.197459,0.201739,0.341999,0.335454,0.37264,0.412708,0.181438,0.248188,0.469153,0.501167,0.601521,0.47812,0.59276,0.625815,-9999,-9999
200803,14.853,0.594086,364.437,268.741,0.645161,282.736,0.419355,14.205,0.593414,90.257,0.406586,0.09,0.62164,2.32,0.406586,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,378.96,0.593414,19.186,0.594086,-9999,-9999,2.85394,0.594086,12.4409,0.593414,15.2751,0.0941795,57.6287,0.593414,70.7572,0.459132,-0.205712,0.56922,0.00466398,-0.270694,-0.233262,-0.125023,0.588038,0.572581,0.540995,0.153976,0.149475,0.155145,0.192936,0.347562,0.332402,0.359688,0.41712,0.269846,0.295971,0.354287,0.483702,0.477033,0.466008,0.492864,0.708423,-9999,-9999
200804,19.456,0.506944,427.319,323.524,0.488889,290.227,0.0,19.599,0.506944,90.12,0.299306,0.051,1.0,2.703,0.299306,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,374.206,0.506944,26.21,0.506944,4.32,1.0,9.47542,0.506944,9.09341,0.504861,10.6573,0.0743164,82.3364,0.506944,96.4972,0.477373,-0.112104,0.449306,0.00560106,-0.204014,-0.120783,0.0992345,0.500694,0.468056,0.384028,0.0615684,0.0236636,0.0615684,0.0804494,0.0319388,-0.0126897,0.173673,0.227062,0.584365,0.304556,0.592543,0.724973,0.283773,0.325874,0.390577,0.501866,-9999,-9999
200805,22.059,0.998656,466.688,342.607,0.780242,321.049,0.677419,21.294,0.99664,89.852,0.997312,0.336,1.0,2.928,0.997312,0.36794257087,0.997311827957,144.315555556,0.58064516129,66.0263333333,0.58064516129,461.814454861,0.58064516129,370.598,0.997312,29.395,0.998656,5.114,1.0,7.79455,0.998656,11.8737,0.995968,13.9159,0.141029,97.9701,0.997312,114.82,0.639899,0.289767,0.90457,0.00700634,0.185502,0.250223,0.387358,0.983871,0.920699,0.858199,0.165023,0.103778,0.150256,0.208332,-0.176711,-0.180912,-0.124744,-0.0821457,0.993675,0.775981,1.00361,1.23748,0.0785515,0.0698229,0.0993013,0.135069,-9999,-9999
200806,29.348,0.504167,481.091,349.711,0.667361,359.426,0.504167,33.997,0.504167,90.087,0.411806,1.084,1.0,2.263,0.411806,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,371.536,0.504167,33.712,0.504167,5.625,1.0,7.05473,0.504167,18.937,0.504167,21.9827,0.308728,89.4339,0.504167,103.818,0.475135,0.356094,0.456944,0.0144933,0.282358,0.326548,0.486247,0.499306,0.485417,0.417361,0.673773,0.495347,0.609947,0.794386,0.263698,0.215967,0.263688,0.30539,2.18666,0.768895,2.3156,2.84967,0.0315699,0.0555486,0.080844,0.0992182,-9999,-9999
200807,26.828,0.84207,471.994,270.819,0.858871,403.929,0.84207,15.703,0.83871,90.133,0.752016,5.356,0.662634,1.694,0.752016,0.228502717391,0.741935483871,149.634308511,0.740591397849,45.0879894616,0.735215053763,468.596276268,0.741935483871,379.236,0.83871,29.441,0.84207,12.441,0.889785,0.101406,0.84207,85.9869,0.83871,98.8574,0.698587,33.2013,0.83871,38.1709,0.379933,-0.053039,0.778898,0.0220856,-0.194664,-0.111214,-0.0354011,0.835349,0.813844,0.740591,2.16838,2.08966,2.15861,2.34978,2.28724,2.28212,2.29284,2.39603,2.41353,2.27774,2.36362,2.50706,2.14122,2.00548,2.11867,2.23206,-9999,-9999
200808,26.598,1.0,439.132,259.581,1.0,401.247,1.0,14.178,0.995296,90.035,1.0,3.709,0.600134,1.783,1.0,0.241934139785,1.0,140.990441532,1.0,44.0648218898,0.994623655914,475.109540995,1.0,364.939,0.995968,32.061,1.0,10.504,0.881048,2.76965,1.0,67.2886,0.995968,78.0997,0.629331,52.0077,0.995968,60.3636,0.47221,-0.00558749,0.961022,0.0181688,-0.181544,-0.0709267,-0.00232921,0.985887,0.918011,0.866935,1.68326,1.61535,1.64702,1.68588,1.72717,1.68884,1.77207,1.80755,1.77578,1.78763,1.88749,1.97587,2.03871,2.00908,2.05119,2.10456,-9999,-9999
200809,25.547,0.988889,384.326,260.708,0.988889,370.291,0.988889,18.351,0.988889,90.101,0.9875,0.864,1.0,2.076,0.9875,0.282610972222,0.9875,118.5445175,0.9875,42.6058440862,0.984722222222,462.194541389,0.9875,366.847,0.988889,30.224,0.988889,9.556,1.0,4.35554,0.988889,55.677,0.988889,65.0295,0.567206,46.9035,0.988889,54.7823,0.469003,-0.217515,0.916667,0.012275,-0.463605,-0.309624,-0.0360593,0.982639,0.936111,0.829167,1.36669,1.25342,1.32122,1.4398,1.64863,1.47586,1.66128,1.71959,1.13234,1.10006,1.13234,1.23479,1.67539,1.60553,1.64865,1.67539,-9999,-9999
200810,21.35,1.0,314.811,220.394,1.0,325.238,1.0,17.968,1.0,90.342,1.0,0.033,1.0,2.195,1.0,0.276418682796,1.0,70.2323333333,1.0,41.2787461956,0.997311827957,432.572938172,1.0,364.924,1.0,24.722,1.0,5.148,1.0,-0.716689,1.0,12.195,1.0,14.4711,0.180042,47.5947,1.0,56.478,0.445522,-0.097709,0.952285,0.00731851,-0.198162,-0.135755,0.0466824,0.990591,0.950941,0.897177,0.257396,0.208682,0.236146,0.341435,0.285778,0.279101,0.355106,0.405466,0.433209,0.401128,0.433209,0.582971,0.466172,0.471967,0.49782,0.55916,-9999,-9999
