TIMESTAMP,TA_F,TA_F_QC,SW_IN_POT,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,P_F,P_F_QC,WS_F,WS_F_QC,USTAR,USTAR_QC,PPFD_IN,PPFD_IN_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_1_QC,SWC_F_MDS_1,SWC_F_MDS_1_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_RANDUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_RANDUNC,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,RECO_NT_VUT_REF,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,GPP_NT_VUT_REF,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,RECO_DT_VUT_REF,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,GPP_DT_VUT_REF,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,RECO_SR,RECO_SR_N
200501,-3.264,0.0,168.358,99.072,0.634409,218.848,0.0,1.655,0.0,77.602,0.0,1.359,0.0,3.621,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,15.7313,0.0,-9999,-9999,8.08506,0.0,-9999,-9999,-0.43023,0.0,-9999,-0.43023,-0.43023,-0.4284,0.0,0.0,0.0,0.0696596,0.0701327,0.0703911,0.0711297,0.500128,0.499382,0.500128,0.500753,0.0366568,0.0363966,0.0366569,0.037097,0.432485,0.431039,0.432486,0.434232,-9999,-9999
200502,-3.784,0.0,230.123,142.278,0.585565,202.079,0.0,2.106,0.0,77.573,0.0,1.176,0.0,3.008,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,16.0195,0.0,-9999,-9999,7.86231,0.0,-9999,-9999,-0.448889,0.0,-9999,-0.448889,-0.448889,-0.447121,0.0,0.0,0.0,0.0680446,0.0684974,0.0687637,0.0694978,0.517161,0.516487,0.517161,0.51776,0.0371692,0.0369053,0.0371693,0.0376155,0.534305,0.532365,0.534305,0.535789,-9999,-9999
200503,-1.27,0.0,315.478,197.455,0.532258,212.294,0.0,2.756,0.0,77.309,0.0,1.672,0.0,3.954,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,15.9435,0.0,-9999,-9999,7.54524,0.0,-9999,-9999,-0.441949,0.0,-9999,-0.441949,-0.441949,-0.440196,0.0,0.0,0.0,0.0840275,0.0844249,0.0848261,0.0859134,0.526197,0.52572,0.526232,0.526618,0.0546933,0.054305,0.0546935,0.0553501,0.643709,0.641226,0.643709,0.644856,-9999,-9999
200504,4.435,0.0,400.03,247.541,0.473611,234.551,0.0,4.75,0.0,77.543,0.0,2.193,0.0,3.716,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,15.8941,0.0,-9999,-9999,7.82982,0.0,-9999,-9999,-0.440072,0.0,-9999,-0.440072,-0.440072,-0.438287,0.0,0.0,0.0,0.129313,0.129431,0.129638,0.132947,0.569503,0.569503,0.56971,0.570075,0.133968,0.133017,0.133969,0.135577,0.738494,0.735572,0.738494,0.73949,-9999,-9999
200505,9.177,0.0,460.417,280.869,0.424059,254.78,0.0,6.624,0.0,77.734,0.0,2.086,0.0,3.354,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,15.7313,0.0,-9999,-9999,8.08506,0.0,-9999,-9999,-0.43023,0.0,-9999,-0.43023,-0.43023,-0.4284,0.0,0.0,0.0,0.17555,0.175298,0.17544,0.181088,0.605711,0.605528,0.60567,0.608501,0.264181,0.262305,0.264181,0.267353,0.813767,0.810523,0.813767,0.814758,-9999,-9999
200506,14.042,0.0,486.24,293.211,0.398611,270.591,0.0,10.476,0.0,77.85,0.0,1.978,0.0,3.526,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,15.8941,0.0,-9999,-9999,7.82982,0.0,-9999,-9999,-0.440072,0.0,-9999,-0.440072,-0.440072,-0.438287,0.0,0.0,0.0,0.226769,0.225604,0.226259,0.233825,0.666519,0.665676,0.666331,0.671383,0.44935,0.44616,0.449352,0.454746,0.846508,0.843137,0.846508,0.847555,-9999,-9999
200507,20.13,0.0,473.454,297.417,0.406586,281.475,0.0,17.486,0.0,78.41,0.0,0.853,0.0,2.852,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,16.0073,0.0,-9999,-9999,7.85916,0.0,-9999,-9999,-0.448036,0.0,-9999,-0.448036,-0.448036,-0.446266,0.0,0.0,0.0,0.296369,0.293725,0.29521,0.306256,0.743672,0.741761,0.743246,0.751467,0.772513,0.767028,0.772515,0.781789,0.851876,0.848461,0.851876,0.852829,-9999,-9999
200508,17.291,0.0,424.284,249.532,0.451613,278.717,0.0,12.789,0.0,78.381,0.0,0.536,0.0,2.748,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-12.4099,0.450269,16.1892,0.0,-9999,-9999,8.05796,0.0,-9999,-9999,-0.462192,0.0,-9999,-0.462192,-0.462179,-0.461025,0.0,0.0,0.0,0.26203,0.260205,0.261231,0.270203,0.723717,0.722385,0.723423,0.731424,0.580944,0.576819,0.580945,0.58792,0.76339,0.760397,0.76339,0.764537,-9999,-9999
200509,13.746,0.0,349.006,214.116,0.506944,264.478,0.0,10.299,0.0,78.247,0.0,0.748,0.0,3.338,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-11.3713,0.0,16.4625,0.0,-9999,-9999,9.1873,0.0,-9999,-9999,-0.487895,0.0,-9999,-0.487895,-0.487868,-0.487807,0.0,0.0,0.0,0.222234,0.221215,0.221789,0.229163,0.709847,0.709083,0.709683,0.71681,0.412535,0.409606,0.412536,0.417489,0.68245,0.679799,0.68245,0.683587,-9999,-9999
200510,6.847,0.0967742,262.007,142.239,0.563172,251.948,0.0,4.833,0.0967742,78.013,0.0,1.912,0.0,3.153,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-11.4812,0.0,16.6324,0.096774,-9999,0.25894,9.59261,0.096774,-9999,0.737431,-0.489392,0.0967742,0.00863752,-0.489392,-0.489362,-0.489288,0.0967742,0.0967742,0.0967742,0.151539,0.151579,0.15165,0.156126,0.640971,0.640971,0.641016,0.645028,0.187484,0.186153,0.187484,0.189735,0.535545,0.533631,0.535545,0.537167,-9999,-9999
