TIMESTAMP,TA_F,TA_F_QC,SW_IN_POT,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,P_F,P_F_QC,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,PPFD_IN,PPFD_IN_QC,PPFD_DIF,PPFD_DIF_QC,SW_OUT,SW_OUT_QC,LW_OUT,LW_OUT_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_2,TS_F_MDS_1_QC,TS_F_MDS_2_QC,SWC_F_MDS_1,SWC_F_MDS_1_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_RANDUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_RANDUNC,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,RECO_NT_VUT_REF,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,GPP_NT_VUT_REF,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,RECO_DT_VUT_REF,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,GPP_DT_VUT_REF,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,RECO_SR,RECO_SR_N
200101,-7.378,1.0,133.614,56.308,1.0,265.295,0.0,0.61,1.0,94.782,0.0,1.037,0.0,2.926,0.956317,0.522806246246,0.953629032258,-9999,-9999,108.283898522,1.0,-9999,-9999,-9999,-9999,-9999,-9999,380.061,1.0,1.142,-9999,1.0,-9999,-9999,-9999,-9999,1.0,78.9253,0.0,136.266,-9999,28.9328,0.0,49.953,-9999,1.72106,0.0,-9999,1.59911,1.61296,1.6221,0.0,0.0,0.0,1.89451,1.82703,1.9095,1.92471,0.2954,0.264414,0.306359,0.327197,4.09464,4.09099,4.09408,4.09464,2.22886,2.21304,2.22687,2.22886,0.897901,1.0
200102,-11.546,1.0,196.974,96.474,1.0,244.788,0.0,0.513,1.0,95.071,0.0,1.197,0.0,3.039,0.60119,0.460754001098,0.563244047619,-9999,-9999,185.526851935,1.0,-9999,-9999,-9999,-9999,-9999,-9999,379.88,0.995536,1.005,-9999,1.0,-9999,-9999,-9999,-9999,1.0,78.9624,0.0,122.439,-9999,28.8852,0.0,44.7894,-9999,1.70467,0.0,-9999,1.58324,1.59409,1.60407,0.0,0.0,0.0,1.27173,1.24048,1.28366,1.29574,-0.311509,-0.354693,-0.303431,-0.285617,3.49202,3.48891,3.49154,3.49202,3.26714,3.25044,3.26465,3.26714,0.884808,1.0
200103,-3.536,1.0,288.308,154.677,1.0,264.224,0.0,1.337,1.0,94.868,0.0,0.782,0.0,2.798,1.0,0.491408602151,1.0,-9999,-9999,297.456182796,1.0,-9999,-9999,-9999,-9999,-9999,-9999,379.773,1.0,0.833,-9999,1.0,-9999,-9999,-9999,-9999,1.0,78.9267,0.0,128.807,-9999,28.7828,0.0,46.9732,-9999,1.68998,0.0,-9999,1.57061,1.58245,1.59151,0.0,0.0,0.0,2.66308,2.62082,2.68056,2.69776,1.09247,1.08459,1.10532,1.12129,4.60163,4.59753,4.601,4.60163,4.53915,4.52344,4.53621,4.53915,0.868125,1.0
200104,5.562,1.0,383.019,169.962,1.0,311.573,0.0,2.949,1.0,94.787,0.0,3.223,0.0,3.358,0.950694,0.596557429153,0.943055555556,-9999,-9999,326.85025,1.0,-9999,-9999,-9999,-9999,-9999,-9999,381.611,0.997917,4.649,-9999,1.0,-9999,-9999,-9999,-9999,1.0,78.9373,0.0,125.094,-9999,28.8663,0.0,45.7451,-9999,1.70526,0.0,-9999,1.58435,1.59658,1.60596,0.0,0.0,0.0,4.88314,4.88893,4.90039,4.9498,3.29878,3.29009,3.30926,3.34854,5.66456,5.65951,5.66379,5.66456,4.69962,4.68554,4.69658,4.69962,1.41118,1.0
200105,11.453,1.0,453.957,204.855,1.0,339.411,0.0,4.109,1.0,94.708,0.0,3.283,0.0,2.532,0.948925,0.437251117309,0.934139784946,-9999,-9999,393.95122043,1.0,-9999,-9999,-9999,-9999,-9999,-9999,378.629,1.0,11.271,-9999,1.0,-9999,-9999,-9999,1.27056,0.644489,78.9253,0.0,116.08,-9999,28.9328,0.0,42.553,-9999,1.72106,0.0,-9999,1.59911,1.61296,1.6221,0.0,0.0,0.0,6.52415,6.52472,6.52586,6.76709,4.92504,4.90332,4.92608,5.15192,6.27352,6.26792,6.27266,6.27352,5.51646,5.50375,5.51296,5.51646,2.75744,1.0
200106,16.015,1.0,485.583,227.71,1.0,364.42,0.0,4.361,1.0,94.879,0.0,2.762,0.0,2.778,0.877083,0.486708172012,0.817361111111,-9999,-9999,438.205936998,0.999305555556,-9999,-9999,-9999,-9999,-9999,-9999,371.288,1.0,13.981,-9999,1.0,-9999,-9999,-9999,1.94339,0.0,63.1547,0.0,77.1107,-9999,16.1312,0.0,19.6958,-9999,1.1589,0.0,-9999,1.05108,1.06422,1.0964,0.0,0.0,0.0,7.90744,7.87502,7.8948,8.27264,6.85636,6.81617,6.8395,7.17624,6.68453,6.67857,6.68362,6.68453,5.94661,5.93474,5.94298,5.94661,3.81822,1.0
200107,18.387,1.0,470.369,244.967,1.0,370.66,0.0,5.206,1.0,94.995,0.0134409,1.147,0.24328,2.471,0.782258,0.448391976173,0.715725806452,-9999,-9999,471.090722446,1.0,-9999,-9999,-9999,-9999,-9999,-9999,367.503,1.0,16.575,-9999,1.0,-9999,-9999,-9999,3.77864,0.0,62.1346,0.0,77.4397,-9999,10.792,0.0,13.4502,-9999,0.626338,0.0,-9999,0.522924,0.531457,0.574611,0.0,0.0,0.0,8.63183,8.57994,8.61161,9.05869,8.10434,8.03066,8.07783,8.52767,6.89381,6.88767,6.89287,6.89381,6.10844,6.10108,6.10483,6.10844,4.93631,1.0
200108,18.452,1.0,412.09,225.208,1.0,365.727,0.0,5.691,1.0,94.944,0.561828,1.103,0.959005,2.695,1.0,0.43054905914,1.0,-9999,-9999,433.09175672,1.0,-9999,-9999,-9999,-9999,-9999,-9999,372.719,1.0,17.565,-9999,1.0,-9999,19.49,0.700941,2.94472,0.599462,62.5202,0.466398,87.1068,0.69004,10.0918,0.466398,14.0605,0.459768,1.15647,0.0745968,0.111757,1.03489,1.06578,1.1433,0.0752688,0.0752688,0.0752688,8.64817,8.59611,8.62788,9.07593,7.60123,7.53878,7.57663,7.93263,6.90112,6.89497,6.90018,6.90112,5.68137,5.676,5.67799,5.68137,5.70974,1.0
200109,11.784,1.0,326.201,161.509,1.0,334.311,0.0,2.887,1.0,95.129,0.480556,0.973,1.0,2.642,0.976389,0.442865401828,0.976388888889,-9999,-9999,310.594445139,1.0,-9999,-9999,-9999,-9999,-9999,-9999,371.202,1.0,12.403,-9999,1.0,-9999,18.238,1.0,-2.85475,1.0,39.3001,0.904861,63.7223,0.454503,11.4374,0.904861,18.545,0.499104,0.601525,0.874306,0.0373233,0.500972,0.541202,0.585307,0.877778,0.870139,0.869444,3.79461,3.68553,3.75766,3.81227,3.25537,3.1304,3.15041,3.28096,4.11198,3.93049,4.03786,4.10928,3.5396,3.37661,3.48867,3.55682,3.28256,1.0
200110,5.904,1.0,231.252,101.138,1.0,304.635,0.0,2.485,1.0,94.5,0.808468,2.762,0.957661,3.411,0.998656,0.585791228378,0.998655913978,27.9778292817,0.808467741935,194.496133737,1.0,-9999,-9999,-9999,-9999,-9999,-9999,377.382,1.0,6.917,-9999,1.0,-9999,21.151,0.997984,-7.90893,0.997984,18.1448,0.950941,29.4206,0.481529,0.812005,0.950941,1.31661,0.629771,0.671317,0.932124,0.0160934,0.629955,0.636977,0.671317,0.94086,0.936828,0.932124,1.28319,1.2833,1.29097,1.32589,0.653354,0.64357,0.655962,0.669013,1.28305,1.32913,1.34341,1.37554,0.605006,0.591331,0.604749,0.617406,1.75548,1.0
