TIMESTAMP,TA_F,TA_F_QC,SW_IN_POT,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,P_F,P_F_QC,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,PPFD_IN,PPFD_IN_QC,PPFD_OUT,PPFD_OUT_QC,SW_OUT,SW_OUT_QC,LW_OUT,LW_OUT_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_1_QC,SWC_F_MDS_1,SWC_F_MDS_1_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_RANDUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_RANDUNC,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,RECO_NT_VUT_REF,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,GPP_NT_VUT_REF,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,RECO_DT_VUT_REF,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,GPP_DT_VUT_REF,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,RECO_SR,RECO_SR_N
201201,8.86,0.0,191.946,109.788,0.0,308.072,0.0,4.654,0.0,102.291,0.0,2.816,0.0,3.018,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,41.8969,0.0,59.4334,-9999,126.557,0.0,179.529,-9999,3.08757,0.0,-9999,3.09955,3.12041,3.12923,0.0,0.0,0.0,2.77619,2.73932,2.74376,2.8517,-0.344219,-0.390824,-0.381017,-0.236988,2.91129,2.81261,3.04314,3.11979,0.768429,0.626939,0.643669,0.768429,-9999,-9999
201202,10.209,0.0,253.303,152.519,0.0,311.747,0.0,5.464,0.0,101.979,0.0,0.463,0.0,3.109,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,8.92205,0.72342,41.9227,0.0,57.9266,-9999,126.402,0.0,174.656,-9999,3.09163,0.0,-9999,3.10376,3.12501,3.13411,0.0,0.0,0.0,2.91867,2.87511,2.87871,2.98733,-0.206341,-0.259738,-0.251804,-0.105278,3.05189,2.96828,3.15207,3.28096,0.898118,0.733418,0.753674,0.898118,-9999,-9999
201203,10.648,0.0,335.445,157.324,0.0,330.27,0.0,4.425,0.0,101.769,0.0,4.328,0.0,3.517,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,9.00261,0.0,41.8969,0.0,54.0552,-9999,126.557,0.0,163.283,-9999,3.08757,0.0,-9999,3.09955,3.12041,3.12923,0.0,0.0,0.0,2.9652,2.91963,2.92298,3.03198,-0.155211,-0.21029,-0.202889,-0.056702,3.09811,3.01862,3.18879,3.33355,0.919954,0.753163,0.770901,0.919954,-9999,-9999
201204,13.998,0.0,412.294,264.855,0.0,331.384,0.0,6.18,0.0,101.715,0.0,2.527,0.0,3.197,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,8.99755,0.0,41.9094,0.0,53.2031,-9999,126.482,0.0,160.566,-9999,3.08954,0.0,-9999,3.10158,3.12264,3.13159,0.0,0.0,0.0,3.31975,3.25535,3.25613,3.36481,0.197111,0.123604,0.125316,0.274231,3.44407,3.39503,3.43012,3.73512,1.16971,0.941047,0.978916,1.16971,-9999,-9999
201205,17.831,0.328629,464.663,335.943,0.329301,332.174,0.328629,11.631,0.328629,101.499,0.322581,0.085,0.0,3.834,0.322581,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,9.66887,0.328629,40.3494,0.328629,48.522,0.291362,126.183,0.328629,151.74,0.732255,3.00639,0.321237,0.0169424,3.0225,3.04819,3.06194,0.321909,0.326613,0.327285,3.69614,3.60815,3.63695,3.72168,0.647947,0.546135,0.570663,0.699302,3.83676,3.68349,3.79647,4.19274,1.31018,0.940126,1.09815,1.31018,-9999,-9999
201206,20.431,1.0,485.624,359.886,1.0,349.098,1.0,14.613,1.0,101.27,1.0,0.033,0.0,5.888,0.999306,0.400190573286,0.999305555556,211.779412546,0.99375,689.289090469,0.996527777778,52.076615775,0.995138888889,47.3038252118,0.996527777778,444.64077787,0.995833333333,365.853,1.0,23.87,1.0,34.088,1.0,15.453,1.0,53.8767,0.995139,64.7891,0.3452,112.187,0.999306,134.909,0.674341,2.00924,0.96875,0.0228145,1.9989,2.03909,2.05029,0.967361,0.995139,0.995139,4.04178,3.97151,3.97579,4.01695,2.00154,1.92419,1.96811,2.01155,3.99317,3.91364,3.94624,4.01112,1.88852,1.87251,1.89059,1.93146,-9999,-9999
201207,21.218,1.0,473.35,352.262,1.0,350.232,1.0,13.457,1.0,101.29,1.0,0.0,0.0,3.69,1.0,0.356407258065,1.0,210.35153629,1.0,695.806536962,1.0,36.8713373656,1.0,50.1380853495,1.0,440.474430108,1.0,348.536,1.0,24.149,1.0,30.399,1.0,8.0493,1.0,106.249,0.995968,132.411,0.554868,55.996,0.997984,69.7843,0.568696,-2.2026,0.959005,0.051576,-2.31328,-2.27058,-2.19121,0.989247,0.989247,0.964382,8.06935,7.85884,7.92343,8.00364,10.3115,10.1053,10.1762,10.2688,7.07682,6.79774,7.28384,7.46729,9.74315,9.48893,9.7124,9.76927,-9999,-9999
201208,21.466,1.0,429.239,311.136,1.0,343.853,1.0,13.761,1.0,101.173,1.0,0.011,0.0,2.628,1.0,0.375301747312,1.0,182.169735646,0.992607526882,603.785938844,1.0,29.0669229839,0.997983870968,53.2593864247,1.0,417.439573436,0.954301075269,391.521,1.0,22.946,1.0,22.836,1.0,3.77985,1.0,109.304,1.0,166.625,0.56769,8.60846,1.0,13.1229,0.5156,-3.59389,0.972446,0.0486222,-3.63067,-3.61507,-3.59389,0.998656,0.999328,0.972446,11.1773,10.8771,11.1205,11.2533,14.8101,14.505,14.7228,14.7825,10.4297,10.2845,10.4193,10.5047,14.0246,14.0214,14.0493,14.1444,-9999,-9999
201209,19.794,1.0,360.565,253.482,1.0,340.801,0.9875,12.342,1.0,101.437,1.0,0.006,0.0,2.109,1.0,0.309717361111,1.0,127.982155312,0.70625,482.476000694,1.0,31.2670527778,1.0,47.1570173611,1.0,405.94661771,0.634027777778,400.849,1.0,20.857,1.0,19.348,1.0,2.28262,1.0,62.9942,0.997222,95.8289,0.417597,26.1481,0.999306,39.7774,0.504091,0.489032,0.974306,0.0362256,0.407395,0.437254,0.487062,0.99375,0.991667,0.959722,8.13411,7.95125,8.10506,8.1535,7.71226,7.54049,7.56369,7.68349,7.29035,7.14973,7.26686,7.33753,7.17343,7.07209,7.13578,7.16677,-9999,-9999
201210,16.955,1.0,279.31,175.488,1.0,346.704,0.936156,8.426,1.0,101.643,1.0,0.873,0.0,2.089,1.0,0.286627016129,1.0,87.3460807669,0.772849462366,335.209633737,1.0,31.5704238376,0.772849462366,36.5293446935,0.772849462366,405.017884586,0.772849462366,420.937,1.0,17.976,0.936156,19.97,0.936156,-1.44063,0.936156,25.8104,1.0,41.0055,0.272575,30.201,1.0,47.9809,0.494057,2.69496,0.932124,0.0222092,2.69749,2.75868,2.77433,0.885753,0.97043,0.90793,4.6667,4.32395,4.65545,4.67447,1.91586,1.62122,1.88816,1.90489,4.57849,4.57427,4.69549,4.80889,1.93899,1.78707,1.86509,1.91108,-9999,-9999
