TIMESTAMP,TA_F,TA_F_QC,SW_IN_POT,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,P_F,P_F_QC,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,PPFD_IN,PPFD_IN_QC,PPFD_OUT,PPFD_OUT_QC,SW_OUT,SW_OUT_QC,LW_OUT,LW_OUT_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_1_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_RANDUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_RANDUNC,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,RECO_NT_VUT_REF,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,GPP_NT_VUT_REF,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,RECO_DT_VUT_REF,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,GPP_DT_VUT_REF,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,RECO_SR,RECO_SR_N
201301,7.537,0.0,191.958,116.765,0.610887,299.349,0.0,3.407,0.0,102.355,0.0,0.295,0.0,2.81,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,17.2345,0.0,35.3466,-9999,9.65423,0.0,19.8001,-9999,2.55556,0.0,-9999,2.49036,2.55556,2.62842,0.0,0.0,0.0,2.79332,2.71471,2.78615,2.8061,0.151276,0.15058,0.199902,0.250461,0.955318,0.3319,0.890063,0.944845,0.124029,0.0,0.0,0.00825243,-9999,-9999
201302,9.431,0.0,251.981,167.922,0.580357,299.317,0.0,4.482,0.0,102.161,0.0,0.35,0.0,3.187,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,17.269,0.0,31.2523,-9999,9.6765,0.0,17.5119,-9999,2.54213,0.0,-9999,2.47521,2.54213,2.61653,0.0,0.0,0.0,3.24152,3.15897,3.19054,3.27114,0.614354,0.610631,0.633346,0.711453,1.09066,0.412696,1.02909,1.09195,0.17781,0.0,0.0,0.0118601,-9999,-9999
201303,13.107,0.0,332.693,207.099,0.531586,329.167,0.0,5.578,0.0,101.908,0.0,0.719,0.0,2.97,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,17.1552,0.0,29.1842,-9999,9.60608,0.0,16.3417,-9999,2.53193,0.0,-9999,2.47147,2.53205,2.61773,0.0,0.0,0.0,4.23656,4.13757,4.18879,4.30901,1.61251,1.59269,1.65968,1.75147,1.38317,0.578365,1.33575,1.39163,0.218892,0.0,0.0,0.0146214,-9999,-9999
201304,16.389,0.0,410.103,284.795,0.477778,331.588,0.0,9.698,0.0,101.687,0.0,0.265,0.0,3.986,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,17.2179,0.0,26.075,-9999,9.64457,0.0,14.6058,-9999,2.54324,0.0,-9999,2.47914,2.54324,2.62104,0.0,0.0,0.0,5.28333,5.17459,5.25019,5.41117,2.65211,2.61441,2.68725,2.84664,1.67952,0.834606,1.65592,1.71884,0.300009,0.0,0.0,0.0200925,-9999,-9999
201305,18.29,0.0,463.426,319.079,0.434812,343.189,0.0,11.468,0.0,101.56,0.0,0.163,0.0,3.543,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,17.2345,0.0,26.411,-9999,9.65423,0.0,14.7946,-9999,2.55556,0.0,-9999,2.49036,2.55556,2.62842,0.0,0.0,0.0,5.91539,5.80136,5.86873,6.07819,3.27335,3.2284,3.2929,3.49621,1.85687,0.996146,1.84878,1.91902,0.335871,0.0,0.0,0.0225077,-9999,-9999
201306,20.789,0.0,485.466,325.687,0.416667,363.069,0.0,12.766,0.0,101.248,0.0,0.158,0.0,3.401,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,17.2179,0.0,26.9002,-9999,9.64457,0.0,15.0681,-9999,2.54324,0.0,-9999,2.47914,2.54324,2.62104,0.0,0.0,0.0,6.82294,6.70345,6.77002,7.04152,4.19172,4.14706,4.19172,4.47265,2.10589,1.25777,2.10838,2.1966,0.342778,0.0,0.0,0.0229731,-9999,-9999
201307,21.847,0.0,474.261,342.763,0.428091,365.58,0.0,13.71,0.0,101.237,0.0,0.0,0.0,2.839,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,17.2641,0.0,26.8042,-9999,9.67341,0.0,15.019,-9999,2.54224,0.0,-9999,2.47559,2.54224,2.61697,0.0,0.0,0.0,7.21247,7.0907,7.16401,7.45517,4.58491,4.53446,4.58491,4.88809,2.21255,1.3703,2.21516,2.31394,0.360625,0.0,0.0,0.0241758,-9999,-9999
201308,20.469,0.0,431.116,309.827,0.457661,360.463,0.0,10.997,0.0,101.366,0.0,0.002,0.0,2.801,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-8.27626,0.857527,17.1552,0.0,26.0695,-9999,9.60608,0.0,14.5977,-9999,2.53193,0.0,-9999,2.47147,2.53205,2.61773,0.0,0.0,0.0,6.68269,6.56332,6.62701,6.89077,4.05864,4.01069,4.05864,4.33323,2.06924,1.2063,2.06924,2.15546,0.326253,0.0,0.0,0.0218568,-9999,-9999
201309,19.282,0.0,363.119,245.243,0.508333,356.212,0.0,10.14,0.0,101.243,0.0,0.339,0.0,3.144,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-6.21842,0.0,17.1958,0.0,27.1912,-9999,9.54893,0.0,15.0995,-9999,2.51871,0.0,-9999,2.43492,2.49249,2.59487,0.0,0.0,0.0,6.24177,6.12487,6.18915,6.42229,3.64076,3.59431,3.66906,3.88032,1.94876,1.07748,1.94844,2.02247,0.258823,0.0,0.0,0.017309,-9999,-9999
201310,15.744,0.0,281.971,193.126,0.557796,323.365,0.0,9.288,0.0,101.568,0.0,0.008,0.0,2.832,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-6.16276,0.0,17.2725,0.0,29.4786,-9999,9.5307,0.0,16.2658,-9999,2.47905,0.0,-9999,2.37365,2.43598,2.54928,0.0,0.0,0.0,5.07147,4.9645,5.04268,5.18756,2.51682,2.48744,2.59002,2.69676,1.62007,0.779613,1.59129,1.65175,0.20431,0.0,0.0,0.0136376,-9999,-9999
