TIMESTAMP,TA_F,TA_F_QC,SW_IN_POT,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,P_F,P_F_QC,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,PPFD_IN,PPFD_IN_QC,PPFD_OUT,PPFD_OUT_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_1_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_RANDUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_RANDUNC,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,RECO_NT_VUT_REF,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,GPP_NT_VUT_REF,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,RECO_DT_VUT_REF,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,GPP_DT_VUT_REF,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,RECO_SR,RECO_SR_N
200901,8.296,0.0,191.931,109.637,0.0,281.508,0.0,3.499,0.0,102.201,0.0,0.373,0.0,2.901,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-1.24679,0.0826613,43.1265,0.0,37.2667,-9999,60.4072,0.0,52.1994,-9999,1.75313,0.0,-9999,1.72627,1.7498,1.75313,0.0,0.0,0.0,1.59206,1.55053,1.58158,1.58818,-0.161074,-0.223602,-0.16594,-0.160348,0.875977,0.875977,0.878671,0.924249,0.0,0.0,0.0,0.0,-9999,-9999
200902,9.214,0.0,251.956,114.091,0.0,306.275,0.0,2.85,0.0,101.583,0.0,4.158,0.0,3.824,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.75948,0.0,43.0502,0.0,37.2007,-9999,60.4989,0.0,52.2786,-9999,1.75317,0.0,-9999,1.7263,1.74948,1.75317,0.0,0.0,0.0,1.63343,1.60133,1.62347,1.63189,-0.119736,-0.174547,-0.120531,-0.119447,0.944965,0.944965,0.947464,0.99565,0.0,0.0,0.0,0.0,-9999,-9999
200903,10.91,0.0,332.673,204.132,0.0,294.605,0.0,4.303,0.0,101.714,0.0,1.476,0.0,3.633,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.937605,0.0,42.9907,0.0,37.1494,2.08064,60.5712,0.0,52.3411,1.61813,1.75211,0.0,0.0234165,1.72551,1.74878,1.75211,0.0,0.0,0.0,1.70553,1.69282,1.69671,1.70696,-0.0465837,-0.0953831,-0.0454821,-0.0359744,1.18389,1.16689,1.1844,1.24872,0.0,0.0,0.0,0.0,-9999,-9999
200904,14.286,0.91875,410.092,254.785,0.919444,297.92,0.0,7.436,0.91875,101.54,0.0,0.737,0.913889,4.113,0.909722,0.268241409465,0.897916666667,-9999,-9999,-9999,-9999,-9999,-9999,410.859,0.915972,-9999,-9999,3.4468,0.777778,65.4653,0.90625,66.4756,0.782284,56.5886,0.90625,57.4619,0.844188,1.52526,0.886806,0.0171593,1.43969,1.53916,1.5882,0.8875,0.886111,0.8875,2.13839,2.13445,2.13956,2.151,0.56749,0.555686,0.589426,0.694972,2.10389,2.00828,2.09295,2.10534,0.410609,0.379829,0.409026,0.415965,-9999,-9999
200905,18.885,1.0,463.423,306.426,1.0,330.675,0.0,10.453,1.0,101.258,0.370968,0.568,1.0,4.551,0.966398,0.309861722222,0.952284946237,153.699922965,0.98252688172,701.026045051,0.980510752688,-9999,-9999,394.932,0.999328,22.14,1.0,9.5125,1.0,73.39,0.997984,74.5226,0.767507,67.3644,0.999328,68.404,0.737562,1.30121,0.96371,0.0281144,1.29096,1.30733,1.33033,0.956317,0.966398,0.971102,2.82877,2.80247,2.83829,2.85688,1.49727,1.49079,1.51631,1.54889,2.5478,2.4782,2.52587,2.60234,1.08798,1.08438,1.12023,1.15474,-9999,-9999
200906,19.952,1.0,485.467,329.529,1.0,336.261,0.0,10.383,1.0,100.928,1.0,0.317,1.0,5.059,0.998611,0.33826968599,0.998611111111,187.583258121,0.98125,737.079211806,1.0,42.4804270833,0.998611111111,372.12,1.0,21.703,1.0,3.78296,1.0,177.382,0.997917,192.544,0.978117,-3.60401,0.998611,-3.91207,0.509315,-2.46286,0.993056,0.0534282,-2.4883,-2.4524,-2.38787,0.993056,0.993056,0.988889,2.05111,2.002,2.04586,2.0726,4.50278,4.37706,4.4986,4.56656,1.24882,1.19392,1.22717,1.30477,3.89877,3.88016,3.90523,3.96465,-9999,-9999
200907,21.237,1.0,474.26,332.203,1.0,333.061,0.0,11.941,1.0,101.083,0.942876,0.0,0.997984,4.423,0.948925,0.377440950337,0.948252688172,186.920892001,0.945564516129,752.521265685,0.944220430108,32.3456139537,0.948924731183,333.859,1.0,21.067,1.0,-1.21146,1.0,214.901,0.99664,243.133,1.07225,-50.0209,0.999328,-56.5922,0.619674,-7.8621,0.985215,0.0633841,-7.87658,-7.86875,-7.84286,0.987903,0.985215,0.987231,4.14505,4.12797,4.15054,4.17873,12.0139,11.9874,12.0099,12.0584,3.1379,2.84303,3.12141,3.66288,10.7005,10.298,10.4795,10.8745,-9999,-9999
200908,21.432,1.0,431.108,288.512,1.0,337.044,0.0,11.85,1.0,101.129,0.74664,0.042,1.0,3.803,0.964382,0.313209060091,0.96438172043,171.449647861,0.760080645161,666.95134366,0.752688172043,30.2140641967,0.760080645161,350.616,1.0,17.671,0.993952,-2.79583,0.993952,185.789,0.995296,222.85,1.16079,-44.9295,0.99664,-53.8919,0.893102,-6.18796,0.959677,0.0518494,-6.25862,-6.16916,-6.15446,0.945565,0.959677,0.959005,4.95326,4.9508,4.98206,5.04775,11.1154,11.1151,11.1496,11.3074,5.30278,4.52522,4.80698,5.32438,10.3758,9.98083,10.3543,10.6345,-9999,-9999
200909,21.64,1.0,363.104,235.704,1.0,335.29,0.0,12.372,1.0,101.101,0.979167,0.053,0.995833,2.997,0.977083,0.248297683863,0.977083333333,126.077253174,0.979166666667,536.924232695,0.970833333333,37.7310126565,0.978472222222,385.425,1.0,17.004,1.0,-2.16397,1.0,136.898,0.990972,172.99,0.995047,-38.2819,0.992361,-48.3746,0.937499,-2.7186,0.943056,0.0307623,-2.75881,-2.74486,-2.71935,0.956944,0.948611,0.943056,3.77276,3.77362,3.78424,3.82166,6.48412,6.50359,6.53972,6.5595,6.57305,3.46881,4.77153,6.93319,7.76512,5.4099,6.32842,7.76512,-9999,-9999
200910,15.459,1.0,281.948,170.857,1.0,312.38,0.0,6.217,1.0,101.286,1.0,2.319,1.0,2.779,0.973118,0.238012847222,0.956989247312,-9999,-9999,371.500267402,0.998655913978,-9999,-9999,392.998,0.998656,12.676,0.344086,-8.89959,0.344086,59.5588,0.990591,75.2609,0.679681,1.69882,0.990591,2.1467,0.709885,1.48228,0.946909,0.022216,1.47031,1.48002,1.49554,0.90793,0.910618,0.945565,3.44642,3.43389,3.44353,3.45189,1.93302,1.94489,1.96393,1.97927,2.80269,2.80269,3.06449,3.25143,2.0178,1.85064,1.97006,1.99578,-9999,-9999
200911,10.335,1.0,210.151,122.433,0.99375,291.07,0.0,3.718,1.0,101.693,1.0,0.21,1.0,2.105,0.994444,0.161410416667,0.99375,-9999,-9999,264.468229861,1.0,-9999,-9999,382.149,0.913194,9.909,0.55,-2.31818,0.55,31.889,0.785417,38.3814,0.594527,14.6742,0.967361,17.6618,0.448141,2.16657,0.636111,0.0469469,2.08318,2.16603,2.43608,0.652778,0.635417,0.359028,2.66949,2.5035,2.66337,2.70057,0.503464,0.262612,0.439251,0.489514,3.38399,3.32796,3.66274,3.99018,1.58483,1.20391,1.47915,1.58429,-9999,-9999
200912,7.118,0.931452,174.921,78.589,0.950941,292.463,0.0,1.433,0.931452,101.709,0.730511,1.871,0.775538,2.077,0.727823,0.14647644423,0.656586021505,26.5578320752,0.658602150538,207.028867898,0.658602150538,21.2707595268,0.658602150538,417.209,0.93078,7.711,0.94422,-0.97425,0.94422,15.0723,0.863575,11.9514,0.431837,4.08338,0.895833,3.23786,0.170728,2.01433,0.094086,-9999,2.00908,2.04502,2.27085,0.133065,0.133065,0.0537634,2.20531,2.1517,2.1963,2.20919,0.161598,0.142621,0.165779,0.314997,2.42422,2.31553,2.64931,2.9544,1.32351,0.876549,1.18632,1.32351,-9999,-9999
201001,7.129,1.0,191.931,57.479,1.0,310.526,0.0,1.002,1.0,101.414,0.948253,3.265,1.0,2.257,0.995296,0.21225916348,0.995295698925,11.9532550618,0.998655913978,129.714460664,0.998655913978,9.57046397525,0.948252688172,403.82,0.99328,8.888,1.0,-0.192788,1.0,11.6741,0.910618,10.0879,0.292166,4.0494,0.948253,3.49919,0.141878,2.11598,0.0913978,-9999,1.76096,2.07248,2.32252,0.094086,0.0947581,0.0873656,1.12127,1.05636,1.06173,1.12127,-1.05181,-1.15429,-0.924131,-0.418659,3.43865,1.69963,3.1887,4.19751,0.0,0.0,0.0,0.0,-9999,-9999
201002,10.173,1.0,251.956,107.856,1.0,315.071,0.0,1.957,1.0,101.419,1.0,1.711,1.0,2.301,1.0,0.199124255952,1.0,41.025671131,1.0,242.375711135,0.994047619048,15.1695181794,0.980654761905,402.389,0.99628,11.282,1.0,0.421212,1.0,37.6419,0.987351,32.5273,0.487536,8.53747,0.99256,7.37744,0.313569,4.2657,0.779762,0.0793807,3.74376,4.20318,4.823,0.811756,0.791667,0.716518,3.94912,3.43624,3.94912,4.80768,-0.254061,-0.237417,-0.203372,-0.0292758,4.22129,3.06539,4.0409,4.85514,0.0453893,0.00226221,0.0181859,0.0427386,-9999,-9999
201003,11.08,1.0,332.673,198.89,1.0,296.315,0.0,4.261,1.0,101.679,1.0,1.506,1.0,2.8,1.0,0.211249327957,1.0,87.3217694892,1.0,431.220305221,0.989919354839,30.6310757396,0.985215053763,409.492,0.997312,11.969,0.499328,2.97249,0.499328,66.893,0.985215,57.8039,0.813581,32.6288,0.987903,28.1954,0.721128,3.26042,0.926747,0.0349104,3.17573,3.2386,3.289,0.939516,0.876344,0.922715,3.41994,3.31293,3.41183,3.46951,0.171961,0.151203,0.187881,0.210158,3.06064,2.95038,3.14658,3.56105,0.0922375,0.0543685,0.0913422,0.126696,-9999,-9999
201004,12.598,1.0,410.092,233.371,1.0,303.17,0.0,5.097,1.0,101.388,1.0,1.84,0.991667,3.591,1.0,0.251035416667,1.0,105.616964641,0.7625,510.041288401,0.995833333333,33.8306070393,0.750694444444,397.951,1.0,14.541,0.449306,1.84559,0.449306,72.6589,0.990278,59.1806,0.77343,46.7121,0.990972,38.0469,0.692287,2.90798,0.93125,0.0187576,2.8498,2.89876,2.96942,0.959722,0.947222,0.917361,2.83155,2.80719,2.8504,2.92467,-0.0684359,-0.0775431,-0.0343483,0.00205501,3.33048,2.94846,3.08206,3.23977,0.0,0.0,0.000766102,0.0289879,-9999,-9999
201005,15.794,1.0,463.423,287.245,1.0,310.185,0.0,8.356,1.0,101.481,0.983871,0.639,1.0,4.882,1.0,0.324371639785,1.0,125.595813076,0.966397849462,631.576669666,0.96438172043,52.1579462204,0.963709677419,387.573,0.999328,18.267,1.0,13.334,1.0,62.7387,0.995296,51.1007,0.607284,74.6691,0.997312,60.8179,0.767413,2.10608,0.987903,0.0324421,2.06434,2.09657,2.12317,0.991935,0.989247,0.987231,4.14428,4.13258,4.15278,4.18832,2.05373,2.05483,2.05983,2.07233,3.51554,3.53569,3.552,3.57306,1.71326,1.69146,1.70224,1.71568,-9999,-9999
201006,20.941,1.0,485.467,337.398,1.0,334.259,0.0,11.858,1.0,101.194,1.0,0.0,1.0,4.785,1.0,0.377334722222,1.0,173.454879391,0.995833333333,747.562804861,1.0,47.3183618056,1.0,372.613,1.0,22.94,1.0,11.8332,1.0,159.245,0.995833,145.325,1.0188,18.4149,0.997222,16.8052,0.645961,-0.373275,0.986806,0.0686006,-0.379669,-0.374185,-0.368647,0.991667,0.986111,0.9875,5.20178,5.18014,5.20645,5.27232,5.57559,5.55915,5.58031,5.64276,4.71966,4.58684,4.70423,4.73127,5.05843,4.98753,5.03677,5.05091,-9999,-9999
201007,20.441,1.0,474.26,343.314,1.0,333.322,0.0,10.269,1.0,100.957,1.0,0.0,1.0,5.293,1.0,0.433178763441,1.0,184.339938815,0.999327956989,767.747241163,0.994623655914,33.3990678763,1.0,351.17,1.0,21.424,1.0,-0.257426,1.0,190.268,0.99664,211.785,0.839112,-24.5867,0.998656,-27.3671,0.400956,-9.34236,0.997984,0.0798544,-9.39364,-9.33465,-9.29167,0.995296,0.998656,0.998656,2.38085,2.35314,2.37651,2.40576,11.7003,11.7003,11.718,11.7354,2.47959,2.41351,2.51764,2.79602,10.2456,10.1012,10.4161,10.7323,-9999,-9999
201008,19.417,1.0,431.108,306.871,1.0,324.466,0.0,8.454,1.0,100.959,0.987231,0.0,1.0,3.577,1.0,0.329608198925,1.0,155.522574044,0.986559139785,686.694196088,0.979166666667,26.9447289053,0.985887096774,365.82,1.0,18.877,1.0,-2.50309,1.0,149.206,0.997984,180.481,0.703316,-20.1266,0.999328,-24.3454,0.504447,-9.61339,0.983871,0.0650962,-9.69297,-9.61339,-9.57042,0.981855,0.983871,0.984543,4.87172,4.86327,4.87539,4.89485,14.4668,14.4438,14.4828,14.5988,3.55691,3.90904,4.07405,4.17684,10.7285,10.5434,10.8888,11.7367,-9999,-9999
201009,20.137,1.0,363.104,250.009,1.0,328.554,0.0,10.05,1.0,101.01,1.0,0.0,1.0,2.618,1.0,0.249356944444,1.0,118.982820139,1.0,557.265259722,1.0,25.4660513889,1.0,399.216,1.0,16.571,1.0,-1.76915,1.0,114.517,0.995139,148.838,0.70425,-21.5884,0.994444,-28.0585,0.73309,-4.77426,0.942361,0.0474513,-4.9534,-4.76667,-4.62945,0.932639,0.942361,0.95625,5.23522,5.22509,5.23669,5.29849,9.92606,9.84545,9.98999,10.2362,4.9156,4.76584,4.9156,5.21496,8.35029,8.35029,8.91061,9.37473,-9999,-9999
201010,16.313,1.0,281.948,160.416,1.0,328.957,0.0,6.578,1.0,101.498,0.849462,0.797,1.0,1.969,1.0,0.197418010753,1.0,69.6587735952,0.838037634409,361.42140121,1.0,22.1913893403,0.825268817204,396.949,0.999328,14.431,0.989919,-4.50795,0.989919,62.7923,0.989919,75.5763,0.541688,-4.57527,0.99328,-5.50676,0.576229,0.969212,0.855511,0.0466273,0.852376,0.994326,1.0647,0.867608,0.915323,0.933468,5.66133,5.68988,5.70471,5.83402,4.63527,4.64235,4.68059,4.98127,6.34325,6.0708,6.64761,6.99671,4.88121,4.6397,5.01134,5.22582,-9999,-9999
201011,10.249,1.0,210.151,121.365,0.994444,295.729,0.0,3.388,1.0,101.85,0.413194,2.023,1.0,2.145,0.99375,0.171459890901,0.99375,-9999,-9999,260.859401101,0.995138888889,-9999,-9999,414.735,0.996528,11.535,0.614583,-5.94115,0.614583,35.3024,0.963889,42.4897,0.51713,5.41388,0.977083,6.51611,0.415132,2.69518,0.820833,0.0319792,2.60077,2.64668,2.74993,0.865972,0.741667,0.775,3.15116,3.0158,3.13593,3.50707,0.496459,0.416907,0.443468,0.693866,2.96969,2.80234,2.96969,3.1468,0.421091,0.420849,0.474839,0.744016,-9999,-9999
