TIMESTAMP,TA_F,TA_F_QC,SW_IN_POT,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,P_F,P_F_QC,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,PPFD_IN,PPFD_IN_QC,PPFD_DIF,PPFD_DIF_QC,SW_OUT,SW_OUT_QC,LW_OUT,LW_OUT_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_1_QC,SWC_F_MDS_1,SWC_F_MDS_1_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_RANDUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_RANDUNC,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,RECO_NT_VUT_REF,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,GPP_NT_VUT_REF,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,RECO_DT_VUT_REF,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,GPP_DT_VUT_REF,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,RECO_SR,RECO_SR_N
200001,-7.335,1.0,138.49,56.956,1.0,248.365,0.0,0.804,1.0,98.89,0.986559,0.445,1.0,3.864,0.901882,0.511738088045,0.866935483871,17.1527419355,1.0,126.672240591,1.0,-9999,-9999,-9999,-9999,-9999,-9999,375.629,0.997312,0.653,1.0,-9999,-9999,-9999,1.0,3.78253,0.946237,-9999,0.205297,7.75385,0.998656,-9999,0.87912,0.44015,0.990591,0.0171459,0.439533,0.441546,0.456439,0.990591,0.989247,0.99328,0.417275,0.409554,0.414864,0.417456,-0.0390044,-0.040443,-0.0331142,-0.0303823,0.609961,0.597133,0.602712,0.609587,0.0244752,0.0244285,0.0249998,0.0312771,-9999,-9999
200002,-3.081,1.0,203.161,86.001,1.0,261.415,0.0,1.264,1.0,98.882,1.0,0.255,1.0,3.827,0.849138,0.473256770833,0.80316091954,34.8219439655,1.0,192.681971264,1.0,-9999,-9999,-9999,-9999,-9999,-9999,377.907,1.0,0.378,1.0,-9999,-9999,-9999,1.0,3.17195,0.981322,-9999,0.264665,13.8799,0.997126,-9999,0.825758,0.576882,0.928161,0.0187422,0.559709,0.574757,0.576995,0.923851,0.945402,0.936782,0.544213,0.534083,0.542405,0.546287,-0.0252267,-0.0315083,-0.0281394,-0.025199,0.592872,0.570905,0.58938,0.610305,0.0475217,0.0471006,0.0477173,0.0486816,-9999,-9999
200003,2.261,1.0,295.47,139.204,1.0,273.092,0.0,2.583,1.0,98.72,1.0,0.742,1.0,3.924,0.909946,0.554095145456,0.875,72.4904596774,1.0,297.969098118,1.0,-9999,-9999,-9999,-9999,-9999,-9999,376.99,1.0,2.429,1.0,-9999,-9999,-9999,1.0,13.2948,0.969086,-9999,0.366085,47.272,1.0,-9999,1.12373,0.705005,0.959677,0.0149072,0.698875,0.703122,0.706466,0.990591,0.959677,0.959677,0.834422,0.833896,0.879115,0.902322,0.180719,0.12579,0.178169,0.196995,0.852806,0.826639,0.854115,0.887507,0.124941,0.116209,0.124941,0.132905,-9999,-9999
200004,4.969,1.0,388.327,195.449,1.0,282.638,0.0,4.539,1.0,98.738,1.0,1.05,1.0,3.673,0.933333,0.517097608696,0.905555555556,110.948133333,1.0,418.420349819,0.998611111111,-9999,-9999,-9999,-9999,-9999,-9999,375.298,1.0,5.156,1.0,-9999,-9999,-9999,1.0,25.3816,0.977778,-9999,0.56022,83.3581,1.0,-9999,1.60341,0.802539,0.963889,0.0202027,0.791453,0.79585,0.801306,0.958333,0.979167,0.9625,1.33198,1.2986,1.31611,1.33198,0.513953,0.510309,0.514527,0.537196,1.13823,1.04772,1.1039,1.13866,0.426433,0.367597,0.411353,0.421787,-9999,-9999
200005,12.636,1.0,456.686,239.139,1.0,322.225,0.0,5.383,1.0,98.321,1.0,1.573,0.94086,3.49,0.924731,0.527047645626,0.924731182796,143.417357527,1.0,521.758915323,1.0,-9999,-9999,-9999,-9999,-9999,-9999,373.935,1.0,11.516,1.0,-9999,-9999,-9999,1.0,46.9207,0.989247,-9999,0.800532,84.3059,1.0,-9999,1.53037,0.0670374,0.981183,0.0574748,0.0164381,0.0522661,0.0670374,0.981183,0.978495,0.981183,4.0019,3.96876,4.00934,4.03057,3.96929,3.93605,3.95573,3.97787,2.67336,2.64699,2.68411,2.74054,3.08132,3.0731,3.08957,3.15955,-9999,-9999
200006,15.845,1.0,486.037,240.55,1.0,344.332,0.0,5.608,1.0,98.52,0.973611,1.841,0.906944,3.587,0.911111,0.52846046765,0.879166666667,148.015269444,1.0,519.902089372,0.998611111111,-9999,-9999,-9999,-9999,-9999,-9999,366.536,1.0,14.407,1.0,-9999,-9999,-9999,1.0,85.0504,0.997222,-9999,1.45821,50.2062,0.998611,-9999,1.28119,-3.96043,0.990278,0.100947,-4.01424,-3.96929,-3.9423,0.997222,0.988889,0.990278,4.96589,4.8714,4.9017,4.92996,8.87999,8.77053,8.866,8.93409,4.85906,4.7831,4.82914,4.95351,8.9586,8.9219,8.95983,8.97236,-9999,-9999
200007,18.522,1.0,469.699,252.232,1.0,344.425,0.0,7.086,1.0,98.717,1.0,0.671,1.0,3.087,0.981183,0.430245117415,0.981182795699,150.463533602,1.0,558.568471774,1.0,-9999,-9999,-9999,-9999,-9999,-9999,359.795,1.0,16.721,1.0,-9999,-9999,-9999,1.0,85.8784,0.994624,-9999,1.69458,56.8514,0.998656,-9999,1.11138,-4.05226,0.952957,0.107953,-4.05481,-4.00796,-3.94386,0.958333,0.944892,0.969086,4.74822,4.39471,4.46539,4.75195,8.64197,8.44498,8.48407,8.72194,5.75056,5.68188,5.75991,5.83459,9.08592,9.06544,9.13153,9.20417,-9999,-9999
200008,18.303,1.0,411.546,211.6,0.99328,345.492,0.0,5.995,1.0,98.828,1.0,11.441,0.966398,2.923,0.956989,0.379644535303,0.956989247312,120.111537634,1.0,446.229772849,1.0,-9999,-9999,-9999,-9999,-9999,-9999,359.658,1.0,17.061,1.0,-9999,-9999,-9999,1.0,84.1056,0.990591,-9999,1.61305,33.9863,1.0,-9999,0.788269,-2.76375,0.926075,0.121817,-2.87571,-2.74587,-2.6275,0.897849,0.938172,0.951613,5.21217,5.10521,5.19769,5.25025,7.94017,7.8201,7.90978,8.00841,5.77964,5.35778,5.57208,5.73055,7.88418,7.69091,7.78978,7.88284,-9999,-9999
200009,14.111,1.0,326.503,160.066,1.0,322.859,0.0,5.044,1.0,98.712,1.0,1.26,1.0,3.913,0.920833,0.536734375438,0.897222222222,75.3059138889,1.0,329.597930556,1.0,-9999,-9999,-9999,-9999,-9999,-9999,363.455,1.0,14.188,1.0,-9999,-9999,-9999,1.0,59.8844,0.994444,-9999,1.08067,12.8123,0.998611,-9999,0.971168,-1.25214,0.970833,0.0700001,-1.26178,-1.24263,-1.20591,0.970833,0.970833,0.973611,4.06935,3.99941,4.02766,4.06984,5.28634,5.24678,5.25932,5.28508,3.32587,3.18768,3.26964,3.38108,4.93369,4.85927,4.92106,4.96041,-9999,-9999
200010,9.964,1.0,232.715,106.248,0.990591,300.399,0.0,4.046,1.0,99.201,1.0,0.626,1.0,3.426,0.897849,0.456639440074,0.879032258065,36.2872634409,1.0,213.96175,1.0,-9999,-9999,-9999,-9999,-9999,-9999,373.672,1.0,10.318,1.0,-9999,-9999,-9999,1.0,20.7265,0.979839,-9999,0.600506,14.1021,0.997312,-9999,0.905419,1.20689,0.979839,0.0385051,1.17879,1.20873,1.22279,0.986559,0.981183,0.982527,2.48869,2.45672,2.48315,2.48869,1.25945,1.24494,1.27111,1.29724,2.27393,2.20708,2.22897,2.24124,1.14662,1.08507,1.12025,1.13763,-9999,-9999
