TIMESTAMP,TA_F,TA_F_QC,SW_IN_POT,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,P_F,P_F_QC,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,PPFD_IN,PPFD_IN_QC,PPFD_DIF,PPFD_DIF_QC,SW_OUT,SW_OUT_QC,LW_OUT,LW_OUT_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_1_QC,SWC_F_MDS_1,SWC_F_MDS_1_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_RANDUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_RANDUNC,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,RECO_NT_VUT_REF,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,GPP_NT_VUT_REF,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,RECO_DT_VUT_REF,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,GPP_DT_VUT_REF,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,RECO_SR,RECO_SR_N
200701,-3.433,0.0,138.471,60.788,0.0,244.343,0.0,1.012,0.0,98.636,0.0,1.34,0.0,6.119,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,65.6471,0.0,-9999,-9999,59.6494,0.0,-9999,-9999,-4.28306,0.0,-9999,-4.33314,-4.21362,-4.18432,0.0,0.0,0.0,2.39463,2.24069,2.41144,2.45486,6.67768,6.5829,6.66881,6.77915,1.24945,0.467174,1.43873,1.74737,3.74318,3.43343,3.73366,4.09186,-9999,-9999
200702,-8.072,0.0,201.683,118.397,0.0,218.594,0.0,0.669,0.0,98.606,0.0,1.363,0.0,6.718,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,65.4293,0.0,-9999,-9999,59.783,0.0,-9999,-9999,-4.27365,0.0,-9999,-4.3234,-4.1979,-4.16192,0.0,0.0,0.0,1.68414,1.51162,1.70804,1.73199,5.95779,5.88249,5.95096,6.04543,0.624568,0.171146,0.756617,1.04436,5.54228,5.14113,5.53395,5.98131,-9999,-9999
200703,-0.808,0.0,292.245,178.873,0.0,260.487,0.0,1.525,0.0,99.031,0.0,2.263,0.0,5.664,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,65.4269,0.0,-9999,-9999,59.3242,0.0,-9999,-9999,-4.27853,0.0,-9999,-4.32387,-4.20811,-4.17544,0.0,0.0,0.0,2.86643,2.75159,2.86896,2.91725,7.14496,7.0173,7.12135,7.25037,1.87097,0.868116,2.08077,2.31577,7.04726,6.57399,7.0403,7.5577,-9999,-9999
200704,3.13,0.0,385.556,207.469,0.0,277.116,0.0,2.401,0.0,98.518,0.0,2.328,0.0,5.518,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,65.5035,0.0,-9999,-9999,59.579,0.0,-9999,-9999,-4.27857,0.0,-9999,-4.32692,-4.20683,-4.1743,0.0,0.0,0.0,3.53614,3.45647,3.53823,3.57704,7.81471,7.64404,7.77571,7.93658,2.72862,1.45855,2.96367,3.0645,7.70492,7.19263,7.69778,8.25744,-9999,-9999
200705,11.4,0.209677,455.0,289.569,0.211694,319.447,0.0,5.436,0.209677,99.134,0.0,0.745,0.0,4.294,0.224462,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,69.9545,0.230511,-9999,1.09718,56.1346,0.0,-9999,-9999,-4.42982,0.207661,0.0869442,-4.47738,-4.38632,-4.32831,0.189516,0.210349,0.217742,5.29945,5.20066,5.24454,5.28459,9.72889,9.54353,9.6288,9.83452,5.17195,3.36866,5.0531,5.26112,9.86981,9.2288,9.85543,10.3075,-9999,-9999
200706,19.46,0.973611,485.792,303.946,0.975694,348.997,0.0,8.972,0.973611,98.632,0.0,0.939,0.0,2.997,0.704167,0.43909777404,0.645833333333,167.662160628,0.921527777778,587.620481769,0.922916666667,-9999,-9999,-9999,-9999,-9999,-9999,375.576,0.952083,17.352,0.68125,5.772,0.68125,-9999,1.0,121.477,0.952083,-9999,1.36256,48.4584,0.0,-9999,-9999,-5.66909,0.768056,0.0840686,-5.81317,-5.68064,-5.58341,0.722917,0.778472,0.8,7.71565,7.4466,7.63939,7.75357,13.3664,13.0764,13.2957,13.5018,7.27563,5.78661,6.31294,7.03561,11.8307,11.5132,11.8267,12.2831,-9999,-9999
200707,19.74,0.985215,470.928,282.183,0.987231,351.299,0.0,7.961,0.985215,98.493,0.334005,1.398,0.0,2.179,0.992608,0.430081928152,0.992607526882,154.422114408,0.960349462366,551.581643239,0.967741935484,-9999,-9999,-9999,-9999,-9999,-9999,368.361,1.0,17.548,1.0,6.508,1.0,-9999,1.0,100.031,1.0,-9999,1.22786,40.0745,0.539651,-9999,0.989197,-5.23883,0.933468,0.0846553,-5.28114,-5.24664,-5.20045,0.959677,0.965054,0.986559,6.15651,6.07477,6.1445,6.28162,11.4075,11.3247,11.3882,11.5416,5.65474,5.57595,5.69955,5.87344,11.0313,10.9334,11.0492,11.1691,-9999,-9999
200708,20.114,1.0,413.947,245.865,1.0,351.356,0.0,7.781,1.0,98.313,1.0,0.61,0.0,2.442,0.985215,0.497053893133,0.985215053763,123.086322642,0.997311827957,475.146700911,0.995295698925,-9999,-9999,-9999,-9999,-9999,-9999,369.475,0.999328,18.7,1.0,4.824,1.0,-9999,1.0,49.8102,0.999328,-9999,0.93464,70.5821,0.998656,-9999,1.0035,-2.28042,0.983199,0.0678001,-2.27804,-2.26052,-2.24363,0.990591,0.990591,0.983871,4.07507,4.02002,4.0705,4.0929,6.34099,6.28968,6.3311,6.35643,4.74473,4.09593,4.60795,4.69199,6.87778,6.31268,6.52278,6.66082,-9999,-9999
200709,16.564,1.0,329.541,169.852,1.0,336.849,0.0,5.855,1.0,98.458,1.0,1.277,0.0,2.874,0.985417,0.571184076326,0.985416666667,75.8045787086,0.998611111111,352.840020579,0.939583333333,-9999,-9999,-9999,-9999,-9999,-9999,373.731,1.0,15.461,1.0,10.286,1.0,-9999,1.0,64.7068,0.999306,-9999,0.812231,0.492193,0.999306,-9999,0.78912,-3.28708,0.994444,0.0644662,-3.30427,-3.29341,-3.2601,0.997222,0.996528,0.993056,4.76435,4.75314,4.76554,4.77762,8.05364,7.99606,8.05302,8.06881,4.40768,4.22399,4.40993,4.51679,7.88304,7.75452,7.85212,7.87819,-9999,-9999
200710,12.23,1.0,235.656,99.724,1.0,324.257,0.0,3.589,1.0,98.175,0.999328,2.272,0.0,2.764,0.990591,0.580266541388,0.990591397849,32.3359489235,0.996639784946,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,384.668,1.0,12.112,1.0,11.523,1.0,-9999,1.0,29.898,1.0,-9999,0.543713,-3.21666,1.0,-9999,0.797148,0.454783,0.981855,0.0470828,0.441586,0.456328,0.4864,0.989919,0.985887,0.976478,3.55623,3.51098,3.54707,3.5664,3.06811,3.06944,3.08547,3.12496,4.07603,3.83102,3.96248,4.04588,3.22818,3.22433,3.28027,3.30568,-9999,-9999
200711,1.911,0.750694,157.804,51.648,0.752083,264.755,0.0,1.878,0.750694,98.372,0.733333,2.0,0.0,4.081,0.727083,0.678364051343,0.727083333333,1.50164299242,0.733333333333,109.681170288,0.557638888889,-9999,-9999,-9999,-9999,-9999,-9999,383.498,0.750694,4.447,1.0,13.012,1.0,-9999,1.0,5.1431,0.750694,-9999,0.265674,2.24142,0.75,-9999,0.708393,1.27771,0.750694,0.0198905,1.25467,1.26983,1.28407,0.750694,0.750694,0.747917,1.68309,1.60264,1.6533,1.72271,0.407058,0.358977,0.390286,0.433422,1.58795,1.47003,1.56972,1.58929,0.287751,0.231337,0.255173,0.273143,-9999,-9999
200712,-3.328,1.0,121.351,35.972,1.0,257.139,0.208333,0.916,1.0,98.297,1.0,2.276,0.0,3.081,0.997312,0.564699189735,0.997311827957,4.96838776882,1.0,69.6137836604,0.987903225806,-9999,-9999,-9999,-9999,-9999,-9999,387.383,1.0,1.179,1.0,12.804,1.0,-9999,1.0,1.38029,0.999328,-9999,0.120723,2.26835,1.0,-9999,0.412061,0.84336,0.985215,0.0166085,0.839796,0.843225,0.848945,0.984543,0.985215,0.985215,0.817469,0.805916,0.81733,0.821415,-0.0261296,-0.0396131,-0.0291303,-0.021453,0.808766,0.807039,0.808954,0.816845,0.000327918,0.000651983,0.00186183,0.00565557,-9999,-9999
