TIMESTAMP,TA_F,TA_F_QC,SW_IN_POT,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,P_F,P_F_QC,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,PPFD_IN,PPFD_IN_QC,PPFD_DIF,PPFD_DIF_QC,PPFD_OUT,PPFD_OUT_QC,SW_OUT,SW_OUT_QC,LW_OUT,LW_OUT_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_1_QC,SWC_F_MDS_1,SWC_F_MDS_1_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_RANDUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_RANDUNC,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,RECO_NT_VUT_REF,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,GPP_NT_VUT_REF,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,RECO_DT_VUT_REF,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,GPP_DT_VUT_REF,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,RECO_SR,RECO_SR_N
200001,8.495,0.0,189.741,74.275,0.0,320.145,0.0,1.783,0.0,100.069,0.0,5.95,0.0,1.202,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,23.2975,0.0,18.8492,-9999,17.1563,0.0,13.8806,-9999,0.309997,0.0,-9999,0.244962,0.311122,0.363411,0.0,0.0,0.0,2.28518,2.0491,2.08872,2.15323,1.88921,1.69623,1.82649,1.95655,2.49374,2.49374,2.81235,2.99729,1.62253,1.5253,1.62979,1.72399,-9999,-9999
200002,9.48,0.0,251.287,102.019,0.0,330.654,0.0,2.132,0.0,99.59,0.0,7.618,0.0,1.663,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,23.642,0.0,23.5214,-9999,16.9709,0.0,16.8843,-9999,0.319778,0.0,-9999,0.252224,0.325268,0.366414,0.0,0.0,0.0,2.37032,2.12116,2.1482,2.28309,1.96316,1.76437,1.90584,2.0267,2.60097,2.60097,2.88079,3.12639,1.9583,1.84129,1.96691,2.08312,-9999,-9999
200003,11.106,0.0,333.897,213.101,0.0,308.531,0.0,4.82,0.0,99.582,0.0,1.2,0.0,1.342,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,23.2975,0.0,28.6359,-9999,17.1563,0.0,21.0875,-9999,0.309997,0.0,-9999,0.244962,0.311122,0.363411,0.0,0.0,0.0,2.51114,2.23918,2.32212,2.53462,2.11517,1.88594,2.13909,2.22878,2.78344,2.78344,2.98691,3.29322,2.70596,2.55887,2.66424,2.88091,-9999,-9999
200004,14.557,0.0,411.426,263.858,0.0,318.853,0.0,6.808,0.0,99.603,0.0,1.552,0.0,1.151,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,23.464,0.0,28.3331,-9999,17.0667,0.0,20.6082,-9999,0.314724,0.0,-9999,0.248472,0.317959,0.364938,0.0,0.0,0.0,2.80919,2.48872,2.59321,2.98702,2.40782,2.13806,2.41108,2.68436,3.16831,3.05609,3.20756,3.63619,3.03464,2.87044,2.94584,3.21673,-9999,-9999
200005,17.853,0.0,464.449,298.412,0.0,332.46,0.0,9.749,0.0,99.332,0.0,1.217,0.0,1.112,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,23.5693,0.0,27.6714,-9999,17.0008,0.0,19.9597,-9999,0.316374,0.0,-9999,0.24949,0.322794,0.365177,0.0,0.0,0.0,3.09019,2.72197,2.80502,3.51178,2.68535,2.3665,2.67159,3.22068,3.53968,3.24886,3.40125,3.92801,3.2534,3.03498,3.11663,3.42081,-9999,-9999
200006,23.194,0.0,485.746,339.188,0.0,346.102,0.0,18.501,0.0,99.154,0.0,0.264,0.0,1.055,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,23.464,0.0,26.7907,-9999,17.0667,0.0,19.4864,-9999,0.314724,0.0,-9999,0.248472,0.317959,0.364938,0.0,0.0,0.0,3.54079,3.09465,3.2928,4.41374,3.13942,2.73957,3.07858,4.1316,4.14094,3.60384,3.73457,4.399,3.34262,2.99406,3.27191,3.56018,-9999,-9999
200007,22.473,0.0,473.308,344.464,0.0,340.766,0.0,16.183,0.0,99.356,0.0,0.0,0.0,0.883,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-5.91074,0.761425,23.5252,0.0,26.5281,-9999,17.043,0.0,19.2184,-9999,0.317802,0.0,-9999,0.250964,0.319475,0.36608,0.0,0.0,0.0,3.48288,3.04746,3.22704,4.25981,3.07957,2.69092,3.02664,3.99101,4.06059,3.57527,3.69726,4.31289,3.36459,3.0592,3.28543,3.56431,-9999,-9999
200008,23.966,0.0,428.629,294.233,0.0,351.226,0.0,19.088,0.0,99.261,0.0,0.019,0.0,0.832,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-5.04738,0.0,23.2975,0.0,26.147,-9999,17.1563,0.0,19.2547,-9999,0.309997,0.0,-9999,0.244962,0.311122,0.363411,0.0,0.0,0.0,3.60767,3.15031,3.36385,4.5439,3.2117,2.79395,3.14544,4.25996,4.22864,3.64296,3.78355,4.4927,3.04296,2.70921,2.97167,3.24577,-9999,-9999
200009,20.973,0.0,359.271,236.375,0.0,339.994,0.0,15.732,0.0,99.129,0.0,0.308,0.0,0.983,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-5.16351,0.0,23.464,0.0,24.9238,-9999,17.0667,0.0,18.1284,-9999,0.314724,0.0,-9999,0.248472,0.317959,0.364938,0.0,0.0,0.0,3.35548,2.94206,3.08908,4.01048,2.95411,2.58698,2.91441,3.73997,3.89079,3.48771,3.60716,4.13131,2.74114,2.49905,2.6504,2.90057,-9999,-9999
200010,15.328,0.331317,277.46,163.625,0.331989,324.911,0.0,7.096,0.331317,99.295,0.0,2.784,0.322581,1.12,0.305108,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-7.29906,0.331317,23.1305,0.074597,20.4313,0.357279,15.362,0.075269,13.5693,0.483286,0.386589,0.0356183,0.0489474,0.284292,0.34268,0.411199,0.0208333,0.0201613,0.0396505,2.87509,2.5435,2.64308,3.10835,2.44125,2.20127,2.39422,2.76272,3.2551,3.10231,3.2551,3.73115,2.34507,2.20313,2.25883,2.46907,-9999,-9999
