TIMESTAMP,TA_F,TA_F_QC,SW_IN_POT,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,P_F,P_F_QC,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,PPFD_IN,PPFD_IN_QC,PPFD_DIF,PPFD_DIF_QC,SW_OUT,SW_OUT_QC,LW_OUT,LW_OUT_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_1_QC,SWC_F_MDS_1,SWC_F_MDS_1_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_RANDUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_RANDUNC,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,RECO_NT_VUT_REF,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,GPP_NT_VUT_REF,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,RECO_DT_VUT_REF,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,GPP_DT_VUT_REF,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,RECO_SR,RECO_SR_N
199901,-10.809,1.0,136.73,50.646,1.0,243.263,0.377688,0.603,0.380376,95.249,0.987903,1.712,1.0,3.182,0.989919,-9999,-9999,-9999,-9999,104.468716398,1.0,-9999,-9999,-9999,-9999,-9999,-9999,376.871,1.0,0.84,1.0,18.226,0.380376,-5.43682,0.380376,2.87092,0.0,3.92972,0.543727,-4.04087,0.0,-5.53115,2.68068,0.67394,0.0,0.0296624,0.668783,0.673072,0.68216,0.0,0.0,0.0,0.395796,0.382943,0.399578,0.407603,-0.291958,-0.304093,-0.275302,-0.262801,0.666385,0.687191,0.692521,0.702015,0.0,0.0,0.0,0.0,0.843675,1.0
199902,-4.192,1.0,199.998,87.244,1.0,256.182,0.793899,1.004,0.794643,94.98,0.38244,1.521,1.0,3.153,0.960565,-9999,-9999,35.5244525,0.522321428571,184.450358631,1.0,-9999,-9999,23.0711486111,0.522321428571,288.165336111,0.522321428571,377.788,1.0,1.208,1.0,26.164,0.794643,-4.58966,0.794643,3.4169,0.791667,4.90281,0.0863842,14.6709,0.792411,21.0509,0.436616,0.716665,0.744792,0.00797449,0.707167,0.715554,0.723779,0.776786,0.745536,0.703125,0.648795,0.635003,0.643576,0.6501,-0.0759701,-0.0780277,-0.0757167,-0.0673652,0.912408,0.896849,0.910915,0.921566,0.02635,0.0237502,0.0249479,0.0369601,0.895048,1.0
199903,-0.756,1.0,290.839,164.87,1.0,258.815,0.999328,2.421,0.999328,95.472,0.728495,0.542,1.0,3.044,0.997984,0.61366396983,0.670698924731,71.0998999923,0.715053763441,324.600850134,1.0,-9999,-9999,38.3280467066,0.715053763441,303.115356476,0.715053763441,376.529,1.0,1.584,1.0,27.204,0.999328,-2.01555,0.997984,5.41227,0.99328,7.76589,0.122346,43.2608,0.99328,62.0735,0.543215,0.94467,0.96371,0.00931678,0.937316,0.944246,0.952917,0.967742,0.975806,0.975806,0.850965,0.780216,0.826766,0.879792,-0.0936654,-0.157101,-0.117904,-0.0617873,1.26465,1.05837,1.19119,1.29663,0.139278,0.122259,0.129861,0.132711,0.986563,1.0
199904,7.451,1.0,384.653,176.035,1.0,295.393,0.998611,5.136,1.0,95.185,0.827083,1.419,1.0,2.943,0.975,0.570944830137,0.650694444444,108.500414203,0.824305555556,392.41135,1.0,202.058733211,0.823611111111,23.0581928514,0.814583333333,354.568756509,0.824305555556,378.769,1.0,6.479,1.0,30.569,1.0,6.21112,1.0,12.7382,0.992361,17.4074,0.251414,56.1995,0.992361,76.7997,0.728502,1.7696,0.95625,0.01295,1.71132,1.75997,1.76831,0.942361,0.957639,0.959722,1.99422,1.89882,1.98846,1.99952,0.223779,0.203332,0.231992,0.249093,2.55822,2.62351,2.90532,3.16379,1.3683,0.961169,1.1561,1.35573,1.78687,1.0
199905,14.142,1.0,454.631,214.651,1.0,323.049,0.948925,6.07,1.0,94.945,0.663978,4.674,1.0,3.163,0.938172,0.606939179342,0.551747311828,147.299061754,0.638440860215,466.120426075,1.0,203.63039644,0.993951612903,39.8344382097,0.63373655914,389.731933938,0.638440860215,382.609,1.0,12.192,1.0,32.262,1.0,9.95165,1.0,51.7735,0.923387,60.7504,0.522839,42.2344,0.930108,49.5574,0.761713,0.533366,0.894489,0.0513082,0.281057,0.533366,0.608884,0.880376,0.894489,0.906586,3.05735,3.02631,3.17598,3.26863,2.51218,2.51218,2.69935,2.85261,6.18265,6.18141,6.99819,7.54118,6.06108,5.18311,5.74619,6.09824,3.55532,1.0
199906,17.493,1.0,485.721,241.17,1.0,357.824,0.498611,4.128,0.584028,95.244,0.136111,3.026,1.0,2.721,0.661111,-9999,-9999,-9999,-9999,511.830836111,0.998611111111,-9999,-9999,-9999,-9999,-9999,-9999,374.286,1.0,15.67,1.0,33.513,0.585417,12.2889,0.585417,81.4866,0.427083,95.6154,0.77178,18.9288,0.431944,22.2108,0.632465,-4.95128,0.348611,0.139256,-4.97632,-4.81927,-3.82477,0.358333,0.389583,0.235417,1.08358,1.14284,2.40073,2.8518,6.71531,6.47124,6.73631,7.11046,1.95956,2.03743,3.09301,4.81232,7.21482,7.05493,7.96196,9.79927,5.61854,1.0
199907,21.039,1.0,470.732,225.514,0.946909,365.026,0.502016,6.043,0.815188,95.085,0.0967742,5.01,1.0,2.809,0.909274,-9999,-9999,-9999,-9999,425.401784458,0.932795698925,-9999,-9999,-9999,-9999,-9999,-9999,369.3,0.994624,18.684,1.0,31.378,0.823925,10.85,0.823925,83.8958,0.499328,100.333,0.280845,-0.209754,0.499328,-0.25085,0.688053,-5.14606,0.469086,0.059985,-5.16366,-5.07631,-4.99382,0.468414,0.462366,0.47043,3.09616,3.10147,3.28293,3.34592,8.27032,8.25186,8.29936,8.3921,6.03874,6.01307,6.38185,6.7546,10.2309,10.3499,10.5889,10.8474,7.8928,1.0
199908,17.657,1.0,413.287,177.1,0.979839,357.476,0.744624,3.823,1.0,95.34,0.419355,2.16,1.0,2.368,0.883737,-9999,-9999,-9999,-9999,368.082731452,0.969758064516,190.874564416,0.786962365591,-9999,-9999,-9999,-9999,364.59,0.994624,16.929,1.0,31.672,1.0,2.8673,1.0,62.0821,0.729839,100.172,0.642713,8.8713,0.731855,14.3143,0.649637,-2.05385,0.62164,0.0868298,-2.44996,-2.09047,-2.04481,0.639785,0.673387,0.62164,3.35394,2.5954,3.75173,3.83416,5.41295,5.04535,5.61564,5.94224,10.4643,10.5545,11.1638,11.7706,11.0752,10.3789,10.6857,10.8477,6.19706,1.0
199909,13.069,1.0,328.35,151.393,0.98125,326.464,0.860417,3.165,1.0,95.118,0.716667,1.652,1.0,2.749,1.0,0.576994016669,0.744444444444,77.7544713384,0.716666666667,285.138728235,0.975694444444,167.173179053,0.504166666667,24.9423183385,0.715277777778,366.417905556,0.716666666667,367.643,1.0,13.444,1.0,31.377,1.0,-1.93077,1.0,36.9943,0.863194,59.6921,0.490198,13.079,0.860417,21.1035,0.61239,-1.11127,0.852083,0.0363089,-1.10702,-1.08217,-1.06067,0.852083,0.85,0.852083,2.92305,2.84051,3.03146,3.07583,4.01818,3.89692,4.09685,4.13546,4.31008,4.33589,4.56376,5.25849,4.65518,4.45469,4.57254,4.65518,4.324,1.0
199910,6.56,1.0,234.082,100.086,1.0,293.039,0.989919,3.057,1.0,95.307,0.850806,1.071,1.0,3.098,0.818548,0.646789866138,0.780241935484,32.7720100365,0.823252688172,207.187858871,1.0,-9999,-9999,14.1903415582,0.811155913978,342.058536032,0.823252688172,372.927,0.998656,6.795,1.0,31.508,1.0,-6.43312,1.0,11.1018,0.985215,15.4409,0.224567,18.0673,0.985887,25.1288,0.598961,1.60836,0.976478,0.0152172,1.58328,1.59363,1.61564,0.969086,0.936828,0.977823,1.77048,1.74768,1.75606,1.77067,0.183792,0.139187,0.159751,0.17379,1.76805,1.70188,1.81257,2.05666,0.167649,0.105698,0.157493,0.243204,1.80017,1.0
