TIMESTAMP,TA_F,TA_F_QC,SW_IN_POT,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,P_F,P_F_QC,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,PPFD_IN,PPFD_IN_QC,SW_OUT,SW_OUT_QC,LW_OUT,LW_OUT_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_1_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_RANDUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_RANDUNC,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,RECO_NT_VUT_REF,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,GPP_NT_VUT_REF,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,RECO_DT_VUT_REF,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,GPP_DT_VUT_REF,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,RECO_SR,RECO_SR_N
201101,-5.141,1.0,167.869,68.578,0.997312,274.71,1.0,0.885,1.0,99.632,0.752016,0.434,0.999328,2.19,0.752016,0.178647106855,0.740591397849,4.5234023208,0.994623655914,179.904685255,0.999327956989,48.1284800159,0.997983870968,290.864766987,0.999327956989,392.53,0.997984,-9999,-9999,-9999,1.0,5.42697,0.99664,-9999,0.110746,-1.46365,1.0,-9999,0.177946,0.555584,0.93414,0.0118711,0.561499,0.564724,0.568572,0.83871,0.967742,0.989247,0.527843,0.545443,0.552779,0.578359,-0.0337308,-0.0201831,-0.0131044,0.0103925,0.745445,0.634124,0.682831,0.748457,0.108747,0.109062,0.133022,0.165025,-9999,-9999
201102,-2.287,1.0,229.665,100.987,1.0,285.34,1.0,1.334,1.0,99.62,0.642857,2.023,1.0,2.804,0.642857,0.229784418087,0.559523809524,21.6564084821,1.0,259.321885417,1.0,62.4711302083,1.0,302.336900298,1.0,392.803,0.978423,-9999,-9999,-9999,1.0,6.42171,0.985863,-9999,0.175427,-7.3368,0.982143,-9999,0.273802,0.750601,0.911458,0.0194311,0.740855,0.746962,0.754276,0.922619,0.884673,0.932292,0.991456,0.991681,0.999634,1.01432,0.234203,0.24043,0.252397,0.27612,0.633298,0.622081,0.661629,0.680459,0.0413016,0.0364537,0.0442199,0.0511507,-9999,-9999
201103,2.713,1.0,315.112,137.53,1.0,301.204,1.0,1.8,1.0,99.862,0.832661,2.543,0.999328,3.164,0.832661,0.255416102519,0.78561827957,92.0954075583,0.999327956989,331.684805108,1.0,15.8068873564,0.956317204301,330.765827342,0.999327956989,399.903,0.968414,-9999,-9999,-9999,1.0,26.827,0.997984,-9999,0.377191,18.3325,0.993952,-9999,0.445552,1.58509,0.952285,0.023371,1.54413,1.57585,1.63651,0.958333,0.959005,0.94086,1.21088,1.14427,1.16143,1.26148,-0.398994,-0.417576,-0.377017,-0.357555,1.92807,1.91465,1.93402,1.96423,0.0,0.0,0.0,0.0,-9999,-9999
201104,9.097,1.0,399.809,139.337,1.0,330.944,1.0,3.104,1.0,98.997,0.469444,5.063,1.0,3.309,0.469444,-9999,-9999,123.164465289,0.648611111111,318.772905556,1.0,9.76067799935,0.634722222222,366.887063989,0.648611111111,393.881,0.994444,11.617,0.805556,-9999,1.0,44.8056,0.996528,-9999,0.500263,20.3487,0.998611,-9999,0.420276,1.51212,0.939583,0.0227718,1.48383,1.50704,1.53455,0.945833,0.939583,0.933333,1.24834,1.23399,1.25636,1.3167,-0.264782,-0.264782,-0.236585,-0.188864,2.71647,2.65709,2.71814,2.78655,0.0,0.0,0.0,0.0,-9999,-9999
201105,16.125,1.0,460.343,187.491,1.0,375.428,1.0,4.625,1.0,99.208,0.787634,5.334,1.0,2.511,0.787634,0.233593406667,0.757392473118,149.184284274,1.0,416.948695272,0.998655913978,10.9962297051,0.956989247312,402.831674059,1.0,390.394,0.993952,17.563,1.0,-9999,1.0,68.7073,0.995296,-9999,0.733589,16.2086,0.995968,-9999,0.416922,0.166113,0.96371,0.0475925,0.193543,0.206246,0.220368,0.967742,0.926075,0.97043,1.86331,1.83315,1.89265,1.91184,1.66849,1.6252,1.69069,1.71393,1.76352,1.73371,1.76352,1.98431,1.36028,1.32147,1.41319,1.49602,-9999,-9999
201106,22.014,1.0,486.245,248.853,1.0,398.025,1.0,8.654,1.0,99.257,0.839583,1.253,1.0,2.19,0.839583,0.269169283785,0.839583333333,182.766776389,1.0,522.93168125,1.0,27.8265870166,0.99375,436.380324306,1.0,381.552,0.997222,22.655,1.0,-9999,1.0,109.235,0.999306,-9999,1.10291,13.1587,0.997222,-9999,0.317766,-0.115988,0.989583,0.109052,-0.197171,-0.174516,-0.146401,0.989583,0.991667,0.989583,3.49782,3.41674,3.47523,3.54345,3.64422,3.60327,3.64422,3.69659,4.17044,3.44702,3.81202,3.96035,4.44555,4.08802,4.33922,4.4935,-9999,-9999
201107,26.05,1.0,473.426,257.426,1.0,422.452,1.0,10.154,1.0,99.323,0.862231,4.834,1.0,1.483,0.862231,0.226328881149,0.862231182796,171.443399866,1.0,538.912667339,1.0,50.9036201923,0.989247311828,457.941682796,1.0,364.637,0.999328,24.508,1.0,-9999,1.0,130.774,0.999328,-9999,1.21334,9.38851,0.999328,-9999,0.318441,-1.565,0.99328,0.0915611,-1.565,-1.53748,-1.49183,0.99328,0.993952,0.989919,6.72065,6.49702,6.6815,6.75565,8.22694,8.02945,8.22629,8.27498,5.34341,4.80953,5.4797,5.84793,7.81594,7.38003,7.71194,7.85384,-9999,-9999
201108,22.933,1.0,424.13,221.796,0.99328,403.481,1.0,7.427,1.0,99.157,0.872312,2.622,1.0,1.464,0.872312,0.229087867212,0.872311827957,143.083282258,1.0,459.940624328,1.0,45.6702047157,0.999327956989,438.33283871,1.0,373.198,0.997984,23.414,1.0,-9999,1.0,112.46,0.999328,-9999,1.12435,13.8846,1.0,-9999,0.338761,-1.57615,0.993952,0.0927492,-1.61339,-1.55942,-1.49642,0.997312,0.997312,0.979167,6.02304,5.77709,6.07369,6.26051,7.62277,7.37715,7.60942,7.72906,3.59161,3.27727,3.64597,3.94974,5.80625,5.79804,5.92956,6.16903,-9999,-9999
201109,18.236,1.0,348.702,133.744,1.0,386.306,1.0,4.286,1.0,99.416,0.785417,4.157,1.0,1.767,0.785417,0.258691155121,0.738888888889,87.8917006944,1.0,275.016997222,1.0,20.7252669555,0.993055555556,411.51151875,1.0,385.526,0.995833,19.421,1.0,-9999,1.0,74.5407,0.996528,-9999,0.94573,7.7821,0.998611,-9999,0.326682,-0.662067,0.98125,0.0916341,-0.704846,-0.662569,-0.624566,0.981944,0.981944,0.981944,2.45606,2.41194,2.47808,2.51642,3.07593,3.06442,3.12083,3.18279,3.90095,3.23216,3.84099,4.21376,3.66699,3.44968,3.56395,3.72626,-9999,-9999
201110,12.345,1.0,261.586,104.673,1.0,347.33,1.0,3.804,1.0,99.424,0.780914,0.213,1.0,1.997,0.780914,0.246349916046,0.775537634409,64.8959173387,1.0,219.673627016,1.0,9.01117142414,0.975806451613,378.122113575,1.0,395.03,0.999328,13.808,1.0,-9999,1.0,35.6853,1.0,-9999,0.585881,2.88187,0.999328,-9999,0.264735,0.726109,0.976478,0.0547976,0.726109,0.747326,0.770781,0.976478,0.964382,0.981855,1.66181,1.58597,1.664,1.73086,0.877157,0.820279,0.908848,0.956514,2.77053,1.1147,2.2837,3.08409,1.819,0.607444,1.67769,1.93757,-9999,-9999
201111,8.379,1.0,186.714,71.683,1.0,320.269,0.913194,3.491,1.0,99.565,0.558333,3.872,0.990972,2.698,0.558333,0.31988967984,0.520138888889,50.0593262275,0.543055555556,160.158752342,0.996527777778,3.70933842622,0.8625,364.774884567,0.543055555556,390.158,0.995833,9.662,1.0,-9999,1.0,21.9636,0.997222,-9999,0.273263,-7.88388,0.997222,-9999,0.31993,1.00263,0.985417,0.0140896,0.998886,1.00241,1.00742,0.989583,0.989583,0.984722,0.836223,0.83132,0.837358,0.839787,-0.167405,-0.174077,-0.168673,-0.158813,1.30402,1.28337,1.30224,1.30715,0.041243,0.0,0.0397361,0.0456604,-9999,-9999
201112,2.657,1.0,150.697,46.725,1.0,303.692,0.965054,1.589,1.0,99.937,0.679435,2.458,0.993952,2.341,0.679435,0.257045473007,0.623655913978,26.1602581522,0.741935483871,103.111070565,1.0,2.47447441005,0.924731182796,326.469098732,0.741935483871,397.052,0.991935,5.236,1.0,-9999,1.0,14.0446,0.998656,-9999,0.241237,-0.378817,0.992608,-9999,0.318091,0.849914,0.985215,0.0136427,0.845736,0.851015,0.860997,0.985215,0.985215,0.982527,0.678861,0.685772,0.691815,0.693974,-0.178057,-0.175705,-0.158123,-0.144303,1.11122,1.08857,1.11865,1.12572,0.0,0.0,0.0,0.0,-9999,-9999
