TIMESTAMP,TA_F,TA_F_QC,SW_IN_POT,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,P_F,P_F_QC,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,PPFD_IN,PPFD_IN_QC,PPFD_OUT,PPFD_OUT_QC,SW_OUT,SW_OUT_QC,LW_OUT,LW_OUT_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_1_QC,SWC_F_MDS_1,SWC_F_MDS_1_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_RANDUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_RANDUNC,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,RECO_NT_VUT_REF,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,GPP_NT_VUT_REF,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,RECO_DT_VUT_REF,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,GPP_DT_VUT_REF,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,RECO_SR,RECO_SR_N
200701,5.903,0.0,236.858,142.73,0.0,269.348,0.0,5.521,0.0,86.287,0.0,1.388,0.0,3.034,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,9.03751,0.0,9.50918,-9999,88.6913,0.0,93.3201,-9999,0.43479,0.0,-9999,0.43479,0.442538,0.44631,0.0,0.0,0.0,5.14678e-07,5.12586e-07,5.91391e-07,7.15528e-07,-0.43451,-0.446309,-0.442537,-0.435077,0.0500978,0.0437715,0.0469898,0.0500978,0.0,0.0,0.0,0.0,-9999,-9999
200702,9.517,0.0,292.229,201.698,0.0,274.277,0.0,8.5,0.0,86.325,0.0,0.267,0.0,3.095,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,9.01722,0.0,9.50695,-9999,88.7489,0.0,93.5688,-9999,0.435832,0.0,-9999,0.435832,0.4434,0.447193,0.0,0.0,0.0,7.53586e-07,7.52041e-07,8.31569e-07,9.34261e-07,-0.435552,-0.447232,-0.443399,-0.435992,0.0830784,0.0725874,0.0779244,0.0830784,0.0,0.0,0.0,0.0,-9999,-9999
200703,14.272,0.0,362.815,264.208,0.0,285.484,0.0,13.672,0.0,86.324,0.0,0.607,0.0,3.024,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-18.9394,0.984543,9.14315,0.0,10.0548,-9999,88.5285,0.0,97.3559,-9999,0.435119,0.0,-9999,0.435119,0.443034,0.446227,0.0,0.0,0.0,1.08584e-06,1.0454e-06,1.0705e-06,1.08445e-06,-0.43481,-0.446279,-0.443032,-0.435193,0.145251,0.126909,0.13624,0.145251,0.0,0.0,0.0,0.0,-9999,-9999
200704,17.111,0.0,425.945,315.592,0.0,300.38,0.0,15.692,0.0,86.075,0.0,0.168,0.0,3.638,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,6.18464,0.0,9.06759,0.0,9.90502,-9999,88.6531,0.0,96.8406,-9999,0.435227,0.0,-9999,0.435227,0.442977,0.446556,0.0,0.0,0.0,1.24887e-06,1.10835e-06,1.17753e-06,1.24959e-06,-0.434937,-0.446566,-0.442976,-0.435401,0.183957,0.160728,0.172545,0.183957,0.0,0.0,0.0,0.0,-9999,-9999
200705,21.887,0.0,465.804,343.506,0.0,324.256,0.0,21.082,0.0,86.118,0.0,0.502,0.0,3.078,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,6.21019,0.0,9.03751,0.0,10.0119,-9999,88.6913,0.0,98.2538,-9999,0.43479,0.0,-9999,0.43479,0.442538,0.44631,0.0,0.0,0.0,1.53148e-06,1.34388e-06,1.45058e-06,1.53288e-06,-0.434509,-0.446309,-0.442536,-0.435076,0.280069,0.244702,0.262694,0.280069,0.0,0.0,0.0,0.0,-9999,-9999
200706,26.066,0.0541667,480.824,341.028,0.0555556,347.816,0.0,28.631,0.0541667,86.221,0.0486111,0.513,0.0486111,2.96,0.0486111,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,6.06024,0.0541667,9.23718,0.052778,11.4643,0.250146,88.3352,0.053472,109.633,0.687276,0.432447,0.0527778,0.0109886,0.432447,0.439851,0.443521,0.0527778,0.0527778,0.0527778,1.88808e-06,1.59983e-06,1.71152e-06,1.89024e-06,-0.432311,-0.443519,-0.439875,-0.432911,0.413496,0.365849,0.391153,0.413929,0.0,0.0,0.0,0.0,-9999,-9999
200707,25.622,0.851478,472.553,291.647,0.850806,380.605,0.0,20.281,0.851478,86.318,0.834677,3.413,0.835349,2.212,0.834677,0.262581218415,0.83064516129,132.621601754,0.831317204301,519.677539717,0.831317204301,73.0586882825,0.825940860215,-9999,-9999,-9999,-9999,383.203,0.851478,31.209,0.851478,5.242,0.851478,2.30556,0.851478,33.8921,0.849462,42.0637,0.519634,71.6979,0.850806,88.9846,0.579107,0.681949,0.840726,0.0187021,0.649671,0.660321,0.689071,0.848118,0.844086,0.835349,0.697367,0.64839,0.703947,0.738319,0.0671138,0.000602739,0.0370461,0.0507372,1.13827,1.09463,1.13344,1.15732,0.343135,0.319422,0.351809,0.368713,-9999,-9999
200708,24.779,1.0,440.756,262.746,0.983871,381.178,0.0,15.322,1.0,86.288,1.0,1.618,1.0,1.811,1.0,0.222344758065,1.0,129.463559812,1.0,450.642852823,1.0,61.9968929972,0.994623655914,-9999,-9999,-9999,-9999,380.497,0.999328,30.24,1.0,5.594,1.0,4.6102,1.0,57.4746,0.997984,68.2762,0.568032,47.7104,0.998656,56.677,0.500939,-0.343533,0.994624,0.0258072,-0.356667,-0.343031,-0.324131,0.99664,0.995296,0.994624,1.59785,1.5311,1.59506,1.64219,1.98373,1.88612,1.91919,1.95345,1.67825,1.49289,1.5932,1.70591,2.02756,1.85413,1.91901,2.01203,-9999,-9999
200709,23.291,1.0,386.988,263.081,1.0,362.453,0.0,17.338,1.0,86.272,1.0,0.859,1.0,2.213,0.997917,0.266520318121,0.997916666667,102.537227083,1.0,469.154534028,1.0,61.8996777778,0.998611111111,-9999,-9999,-9999,-9999,367.683,1.0,27.975,1.0,3.177,1.0,0.339104,1.0,28.0084,0.997917,29.6738,0.445756,68.2644,0.999306,72.3235,0.571263,0.145754,0.992361,0.017645,0.138612,0.144403,0.15145,0.994444,0.992361,0.988889,0.703536,0.648948,0.68237,0.704773,0.570301,0.506683,0.530192,0.55228,0.321869,0.326164,0.42571,0.495496,0.478049,0.388062,0.4035,0.438372,-9999,-9999
200710,18.687,1.0,318.036,237.25,1.0,312.341,0.0,16.521,1.0,86.295,1.0,0.033,1.0,2.7,0.997312,0.294194037146,0.997311827957,69.6956283602,1.0,438.488495968,1.0,57.3719156515,0.999327956989,-9999,-9999,-9999,-9999,370.199,1.0,21.438,1.0,0.989,1.0,-3.05145,1.0,8.52163,1.0,9.10275,0.163533,59.5813,1.0,63.6443,0.521928,0.0822243,0.992608,0.00666508,0.0762323,0.0809682,0.081859,0.987903,0.994624,0.995296,0.0725302,0.062082,0.0699449,0.0709652,-0.00848624,-0.0134129,-0.0112603,-0.00982572,0.194223,0.193623,0.23671,0.261045,0.0524497,0.052234,0.0613758,0.137712,-9999,-9999
