TIMESTAMP,TA_F,TA_F_QC,SW_IN_POT,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,P_F,P_F_QC,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,PPFD_IN,PPFD_IN_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_1_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_RANDUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_RANDUNC,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,RECO_NT_VUT_REF,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,GPP_NT_VUT_REF,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,RECO_DT_VUT_REF,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,GPP_DT_VUT_REF,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,RECO_SR,RECO_SR_N
200201,-6.558,0.0,130.066,56.917,0.652554,232.431,0.0,0.855,0.0,96.12,0.0,0.411,0.0,1.908,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,44.959,0.0,-9999,-9999,12.3225,0.0,-9999,-9999,-3.97334,0.0,-9999,-3.97854,-3.97635,-3.97334,0.0,0.0,0.0,0.33654,0.302296,0.32411,0.335204,4.41653,4.27728,4.28258,4.30988,0.0422742,0.0348258,0.0374128,0.0602028,2.24139,2.22269,2.25285,2.31365,-9999,-9999
200202,-4.285,0.0,193.517,89.891,0.598958,235.369,0.0,1.278,0.0,96.397,0.0,1.31,0.0,2.455,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-1.72066,0.203125,43.9004,0.0,-9999,-9999,11.4591,0.0,-9999,-9999,-4.00859,0.0,-9999,-4.01344,-4.00724,-3.99666,0.0,0.0,0.0,0.450342,0.41415,0.437387,0.448959,4.53523,4.41716,4.431,4.45792,0.0594682,0.0495798,0.0532627,0.0817201,2.72663,2.70724,2.73865,2.83049,-9999,-9999
200203,-6.161,0.0,285.402,157.674,0.534274,216.878,0.0,1.498,0.0,96.626,0.0,1.829,0.0,2.181,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-1.09935,0.0,42.6659,0.0,-9999,-9999,14.4777,0.0,-9999,-9999,-4.27176,0.0,-9999,-4.28183,-4.25673,-4.22169,0.0,0.0,0.0,0.392861,0.364793,0.382629,0.391759,4.68452,4.60854,4.61742,4.64642,0.0534004,0.0450955,0.0484453,0.0716578,3.55787,3.54988,3.58276,3.72188,-9999,-9999
200204,4.014,0.00625,381.131,190.517,0.464583,278.941,0.0,2.899,0.00625,96.395,0.0,3.022,0.0,2.104,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-1.0016,0.00625,43.5246,0.00625,-9999,1.11557,14.6584,0.00625,-9999,1.41209,-4.18875,0.00625,0.235029,-4.19867,-4.17664,-4.14633,0.00625,0.00625,0.00625,1.34638,1.34392,1.36596,1.43731,5.52916,5.51229,5.532,5.62881,0.259541,0.240277,0.258666,0.270128,4.01523,4.00639,4.0429,4.20752,-9999,-9999
200205,9.149,0.862903,453.166,253.918,0.87164,296.521,0.0,5.688,0.862903,96.367,0.772177,3.117,0.783602,2.317,0.758065,0.560160623268,0.75,195.545523992,0.773521505376,502.72437934,0.774193548387,372.927,0.862903,6.429,0.862903,5.22147,0.862903,40.9451,0.862231,73.5363,0.524955,58.3922,0.862231,104.871,1.09519,-3.90042,0.859543,0.0661542,-3.92988,-3.90623,-3.88176,0.842742,0.860215,0.860887,1.46988,1.43121,1.46972,1.4828,5.36894,5.31734,5.37716,5.41542,0.571264,0.531175,0.5877,0.610265,4.83596,4.73094,4.76741,4.83596,-9999,-9999
200206,17.424,1.0,485.407,232.652,1.0,364.282,0.0,7.091,1.0,96.258,1.0,2.91,1.0,2.047,0.953472,0.462944792624,0.983333333333,191.815526389,1.0,447.407170833,1.0,353.266,1.0,13.739,1.0,8.88128,1.0,60.8047,0.999306,109.204,0.852501,41.0707,1.0,73.762,0.906138,-4.42066,0.997917,0.0842502,-4.50209,-4.44673,-4.29253,0.999306,0.999306,0.993056,3.26547,3.09524,3.24423,3.43078,7.69734,7.6389,7.66501,7.71965,1.26876,1.15409,1.24048,1.54736,6.55008,6.50584,6.53169,6.72326,-9999,-9999
200207,21.921,1.0,469.936,272.322,1.0,376.077,0.0,8.944,1.0,96.487,0.999328,3.532,1.0,1.909,0.991263,0.449114916365,0.991935483871,223.84781922,1.0,523.269172243,0.999327956989,344.968,1.0,18.357,1.0,6.23231,1.0,67.5381,1.0,119.689,0.839626,55.1587,0.999328,97.7511,0.802253,-5.49099,0.961022,0.0770312,-5.48325,-5.45804,-5.38665,0.957661,0.979839,0.953629,3.32625,3.33577,3.36307,3.60037,8.82846,8.71313,8.81582,9.08071,1.73127,0.722851,1.40103,1.9348,7.27712,6.88786,7.32016,7.7185,-9999,-9999
200208,18.545,1.0,410.701,226.918,1.0,354.501,0.0,5.413,1.0,96.563,0.997984,2.8,0.997984,2.008,0.953629,0.466989725948,0.965725806452,179.575138889,0.997983870968,436.733985394,0.997983870968,341.139,1.0,17.147,1.0,2.31052,1.0,67.0132,0.999328,121.19,0.857917,30.8627,1.0,55.8136,0.892645,-5.47727,0.999328,0.113191,-5.53437,-5.52346,-5.50406,0.999328,0.999328,0.999328,3.13654,2.97552,3.13536,3.20781,8.60264,8.51043,8.64992,8.80997,1.58716,1.49304,1.83877,2.16324,7.84685,7.37686,7.44675,7.66076,-9999,-9999
200209,15.322,0.966667,323.729,162.981,0.969444,339.243,0.0,4.755,0.966667,96.272,0.934722,2.89,0.935417,2.007,0.921528,0.453196863331,0.916666666667,125.732697917,0.933333333333,320.322156994,0.933333333333,350.684,0.965972,15.006,0.966667,-2.37845,0.966667,62.1947,0.966667,108.991,0.690181,6.76178,0.966667,11.8495,0.681993,-4.19662,0.959722,0.0827723,-4.29241,-4.18257,-3.73166,0.955556,0.959028,0.961806,2.60653,2.66988,2.68945,2.77792,6.79223,6.54239,6.79223,6.95667,1.92822,1.35466,1.67273,2.13421,5.7805,5.49077,5.61053,6.04634,-9999,-9999
200210,3.353,0.701613,228.011,84.546,0.762769,276.247,0.0,2.03,0.701613,96.632,0.444892,2.325,0.445565,1.872,0.438844,-9999,-9999,-9999,-9999,-9999,-9999,361.528,0.701613,6.083,0.692876,-7.6512,0.702285,25.9431,0.702285,45.4632,0.424898,4.90125,0.702285,8.58904,0.834497,-1.95016,0.700269,0.102754,-2.02813,-1.93813,-1.79011,0.700269,0.700269,0.700269,0.896144,0.808294,0.890931,0.929005,2.8278,2.73053,2.80547,2.84236,0.766668,0.747743,0.789062,2.1265,2.90913,2.87864,2.90913,3.19313,-9999,-9999
