TIMESTAMP,TA_F,TA_F_QC,SW_IN_POT,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,P_F,P_F_QC,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,PPFD_IN,PPFD_IN_QC,CO2_F_MDS,CO2_F_MDS_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_RANDUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_RANDUNC,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,RECO_NT_VUT_REF,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,GPP_NT_VUT_REF,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,RECO_DT_VUT_REF,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,GPP_DT_VUT_REF,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,RECO_SR,RECO_SR_N
200401,-16.543,0.0,130.925,54.647,0.652554,202.483,0.0,0.065,0.0,97.472,0.0,0.984,0.0,1.851,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,21.6637,0.0,-9999,-9999,60.6447,0.0,-9999,-9999,-1.09366,0.0,-9999,-1.21502,-1.09366,-0.977432,0.0,0.0,0.0,0.0,0.0,0.0,0.0137072,1.21838,0.944695,1.12876,1.21367,0.0588506,0.0537743,0.0561944,0.0725712,0.853986,0.820479,0.841621,0.931241,-9999,-9999
200402,-8.397,0.0,195.828,93.522,0.597701,234.203,0.0,0.623,0.0,97.499,0.0,1.064,0.0,1.825,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,22.7346,0.0,-9999,-9999,58.9419,0.0,-9999,-9999,-1.03739,0.0,-9999,-1.19354,-1.03739,-0.878499,0.0,0.0,0.0,8.12586e-08,5.74029e-08,6.93307e-08,0.0297788,1.20169,0.867118,1.11071,1.18881,0.250295,0.234943,0.242939,0.289411,1.29618,1.25277,1.28022,1.39352,-9999,-9999
200403,-3.123,0.0,289.377,134.708,0.532258,255.698,0.0,1.04,0.0,97.234,0.0,1.299,0.65793,2.049,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,23.2119,0.0,-9999,-9999,59.5361,0.0,-9999,-9999,-1.02048,0.0,-9999,-1.17689,-1.02048,-0.857611,0.0,0.0,0.0,2.53852e-07,1.79231e-07,2.12706e-07,0.0433461,1.17689,0.848868,1.10241,1.17641,0.524025,0.498678,0.511998,0.585444,1.72539,1.67339,1.70632,1.83972,-9999,-9999
200404,2.68,0.0909722,384.432,199.805,0.4625,274.305,0.0,2.768,0.0909722,97.13,0.000694444,3.31,1.0,1.76,0.000694444,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,25.4828,0.475694,-9999,0.338486,62.4199,0.475694,-9999,0.598212,-1.07352,0.0875,0.0937203,-1.20073,-1.07352,-0.930769,0.0902778,0.0875,0.0826389,6.60829e-07,5.4985e-07,6.00295e-07,0.0604351,1.19449,0.926134,1.16636,1.22093,1.04444,1.00963,1.02724,1.12739,2.34966,2.28756,2.32696,2.4825,-9999,-9999
200405,8.072,1.0,455.108,211.36,0.617608,311.251,0.0,3.935,1.0,96.939,1.0,3.361,1.0,2.092,0.982527,0.332831995709,0.962365591398,-9999,-9999,-9999,-9999,378.926,0.995968,-9999,1.0,31.2614,0.995296,-9999,0.518909,62.7182,0.990591,-9999,0.775962,-1.25479,0.946237,0.0750092,-1.25835,-1.24824,-1.07,0.943548,0.950941,0.925403,1.21491,1.22296,1.25188,1.38456,2.53118,2.42135,2.47864,2.50477,1.51937,1.50281,1.56659,1.63374,2.43693,2.41623,2.42955,2.54618,-9999,-9999
200406,14.359,1.0,485.708,259.016,1.0,339.222,0.0,6.798,1.0,97.041,1.0,1.283,0.998611,2.193,0.990278,0.351260087377,0.972916666667,214.684551724,0.966666666667,498.101448611,1.0,370.371,1.0,-9999,1.0,57.5188,0.997222,-9999,0.51277,65.7602,0.997917,-9999,0.899328,-2.28911,0.991667,0.0751246,-2.33563,-2.29473,-2.0139,0.991667,0.992361,0.979167,2.23707,2.23707,2.47404,2.80091,4.64117,4.59895,4.73342,4.81351,0.957044,0.975455,1.19148,1.47985,3.96891,3.64115,3.71723,3.93173,-9999,-9999
200407,16.982,1.0,468.764,260.659,1.0,357.264,0.0,6.466,1.0,97.097,1.0,0.906,1.0,1.606,0.989919,0.269493336399,0.950940860215,197.903012097,1.0,499.958923973,0.998655913978,370.809,1.0,-9999,1.0,45.1242,0.99328,-9999,0.74284,69.3742,0.99328,-9999,0.886728,-2.85308,0.97379,0.0789165,-2.85756,-2.7857,-2.17367,0.978495,0.987903,0.949597,1.95932,2.01537,2.25896,2.9285,4.91392,4.8242,5.03124,5.14764,1.54422,1.52143,1.60083,1.67416,4.4003,4.43657,4.53108,4.57634,-9999,-9999
200408,14.246,1.0,408.554,196.237,1.0,338.666,0.0,4.087,1.0,97.144,0.960349,3.09,1.0,1.757,0.940188,0.30784860939,0.842069892473,161.097303763,1.0,377.250068634,0.999327956989,375.224,1.0,-9999,1.0,55.8528,0.984543,-9999,0.762514,37.2416,0.987231,-9999,0.73699,-3.09115,0.957661,0.0931286,-3.18786,-3.00368,-2.65971,0.953629,0.971102,0.961694,2.34004,2.43635,2.53927,2.77009,5.57744,5.43804,5.55841,5.67467,0.883587,1.42925,1.52686,1.80886,4.74281,4.44468,4.59917,4.74281,-9999,-9999
200409,15.367,1.0,321.211,164.632,1.0,346.634,0.0,4.568,1.0,97.26,0.977083,2.373,1.0,2.11,0.944444,0.379461184214,0.888888888889,121.370349306,1.0,315.935623493,0.999305555556,371.975,0.995139,-9999,1.0,47.5864,0.992361,-9999,0.693191,18.6588,0.991667,-9999,0.74741,-0.958656,0.964583,0.0938775,-1.36658,-0.777469,-0.656141,0.96875,0.972222,0.974306,3.34777,3.36676,3.47526,3.54033,4.64498,4.19335,4.26526,4.60479,2.13358,1.99399,2.14153,2.44382,3.78543,3.71775,3.80456,3.91616,-9999,-9999
200410,7.13,1.0,225.802,88.244,0.997312,303.687,0.0,2.524,1.0,96.892,0.860887,2.597,0.995968,2.091,0.711694,0.361189026464,0.79435483871,61.7467980769,0.838709677419,168.239449981,0.995967741935,379.15,0.990591,-9999,1.0,24.6253,1.0,-9999,0.521212,9.8918,1.0,-9999,0.565516,-0.304035,0.953629,0.075275,-0.678293,-0.36718,-0.345533,0.97379,0.938844,0.941532,1.33879,1.22709,1.28286,1.32636,2.01105,1.59709,1.65333,1.9592,0.660673,0.635428,0.702472,0.801407,1.78203,1.64893,1.71592,1.7378,-9999,-9999
