TIMESTAMP,TA_F,TA_F_QC,SW_IN_POT,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,P_F,P_F_QC,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,PPFD_IN,PPFD_IN_QC,PPFD_OUT,PPFD_OUT_QC,SW_OUT,SW_OUT_QC,LW_OUT,LW_OUT_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_1_QC,SWC_F_MDS_1,SWC_F_MDS_1_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_RANDUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_RANDUNC,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,RECO_NT_VUT_REF,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,GPP_NT_VUT_REF,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,RECO_DT_VUT_REF,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,GPP_DT_VUT_REF,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,RECO_SR,RECO_SR_N
200401,9.364,0.0,236.909,142.031,0.0,272.615,0.0,7.517,0.0,85.039,0.0,0.701,0.0,2.985,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,33.698,0.0,38.5989,-9999,72.0861,0.0,82.5701,-9999,-1.16601,0.0,-9999,-1.18585,-1.15686,-1.05496,0.0,0.0,0.0,0.46455,0.38076,0.471412,0.572419,1.5736,1.56397,1.59951,1.65455,0.116943,0.0871586,0.102814,0.130568,0.478597,0.477873,0.493066,0.515749,-9999,-9999
200402,8.916,0.0,293.465,194.47,0.0,255.182,0.0,8.498,0.0,84.895,0.0,0.863,0.0,3.589,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,6.70088,0.188218,33.6067,0.0,37.9542,-9999,71.6854,0.0,80.9589,-9999,-1.15875,0.0,-9999,-1.17932,-1.1488,-1.04838,0.0,0.0,0.0,0.458436,0.371676,0.464368,0.562673,1.55696,1.54716,1.58321,1.63889,0.113131,0.0843178,0.099463,0.126313,0.572573,0.571943,0.579563,0.612087,-9999,-9999
200403,15.199,0.0,365.182,240.996,0.0,294.276,0.0,12.345,0.0,85.066,0.0,0.889,0.0,3.608,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,6.9663,0.0,33.698,0.0,34.7992,-9999,72.0861,0.0,74.4418,-9999,-1.16601,0.0,-9999,-1.18585,-1.15686,-1.05496,0.0,0.0,0.0,0.539006,0.502382,0.555593,0.700427,1.69591,1.68231,1.71222,1.77699,0.238031,0.177407,0.209272,0.253959,0.646728,0.644635,0.649993,0.688621,-9999,-9999
200404,15.916,0.0,427.67,295.96,0.0,290.198,0.0,13.352,0.0,84.869,0.0,0.806,0.0,4.393,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,6.93898,0.0,33.6538,0.0,36.6118,0.570717,71.8924,0.0,78.2114,1.51855,-1.1625,0.0,0.0273373,-1.18269,-1.15296,-1.05219,0.0,0.0,0.0,0.548498,0.51678,0.562289,0.715904,1.70658,1.69064,1.72147,1.78923,0.248062,0.184883,0.218092,0.264249,0.743854,0.734394,0.743746,0.788749,-9999,-9999
200405,21.732,0.831317,466.681,328.883,0.832661,309.186,0.831317,22.664,0.831317,84.917,0.823253,0.025,0.823253,4.021,0.823253,0.252375416667,0.823252688172,124.854719167,0.823252688172,639.05034984,0.823252688172,72.7819032748,0.821908602151,63.3504551142,0.806451612903,454.228735321,0.823252688172,363.374,0.831317,26.009,0.831317,0.257,0.831317,5.46033,0.831317,23.4959,0.831317,25.5611,0.2509,86.2289,0.831317,93.808,0.656149,-0.605446,0.784274,0.0132647,-0.625703,-0.606151,-0.561719,0.80914,0.790323,0.747984,0.548488,0.529558,0.55021,0.639913,1.1637,1.15068,1.1686,1.20124,0.420823,0.357084,0.399949,0.42532,0.751257,0.731796,0.75237,0.782703,-9999,-9999
200406,25.159,1.0,480.906,342.447,1.0,333.139,1.0,27.315,1.0,84.974,1.0,0.377,1.0,4.16,1.0,0.252586111111,1.0,132.404753472,1.0,667.792795833,1.0,80.2633826691,0.998611111111,67.1000640583,0.978472222222,475.791929167,1.0,352.77,1.0,29.694,1.0,0.83,1.0,4.40376,1.0,16.3012,0.999306,18.1511,0.37364,98.6027,1.0,109.793,0.714317,0.333725,0.970833,0.0115066,0.274944,0.31056,0.373646,0.984028,0.972222,0.956944,0.312741,0.28172,0.312741,0.415457,-0.00245687,0.00299125,0.0141501,0.0414722,0.507467,0.393298,0.505088,0.559633,0.103227,0.0999433,0.108319,0.147702,-9999,-9999
200407,24.995,1.0,471.896,285.271,1.0,364.146,1.0,21.05,1.0,85.132,1.0,1.451,1.0,3.915,1.0,0.259718413978,1.0,126.826479021,0.998655913978,578.901009292,0.998655913978,69.305305575,0.998655913978,54.1177661365,0.988575268817,468.193661962,1.0,358.113,0.990591,28.795,1.0,3.463,1.0,2.1073,1.0,35.1231,0.989247,41.3242,0.774972,71.5305,0.999328,84.1596,0.740759,0.682388,0.948253,0.0206529,0.615154,0.682256,0.722267,0.961022,0.950269,0.909946,1.04381,0.944478,1.03114,1.11417,0.336671,0.331617,0.348755,0.39858,0.95531,1.04853,1.07303,1.114,0.419678,0.399257,0.411609,0.424077,-9999,-9999
200408,23.578,1.0,439.341,248.663,1.0,361.056,1.0,17.395,1.0,85.222,0.999328,1.549,1.0,3.173,0.999328,0.215248655914,0.999327956989,112.008234543,1.0,506.162672715,1.0,53.3614939763,0.993951612903,45.3158588373,0.99126344086,451.849134409,1.0,358.135,0.998656,25.912,1.0,5.077,1.0,-0.0900335,1.0,46.8533,0.997984,54.1981,0.770759,49.8824,1.0,57.7021,0.605314,-0.0954904,0.91129,0.0222891,-0.212301,-0.102695,-0.00382277,0.952285,0.919355,0.866263,1.24498,1.19283,1.24941,1.29643,1.38965,1.32237,1.36836,1.4039,1.47744,1.35884,1.45587,1.56025,1.53101,1.44558,1.4927,1.5411,-9999,-9999
200409,21.966,1.0,384.922,257.053,1.0,336.803,1.0,17.586,1.0,85.01,1.0,1.765,1.0,4.017,0.990278,0.233563771108,0.990277777778,99.2058728132,0.999305555556,516.391990795,0.996527777778,58.2267536115,0.995138888889,50.5810475061,0.979861111111,443.399534722,1.0,359.25,0.997222,24.662,1.0,3.276,1.0,-1.3362,1.0,26.5576,0.988194,29.5106,0.450091,63.5756,0.991667,70.6445,0.587048,0.332308,0.961806,0.0157867,0.304472,0.327082,0.36327,0.972222,0.963194,0.895139,0.808058,0.758037,0.808058,0.879609,0.468806,0.449687,0.472967,0.512131,0.777155,0.688504,0.712065,0.740079,0.301639,0.290555,0.30838,0.333712,-9999,-9999
200410,17.357,1.0,315.749,218.592,1.0,307.154,1.0,13.176,1.0,84.878,1.0,0.147,1.0,3.977,1.0,0.239227822581,1.0,69.3484543011,1.0,432.414149194,1.0,49.756042067,0.999327956989,46.619323183,0.979166666667,409.983972446,1.0,354.981,1.0,18.766,1.0,0.953,1.0,-2.9094,1.0,19.3298,1.0,20.0198,0.321291,50.4376,1.0,52.238,0.52327,-0.332777,0.989247,0.0132375,-0.350043,-0.33289,-0.292658,0.991263,0.988575,0.866935,0.506977,0.495792,0.518693,0.578835,0.8452,0.841637,0.853743,0.865844,0.776823,0.543493,0.584818,0.675254,0.93827,0.95675,0.970263,0.990361,-9999,-9999
