TIMESTAMP,TA_F,TA_F_QC,SW_IN_POT,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,P_F,P_F_QC,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,PPFD_IN,PPFD_IN_QC,PPFD_OUT,PPFD_OUT_QC,SW_OUT,SW_OUT_QC,LW_OUT,LW_OUT_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_2,TS_F_MDS_3,TS_F_MDS_1_QC,TS_F_MDS_2_QC,TS_F_MDS_3_QC,SWC_F_MDS_1,SWC_F_MDS_2,SWC_F_MDS_3,SWC_F_MDS_1_QC,SWC_F_MDS_2_QC,SWC_F_MDS_3_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_RANDUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_RANDUNC,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,RECO_NT_VUT_REF,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,GPP_NT_VUT_REF,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,RECO_DT_VUT_REF,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,GPP_DT_VUT_REF,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,RECO_SR,RECO_SR_N
200001,21.47,0.0,477.311,203.416,0.0,388.385,0.0,4.882,0.0,89.038,0.0,4.129,0.0,1.899,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-6.218,0.0,64.9637,0.0,-9999,-9999,15.0904,0.0,-9999,-9999,-1.79276,0.0,-9999,-1.79276,-1.79276,-1.79276,0.0,0.0,0.0,4.03164,4.03164,4.03164,4.03164,5.8244,5.8244,5.8244,5.8244,15.8863,15.8863,15.8863,15.8863,11.7567,11.7567,11.7567,11.7567,-9999,-9999
200002,20.984,0.0,464.081,179.962,0.0,390.014,0.0,3.774,0.0,89.087,0.0,4.755,0.0,2.162,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-6.36538,0.0,64.9117,0.0,-9999,1.19947,14.7333,0.0,-9999,0.672292,-1.87817,0.0,0.230182,-1.87817,-1.87817,-1.87817,0.0,0.0,0.0,3.94366,3.94366,3.94366,3.94366,5.82183,5.82183,5.82183,5.82183,15.8043,15.8043,15.8043,15.8043,10.7548,10.7548,10.7548,10.7548,-9999,-9999
200003,21.319,0.313844,430.903,193.831,0.316532,388.445,0.313844,4.71,0.313844,89.18,0.0,4.3,0.0,2.033,0.264113,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,272.255,0.317876,22.321,-9999,-9999,0.313172,-9999,-9999,12.335,-9999,-9999,0.313172,-9999,-9999,-10.4795,0.313172,78.1414,0.311156,-9999,0.935593,12.5049,0.313172,-9999,0.563038,1.10305,0.311828,0.157812,1.10305,1.10305,1.10305,0.311828,0.311828,0.311828,6.22855,6.22855,6.22855,6.22855,5.1255,5.1255,5.1255,5.1255,8.89327,8.89327,8.89327,8.89327,7.22802,7.22802,7.22802,7.22802,-9999,-9999
200004,21.634,0.0,381.515,228.734,0.0,359.44,0.0,8.962,0.0,89.409,0.0,0.646,0.0,2.369,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,272.731,0.0,21.748,-9999,-9999,0.0,-9999,-9999,13.043,-9999,-9999,0.0,-9999,-9999,-12.195,0.0,81.7018,0.0,-9999,-9999,8.90944,0.0,-9999,-9999,1.88119,0.0,-9999,1.88119,1.88119,1.88119,0.0,0.0,0.0,7.00153,7.00153,7.00153,7.00153,5.12033,5.12033,5.12033,5.12033,9.07069,9.07069,9.07069,9.07069,4.80061,4.80061,4.80061,4.80061,-9999,-9999
200005,19.927,0.0,333.856,207.83,0.0,336.872,0.0,9.72,0.0,89.561,0.0,0.243,0.0,2.133,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,272.7,0.0,21.769,-9999,-9999,0.0,-9999,-9999,13.008,-9999,-9999,0.0,-9999,-9999,-12.1499,0.0,81.748,0.0,-9999,-9999,8.9288,0.0,-9999,-9999,1.87746,0.0,-9999,1.87746,1.87746,1.87746,0.0,0.0,0.0,6.50073,6.50073,6.50073,6.50073,4.62327,4.62327,4.62327,4.62327,8.89317,8.89317,8.89317,8.89317,3.61337,3.61337,3.61337,3.61337,-9999,-9999
200006,18.955,0.0,309.139,179.356,0.0,332.621,0.0,10.85,0.0,89.731,0.0,0.027,0.0,2.335,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,272.731,0.0,21.748,-9999,-9999,0.0,-9999,-9999,13.043,-9999,-9999,0.0,-9999,-9999,-12.4591,0.730556,81.7018,0.0,-9999,-9999,8.90944,0.0,-9999,-9999,1.88119,0.0,-9999,1.88119,1.88119,1.88119,0.0,0.0,0.0,6.20744,6.20744,6.20744,6.20744,4.32625,4.32625,4.32625,4.32625,8.79567,8.79567,8.79567,8.79567,2.84671,2.84671,2.84671,2.84671,-9999,-9999
200007,18.133,0.0,319.41,211.01,0.0,306.476,0.0,12.509,0.0,89.717,0.0,0.0,0.0,2.745,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,272.719,0.0,21.748,-9999,-9999,0.0,-9999,-9999,13.044,-9999,-9999,0.0,-9999,-9999,-9999,1.0,81.6452,0.0,-9999,-9999,8.74844,0.0,-9999,-9999,1.87667,0.0,-9999,1.87667,1.87667,1.87667,0.0,0.0,0.0,5.98197,5.98197,5.98197,5.98197,4.1053,4.1053,4.1053,4.1053,8.70375,8.70375,8.70375,8.70375,2.22236,2.22236,2.22236,2.22236,-9999,-9999
200008,20.916,0.0,359.088,234.702,0.0,320.88,0.0,16.14,0.0,89.646,0.0,0.0,0.0,2.882,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,272.774,0.0,21.726,-9999,-9999,0.0,-9999,-9999,13.078,-9999,-9999,0.0,-9999,-9999,-9999,1.0,81.7121,0.0,-9999,-9999,9.05109,0.0,-9999,-9999,1.88944,0.0,-9999,1.88944,1.88944,1.88944,0.0,0.0,0.0,6.80073,6.80073,6.80073,6.80073,4.91128,4.91128,4.91128,4.91128,8.99173,8.99173,8.99173,8.99173,1.22134,1.22134,1.22134,1.22134,-9999,-9999
200009,26.336,0.0,408.123,265.37,0.0,350.875,0.0,25.042,0.0,89.248,0.0,0.016,0.0,3.054,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,272.731,0.0,21.748,-9999,-9999,0.0,-9999,-9999,13.043,-9999,-9999,0.0,-9999,-9999,-9999,1.0,81.7018,0.0,-9999,-9999,8.90944,0.0,-9999,-9999,1.88119,0.0,-9999,1.88119,1.88119,1.88119,0.0,0.0,0.0,8.49502,8.49502,8.49502,8.49502,6.61383,6.61383,6.61383,6.61383,9.50934,9.50934,9.50934,9.50934,0.182219,0.182219,0.182219,0.182219,-9999,-9999
200010,27.869,0.0,448.273,289.302,0.0,362.488,0.0,26.974,0.0,89.197,0.0,0.299,0.0,2.997,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,272.7,0.0,21.769,-9999,-9999,0.0,-9999,-9999,13.008,-9999,-9999,0.0,-9999,-9999,-9999,1.0,81.748,0.0,-9999,-9999,8.9288,0.0,-9999,-9999,1.87746,0.0,-9999,1.87746,1.87746,1.87746,0.0,0.0,0.0,8.98882,8.98882,8.98882,8.98882,7.11136,7.11136,7.11136,7.11136,9.64899,9.64899,9.64899,9.64899,0.705767,0.705767,0.705767,0.705767,-9999,-9999
