SITE_ID,filename,start_year,end_year,version,filetype,timestamp 
AR-SLu,FLX_AR-SLu_FLUXNET2015_SUBSET_HH_2009-2011_1-4.csv,2009,2011,1-4,FLUX-MET,202001280039
AR-SLu,FLX_AR-SLu_FLUXNET2015_AUXNEE_2009-2011_1-4.csv,2009,2011,1-4,AUX,202001280039
AR-SLu,FLX_AR-SLu_FLUXNET2015_AUXMETEO_2009-2011_1-4.csv,2009,2011,1-4,AUX,202001280039
AR-SLu,FLX_AR-SLu_FLUXNET2015_SUBSET_YY_2009-2011_1-4.csv,2009,2011,1-4,FLUX-MET,202001280039
AR-SLu,FLX_AR-SLu_FLUXNET2015_SUBSET_MM_2009-2011_1-4.csv,2009,2011,1-4,FLUX-MET,202001280039
AR-SLu,FLX_AR-SLu_FLUXNET2015_SUBSET_WW_2009-2011_1-4.csv,2009,2011,1-4,FLUX-MET,202001280039
AR-SLu,FLX_AR-SLu_FLUXNET2015_SUBSET_DD_2009-2011_1-4.csv,2009,2011,1-4,FLUX-MET,202001280039
AR-Vir,FLX_AR-Vir_FLUXNET2015_AUXNEE_2010-2012_1-4.csv,2010,2012,1-4,AUX,202001280040
AR-Vir,FLX_AR-Vir_FLUXNET2015_AUXMETEO_2009-2012_1-4.csv,2009,2012,1-4,AUX,202001280040
AR-Vir,FLX_AR-Vir_FLUXNET2015_SUBSET_YY_2009-2012_1-4.csv,2009,2012,1-4,FLUX-MET,202001280040
AR-Vir,FLX_AR-Vir_FLUXNET2015_SUBSET_MM_2009-2012_1-4.csv,2009,2012,1-4,FLUX-MET,202001280040
AR-Vir,FLX_AR-Vir_FLUXNET2015_SUBSET_WW_2009-2012_1-4.csv,2009,2012,1-4,FLUX-MET,202001280040
AR-Vir,FLX_AR-Vir_FLUXNET2015_SUBSET_DD_2009-2012_1-4.csv,2009,2012,1-4,FLUX-MET,202001280040
AR-Vir,FLX_AR-Vir_FLUXNET2015_SUBSET_HH_2009-2012_1-4.csv,2009,2012,1-4,FLUX-MET,202001280040
AT-Neu,FLX_AT-Neu_FLUXNET2015_AUXNEE_2002-2012_1-4.csv,2002,2012,1-4,AUX,202001280041
AT-Neu,FLX_AT-Neu_FLUXNET2015_SUBSET_HH_2002-2012_1-4.csv,2002,2012,1-4,FLUX-MET,202001280043
AT-Neu,FLX_AT-Neu_FLUXNET2015_SUBSET_DD_2002-2012_1-4.csv,2002,2012,1-4,FLUX-MET,202001280043
AT-Neu,FLX_AT-Neu_FLUXNET2015_SUBSET_WW_2002-2012_1-4.csv,2002,2012,1-4,FLUX-MET,202001280043
AT-Neu,FLX_AT-Neu_FLUXNET2015_SUBSET_MM_2002-2012_1-4.csv,2002,2012,1-4,FLUX-MET,202001280044
AT-Neu,FLX_AT-Neu_FLUXNET2015_SUBSET_YY_2002-2012_1-4.csv,2002,2012,1-4,FLUX-MET,202001280044
AT-Neu,FLX_AT-Neu_FLUXNET2015_AUXMETEO_2002-2012_1-4.csv,2002,2012,1-4,AUX,202001280041
AU-Ade,FLX_AU-Ade_FLUXNET2015_SUBSET_YY_2007-2009_1-4.csv,2007,2009,1-4,FLUX-MET,202001280045
AU-Ade,FLX_AU-Ade_FLUXNET2015_AUXNEE_2007-2009_1-4.csv,2007,2009,1-4,AUX,202001280044
AU-Ade,FLX_AU-Ade_FLUXNET2015_SUBSET_DD_2007-2009_1-4.csv,2007,2009,1-4,FLUX-MET,202001280045
AU-Ade,FLX_AU-Ade_FLUXNET2015_SUBSET_WW_2007-2009_1-4.csv,2007,2009,1-4,FLUX-MET,202001280045
AU-Ade,FLX_AU-Ade_FLUXNET2015_SUBSET_MM_2007-2009_1-4.csv,2007,2009,1-4,FLUX-MET,202001280045
AU-Ade,FLX_AU-Ade_FLUXNET2015_SUBSET_HH_2007-2009_1-4.csv,2007,2009,1-4,FLUX-MET,202001280045
AU-Ade,FLX_AU-Ade_FLUXNET2015_AUXMETEO_2007-2009_1-4.csv,2007,2009,1-4,AUX,202001280044
AU-ASM,FLX_AU-ASM_FLUXNET2015_SUBSET_WW_2010-2014_2-4.csv,2010,2014,2-4,FLUX-MET,202001280046
AU-ASM,FLX_AU-ASM_FLUXNET2015_SUBSET_DD_2010-2014_2-4.csv,2010,2014,2-4,FLUX-MET,202001280046
AU-ASM,FLX_AU-ASM_FLUXNET2015_AUXMETEO_2010-2014_2-4.csv,2010,2014,2-4,AUX,202001280045
AU-ASM,FLX_AU-ASM_FLUXNET2015_AUXNEE_2010-2014_2-4.csv,2010,2014,2-4,AUX,202001280045
AU-ASM,FLX_AU-ASM_FLUXNET2015_SUBSET_YY_2010-2014_2-4.csv,2010,2014,2-4,FLUX-MET,202001280046
AU-ASM,FLX_AU-ASM_FLUXNET2015_SUBSET_MM_2010-2014_2-4.csv,2010,2014,2-4,FLUX-MET,202001280046
AU-ASM,FLX_AU-ASM_FLUXNET2015_SUBSET_HH_2010-2014_2-4.csv,2010,2014,2-4,FLUX-MET,202001280046
AU-Cpr,FLX_AU-Cpr_FLUXNET2015_AUXMETEO_2010-2014_2-4.csv,2010,2014,2-4,AUX,202001280046
AU-Cpr,FLX_AU-Cpr_FLUXNET2015_SUBSET_YY_2010-2014_2-4.csv,2010,2014,2-4,FLUX-MET,202001280048
AU-Cpr,FLX_AU-Cpr_FLUXNET2015_SUBSET_MM_2010-2014_2-4.csv,2010,2014,2-4,FLUX-MET,202001280048
AU-Cpr,FLX_AU-Cpr_FLUXNET2015_SUBSET_WW_2010-2014_2-4.csv,2010,2014,2-4,FLUX-MET,202001280048
AU-Cpr,FLX_AU-Cpr_FLUXNET2015_SUBSET_DD_2010-2014_2-4.csv,2010,2014,2-4,FLUX-MET,202001280048
AU-Cpr,FLX_AU-Cpr_FLUXNET2015_AUXNEE_2010-2014_2-4.csv,2010,2014,2-4,AUX,202001280046
AU-Cpr,FLX_AU-Cpr_FLUXNET2015_SUBSET_HH_2010-2014_2-4.csv,2010,2014,2-4,FLUX-MET,202001280048
AU-Cum,FLX_AU-Cum_FLUXNET2015_SUBSET_YY_2012-2014_2-4.csv,2012,2014,2-4,FLUX-MET,202001280049
AU-Cum,FLX_AU-Cum_FLUXNET2015_AUXNEE_2012-2014_2-4.csv,2012,2014,2-4,AUX,202001280048
AU-Cum,FLX_AU-Cum_FLUXNET2015_SUBSET_HH_2012-2014_2-4.csv,2012,2014,2-4,FLUX-MET,202001280049
AU-Cum,FLX_AU-Cum_FLUXNET2015_SUBSET_DD_2012-2014_2-4.csv,2012,2014,2-4,FLUX-MET,202001280049
AU-Cum,FLX_AU-Cum_FLUXNET2015_SUBSET_WW_2012-2014_2-4.csv,2012,2014,2-4,FLUX-MET,202001280049
AU-Cum,FLX_AU-Cum_FLUXNET2015_SUBSET_MM_2012-2014_2-4.csv,2012,2014,2-4,FLUX-MET,202001280049
AU-Cum,FLX_AU-Cum_FLUXNET2015_AUXMETEO_2012-2014_2-4.csv,2012,2014,2-4,AUX,202001280048
AU-DaP,FLX_AU-DaP_FLUXNET2015_SUBSET_DD_2007-2013_2-4.csv,2007,2013,2-4,FLUX-MET,202001280050
